ENSG00000167323,STIM1,calcium signaling,er stress,orai channels,tumor growth,cell survival,immune regulation
ENSG00000144935,TRPC1,calcium channel,oncogenic potential,cell proliferation,drug resistance,tumor growth,metastasis
ENSG00000089250,NOS1,nitric oxide (no) synthesis,angiogenesis,inflammation,tumor progression,therapeutic target,immunomodulation
ENSG00000058668,ATP2B4,calcium homeostasis,intracellular signaling,endoplasmic reticulum,cellular processes,tumorigenesis,cancer development
ENSG00000069431,ABCC9,k<sub>atp</sub> channels,atp sensitivity,membrane potential,potassium efflux,metabolic regulation,tumor progression
ENSG00000187486,KCNJ11,potassium channel,kir3.1,neuronal excitability,tumor cell proliferation,cell migration,ion channel function
ENSG00000084754,HADHA,fatty acid beta-oxidation,lipid metabolism,mitochondrial function,tumor growth,energy production,metabolic reprogramming
ENSG00000138029,HADHB,mitochondrial metabolism,fatty acid oxidation,3-hydroxyacyl-coa dehydrogenase,metabolic dysfunction,tumorigenesis,none
ENSG00000197265,GTF2E2,transcription factor,gene expression,pre-initiation complex,rna polymerase ii,tumorigenesis,transcriptional regulation
ENSG00000153767,GTF2E1,transcription regulation,tumorigenesis,gene expression,tfiie complex,promoter binding,pre-initiation complex
ENSG00000140307,GTF2A2,transcription initiation,pre-initiation complex,rna polymerase ii binding,gene expression regulation,tfiia subunit,oncogenesis
ENSG00000165417,GTF2A1,transcriptional regulation,rna polymerase ii,pre-initiation complex,gene expression dysregulation,cancer development,therapeutic target
ENSG00000162738,VANGL2,planar cell polarity (pcp) signaling,tissue architecture,cell migration,oncogenesis,developmental defects,therapeutic target
ENSG00000274287,SCRIB,cell polarity,adherens junction,epithelial development,tumor progression,metastasis,cell migration
ENSG00000004975,DVL2,wnt signaling pathway,oncogene,cell proliferation,cancer progression,tumorigenesis,stem cell maintenance
ENSG00000102981,PARD6A,cell polarity,rho gtpase pathway,cytoskeletal organization,cell migration,adhesion,tumor progression
ENSG00000177885,GRB2,ras/mapk pathway,growth factor signaling,oncogenic transformation,signal transduction,adapter protein,protein-protein interactions
ENSG00000109458,GAB1,pi3k/akt pathway,rtk signaling,signal transduction,oncogene,tumor progression,scaffolding protein
ENSG00000146648,EGFR,egfr amplification,constitutive activation,receptor tyrosine kinase,pan-cancer,therapeutic target,signaling pathway
ENSG00000138798,EGF,egfr pathway,oncogenic transformation,tyrosine kinase receptor,cell proliferation,amplification,signaling cascade
ENSG00000121879,PIK3CA,pi3k/akt signaling,gain-of-function mutations,oncogenic driver,constitutive activation,tumor progression,therapeutic target
ENSG00000145675,PIK3R1,pi3k/akt pathway,p85 regulatory subunit,phosphatidylinositol phosphorylation,oncogenesis,cell proliferation,heterodimerization
ENSG00000197122,SRC,src family kinase,tyrosine kinase activation,oncogene,signal transduction,tumor progression,therapeutic target
ENSG00000089159,PXN,focal adhesion,cancer progression,cell migration,tumor invasion,metastasis,angiogenesis
ENSG00000137392,CLPS,clps protein,pepsinogen processing,enzyme activation,cancer-associated mutations,tumorigenesis,cellular dysregulation
ENSG00000175535,PNLIP,lipid metabolism,adipose triglyceride lipase (atgl),non-alcoholic fatty liver disease (nafld),genetic polymorphism,rs738409,inflammatory response
ENSG00000078369,GNB1,g protein signaling,signal transduction,cancer progression,oncogenic mutations,cell proliferation,chemoresistance
ENSG00000127928,GNGT1,glycosylation,tumor growth,metastasis,immune evasion,glycosyltransferase,n-acetylglucosamine transferase
ENSG00000198515,CNGA1,cyclic nucleotide-gated channels,phototransduction,ion channel modulation,retinal dystrophies,cation selectivity,inherited vision loss
ENSG00000070729,CNGB1,cyclic nucleotide gated channels,ion flux,neuronal excitability,sensory perception,heteromeric complex formation,neurological disorders
ENSG00000257365,FNTB,fibronectin type iii domain,cell adhesion,extracellular matrix,protein-protein interaction,tumor progression,metastasis
ENSG00000168522,FNTA,fnta overexpression,actin cytoskeleton,cell migration,tumor progression,metastasis,cell adhesion
ENSG00000113522,RAD50,dna repair,double-strand break repair,genomic instability,homologous recombination,cancer progression,telomere maintenance
ENSG00000020922,MRE11,dna repair,non-homologous end joining (nhej),chromosomal instability,genomic instability,tumor development,3'-5' exonuclease activity
ENSG00000182481,KPNA2,nuclear transport,karyopherin function,importin-nucleoporin interaction,nuclear localization signal (nls) recognition,genomic instability,cancer progression
ENSG00000104320,NBN,dna double-strand break repair,homologous recombination,genomic instability,tumor suppressor gene,dna damage sensitivity,mrn complex
ENSG00000172977,KAT5,lysine acetylation,chromatin remodeling,dna repair,p53 regulation,oncogene/tumor suppressor duality,gene expression modulation
ENSG00000149311,ATM,dna damage response,double-strand breaks,checkpoint control,tumor suppressor,genomic stability,ataxia telangiectasia
ENSG00000009954,BAZ1B,chromatin remodeling,gene regulation,oncogenic activity,tumor suppressor function,atpase activity,swi/snf complex
ENSG00000153147,SMARCA5,chromatin remodeling,gene regulation,oncogene/tumor suppressor modulation,cancer development,atp hydrolysis,swi/snf complex
ENSG00000103275,UBE2I,ubiquitin-conjugating enzyme,e3 ubiquitin ligase interaction,dna repair,cell cycle regulation,protein degradation,tumorigenesis
ENSG00000116030,SUMO1,sumoylation,tumor suppressor,oncoprotein,post-translational modification,gene expression regulation,cancer development
ENSG00000169139,UBE2V2,ubiquitination,protein degradation,dna repair,tumorigenesis,e3 ligase interaction,cellular process regulation
ENSG00000177889,UBE2N,ubiquitin-proteasome system,protein degradation,tumor progression,cell cycle regulation,immune response modulation,cancer development
ENSG00000138376,BARD1,dna repair,homologous recombination,ubiquitin ligase,brca1 complex,tumor suppressor,genomic instability
ENSG00000012048,BRCA1,tumor suppressor,dna repair,homologous recombination,genomic instability,cell cycle regulation,cancer predisposition
ENSG00000188612,SUMO2,sumoylation,oncoprotein regulation,tumor suppressor modulation,dna repair,apoptosis,protein localization
ENSG00000225589,MDC1,dna damage response,genomic instability,scaffold protein,atm activation,p53 pathway,tumor suppressor function
ENSG00000128731,HERC2,ubiquitination,protein stability,cell cycle control,oncogenesis,dna repair,immune response
ENSG00000164053,ATRIP,dna damage response (ddr),atrip-atm complex,genomic instability,cell cycle arrest,dna double-strand breaks (dsbs),cancer progression
ENSG00000175054,ATR,dna damage response,cell cycle checkpoint,genomic instability,single-strand dna breaks,ataxia telangiectasia,phosphorylation
ENSG00000111602,TIMELESS,dna replication,rpa complex,genomic stability,cell cycle progression,apoptosis evasion,oncogenic driver
ENSG00000075131,TIPIN,dna replication,replisome,genomic instability,oncogene,tumorigenesis,pcna interaction
ENSG00000163605,PPP4R2,pp4 regulation,phosphatase activity,cell cycle control,signal transduction,tumor development,protein dephosphorylation
ENSG00000149923,PPP4C,tumor suppressor,cell cycle regulation,phosphatase activity,serine/threonine dephosphorylation,protein phosphatase complex,oncogenic pathways
ENSG00000108384,RAD51C,homologous recombination,genomic instability,dna repair,cancer predisposition,hereditary cancer,tumor suppressor
ENSG00000126215,XRCC3,dna repair,nucleotide excision repair (ner),uv radiation sensitivity,genomic instability,mutation susceptibility,cancer predisposition
ENSG00000197774,EME2,apoptosis modulation,mitochondrial nuclease,dna degradation,genomic instability,tumorigenesis,endonuclease activity
ENSG00000172732,MUS81,dna repair,homologous recombination,genome instability,double-strand break repair,tumorigenesis,mutation accumulation
ENSG00000154920,EME1,protein synthesis,translation initiation,cell cycle progression,genomic instability,tumorigenesis,gene regulation
ENSG00000139618,BRCA2,homologous recombination,dna repair,tumor suppressor,genomic instability,cancer predisposition,double-strand break repair
ENSG00000051180,RAD51,homologous recombination,dna repair,genomic instability,tumor progression,dna strand exchange,protein complex formation
ENSG00000175595,ERCC4,dna repair,nucleotide excision repair,genomic instability,uv radiation sensitivity,endonuclease activity,cancer predisposition
