bone morphogenetic protein signaling pathway,tumor suppressor gene.,electrochemical gradient establishment,blood vessel maturation,defense against infection,bone morphogenetic protein signaling
mrna degradation,imprinting,tumor type association,electrochemical gradient establishment,cell growth,tumor suppressor gene regulation
regulation of protein stability,cell junction assembly,cullin 3 complex,receptor internalization,hormone activity,regulation of growth
electrochemical gradient establishment,cell projection assembly,cell projection formation,defense against infection,neural precursor cell proliferation,side of membrane
tumor type association,tumor suppressor gene regulation,mrna degradation,electrochemical gradient establishment,tumor suppressor gene expression,imprinting
electrochemical gradient establishment,tumor type association,mrna degradation,imprinting,cell projection formation,tumor suppressor gene regulation
udp-d-xylose:beta-d-glucoside alpha-1,rab6-interacting golgin,'de novo' amp synthesis,mitochondrial matrix,'de novo' gmp synthesis,mhc class ii protein complex
mitochondrial matrix,rab6-interacting golgin,udp-d-xylose:beta-d-glucoside alpha-1,complex iv assembly,'de novo' amp synthesis,mit domain binding
u5 snrnp,scaffolding protein function,eif2 complex assembly,methyl/ethyl malonyl-coa decarboxylase activity,gamma-delta intraepithelial t cell differentiation,k48-linked ubiquitination
eif2 complex assembly,scaffolding protein function,u5 snrnp,methyl/ethyl malonyl-coa decarboxylase activity,k48-linked ubiquitination,spliceosomal complex localization
eif2 complex assembly,u5 snrnp,scaffolding protein function,k48-linked ubiquitination,methyl/ethyl malonyl-coa decarboxylase activity,spliceosomal complex localization
eif2 complex assembly,methyl/ethyl malonyl-coa decarboxylase activity,k48-linked ubiquitination,scaffolding protein function,u5 snrnp,spliceosome
mrna localization,mrna catabolism,processivity factor activity,regulation of systemic arterial blood pressure by vasopressin,electrochemical gradient establishment,cell projection assembly
cullin 3 complex,mrna metabolic process,smoothened signaling pathway modulation,mrna regulation,regulation of cell growth and proliferation,cell junction assembly
phosphatidylethanolamine n-methyltransferase activity,histone h2axs139 kinase activity,choline catabolic process,vacuolar proton-transporting v-type atpase activity,cytoplasmic vesicle membrane,immune cell development
receptor clustering,protein kinase a localization,receptor internalization regulation,receptor internalization,mrna metabolic process,channel activity
immune cell development,pyrroline-5-carboxylate reductase activity,rna polymerase ii ctd isomerase activity,gamma-delta t cell activation,immune system signaling pathway,aldehyde dehydrogenase [nad(p)+] activity
cytoplasmic ribonucleoprotein granule association,cytoplasmic ribonucleoprotein granule localization,peptidyl-threonine phosphorylation,chromocenter,protein-protein interactions (β-catenin),chondroitin sulfate proteoglycan biosynthetic process
immune cell development,pyrroline-5-carboxylate reductase activity,immune system signaling pathway,rna polymerase ii ctd isomerase activity,neurotrophin receptor activity,cytoplasmic stress granule
cytoplasmic ribonucleoprotein granule association,chondroitin sulfate proteoglycan biosynthetic process,protein-protein interactions (β-catenin),myosin light chain phosphatase regulatory subunit f,cell leading edge,chromocenter
