ENSG00000167323,STIM1,calcium influx regulation,oncogenic process,increased proliferation,metastasis promotion,therapeutic target,protein-protein interaction
ENSG00000144935,TRPC1,calcium signaling pathway,cell proliferation,epithelial-to-mesenchymal transition (emt),nf-κb activation,tumor progression,therapeutic target
ENSG00000089250,NOS1,angiogenesis,promoter of tumor progression,enhancer of cell migration,regulator of nitric oxide signaling,prognostic biomarker potential,cellular interaction and regulation
ENSG00000058668,ATP2B4,cellular calcium regulation,ca2+ pump activity,apoptosis evasion,protein kinase activation,signaling pathway modulation,tumor progression promotion
ENSG00000069431,ABCC9,atp-sensitive potassium channels,cellular ion balance,tumor progression,cancer resistance,apoptosis inhibition,genetic mutations
ENSG00000187486,KCNJ11,cellular proliferation,channel dysfunction,insulin signaling pathway,oncogenic driver,potassium homeostasis regulation,tumor growth promotion
ENSG00000084754,HADHA,mitochondrial dysfunction,fatty acid metabolism disorder,energetic alterations,cellular proliferation,metabolic reprogramming,oncogenic transformation
ENSG00000138029,HADHB,mitochondrial function,dysregulated fatty acid oxidation,metabolic reprogramming,oxidative stress,tumor suppressor potential,energetic homeostasis
ENSG00000197265,GTF2E2,transcriptional regulation,overexpression,tumor progression,cell proliferation,gene expression,oncogenic activity
ENSG00000153767,GTF2E1,tfiie transcriptional regulation,cell proliferation,dna repair,metastasis promotion,tumor aggressiveness enhancement,chemotherapy resistance
ENSG00000140307,GTF2A2,transcriptional regulation,cellular proliferation,dna repair mechanisms,oncogenesis,transcription factor assembly,gene expression dysregulation
ENSG00000165417,GTF2A1,transcriptional regulation,cell proliferation,oncogenic pathway activation,chromatin remodeling,histone modification,tumor progression
ENSG00000162738,VANGL2,wnt signaling pathway,maintenance of tissue polarity,regulation of epithelial-to-mesenchymal transition (emt),cell migration and invasion,tissue architecture regulation,cytoskeletal component interaction
ENSG00000274287,SCRIB,tumor suppression,epithelial polarity regulation,cell growth inhibition,pi3k/akt pathway modulation,apoptosis induction,cell adhesion maintenance
ENSG00000004975,DVL2,wnt/beta-catenin pathway,constitutive activation,increased cell proliferation,cell migration enhancement,oncogenic driver,molecular target
ENSG00000102981,PARD6A,par-1 interaction,ampk signaling dysregulation,abl1/egfr interaction,oncogenic protein binding,cell proliferation enhancement,prognostic marker
