ENSG00000167323,STIM1,cellular calcium regulation,oncogenic signaling pathway,protein kinase activation,calcium influx regulation,tumor progression promotion,genomic instability
ENSG00000144935,TRPC1,aberrant calcium signaling,cell proliferation,channel function regulation,drug resistance facilitation,metastasis promotion,oncogenic pathway activation
ENSG00000089250,NOS1,pro-inflammatory responses,angiogenesis promotion,oncogenic signaling pathways,tumor microenvironment modulation,cell survival enhancement,metastasis facilitation
ENSG00000058668,ATP2B4,calcium regulation,cellular signaling,plasma membrane localization,p-type atpase family member,cellular growth modulation,ancillary protein interaction
ENSG00000069431,ABCC9,channel regulation,oncogenic activity,metabolic reprogramming,tumor growth,angiogenesis evasion,poor prognosis marker
ENSG00000187486,KCNJ11,tumor suppressor function,ion balance regulation,cellular metabolism modulation,therapeutic target potential,potassium channel interaction,metabolic reprogramming
ENSG00000084754,HADHA,cellular metabolism alteration,fatty acid metabolism regulation,mitochondrial function influence,energy production disruption,cell growth promotion,bioenergetic shift
ENSG00000138029,HADHB,beta-oxidation,tumor progression,mitochondrial function,energy production,metabolic regulation,fatty acid metabolism
ENSG00000197265,GTF2E2,transcriptional regulation,dysregulated gene expression,gain-of-function mutations,cell cycle progression,cdkn1a regulation,tumor suppressor antagonism
ENSG00000153767,GTF2E1,transcriptional regulation,apoptosis inhibition,cell cycle progression,dna repair mechanisms,tumor suppressor function,genomic instability
ENSG00000140307,GTF2A2,transcriptional regulation,constitutive activation,tumor progression,oncogene function,cell proliferation,genomic instability
ENSG00000165417,GTF2A1,transcription regulation,genomic stability,oncogenic processes,dna damage response,gene expression modulation,protein interaction
ENSG00000162738,VANGL2,pcd pathway regulation,tumor progression driver,cell migration regulator,epithelial-to-mesenchymal transition promoter,prognostic marker,signaling molecule interaction
ENSG00000274287,SCRIB,hippo pathway regulation,tumor suppressor function,cell polarity disruption,epithelial-to-mesenchymal transition,signaling molecule interaction,pi3k/akt pathway modulation
ENSG00000004975,DVL2,wnt/pcp pathway,oncogenic driver,cell migration regulation,planar cell polarity disruption,tumor progression facilitation,frizzled receptor interaction
ENSG00000102981,PARD6A,oncogene activation,cell polarity disruption,microtubule regulation,cell migration promotion,tumor aggressiveness,prognostic marker
ENSG00000177885,GRB2,ras/mapk pathway,adaptor protein function,cell proliferation regulation,oncogenic mutations,therapeutic target,protein-protein interactions
ENSG00000109458,GAB1,signaling molecule regulation,oncogenic amplification,growth factor receptor interaction,cellular survival enhancement,tumor progression facilitation,protein kinase activation
ENSG00000146648,EGFR,epidermal growth factor receptor activation,cell proliferation enhancement,pi3k/akt pathway activation,tumor angiogenesis promotion,signaling pathway cross-talk,mutational hotspot
ENSG00000138798,EGF,cell proliferation,overexpression,tumor progression,therapeutic target,signaling pathway,angiogenesis
ENSG00000121879,PIK3CA,pi3k/akt/mtor pathway,constitutive activation,gain of function mutations,tumor progression,therapeutic target,genomic profiling
ENSG00000145675,PIK3R1,pi3k/akt pathway regulation,regulatory subunit dysfunction,tumor progression driver,ras-raf-mek signaling interaction,akt/mtor pathway activation,survival and growth promotion
ENSG00000197122,SRC,src activation,oncogenic signaling,gain of function mutations,cell proliferation,signaling pathway regulation,transcription factor modulation
ENSG00000089159,PXN,cytoskeletal regulation,cell adhesion molecule,oncogenic signaling,tumor progression,overexpression,poor prognosis
ENSG00000137392,CLPS,cell migration,extracellular matrix degradation,secreted serine protease activity,tumor progression,prognostic marker,cell invasion
ENSG00000175535,PNLIP,lipid metabolism,oncogene overexpression,tumor progression,cell proliferation,lipid accumulation,metabolic regulation
ENSG00000078369,GNB1,cancer-related signaling,g protein regulation,cell proliferation enhancement,ciliogenesis disruption,oncogenic pathway activation,biomarker potential
ENSG00000127928,GNGT1,mtor pathway regulation,aberrant expression,oncogene activation,cell signaling modulation,tumor progression driver,guanine nucleotide-binding protein subunit
ENSG00000198515,CNGA1,cancer-promoting,cell proliferation,aberrant expression,tumor progression,signaling pathway regulation,calcium channel function
ENSG00000070729,CNGB1,ion channel regulation,gene expression upregulation,cell signaling modulation,tumor microenvironment influence,cyclic nucleotide-gated channel function,protein-protein interaction
ENSG00000257365,FNTB,ras interaction,prenylation pathway,tumor progression,cellular proliferation,protein prenylation,metabolic regulation
ENSG00000168522,FNTA,fatty acid biosynthesis,tumor growth,aggressive disease,therapeutic target,cell proliferation,energy storage
ENSG00000113522,RAD50,homologous recombination repair (hrr),genomic instability,cell survival,dna damage response,telomere stability,biomarker target
ENSG00000020922,MRE11,dna repair,genomic instability,chromosomal instability,cellular response,protein interaction,tumor suppression
ENSG00000182481,KPNA2,nuclear import regulation,oncogenesis promotion,cell proliferation enhancement,protein import facilitation,therapeutic target identification,genomic overexpression
