ENSG00000167323,STIM1,calcium signaling,soce,er stress,cell proliferation,apoptosis,tumor growth
ENSG00000144935,TRPC1,calcium influx,cell proliferation,tumor growth,metastasis,apoptosis modulation,trpc1 overexpression
ENSG00000089250,NOS1,nitric oxide production,tumor growth,immune modulation,neurotransmission,epigenetic modifications,nos1 expression
ENSG00000058668,ATP2B4,calcium transport,intracellular calcium homeostasis,cell proliferation,apoptosis regulation,tumor development,signal transduction
ENSG00000069431,ABCC9,potassium efflux,membrane potential,neuronal excitability,abc transporter,kcnq complex,none
ENSG00000187486,KCNJ11,potassium channel,kir3.1,neuronal excitability,membrane potential,inherited disorders,cardiac function
ENSG00000084754,HADHA,fatty acid oxidation,energy production,metabolic disorders,cellular function,enzyme activity,cellular processes
ENSG00000138029,HADHB,fatty acid oxidation,mitochondrial function,energy metabolism,cellular dysfunction,tumorigenesis,metabolic reprogramming
ENSG00000197265,GTF2E2,transcriptional regulation,pre-initiation complex assembly,rna polymerase ii binding,gene expression,tumor progression,potential therapeutic target
ENSG00000153767,GTF2E1,transcriptional regulation,gene expression,tfiie complex,rna polymerase ii assembly,pre-initiation complex,oncogene potential
ENSG00000140307,GTF2A2,transcription factor,rna polymerase ii,gene expression,tumorigenesis,cell growth,dna repair
ENSG00000165417,GTF2A1,transcriptional regulation,gene expression,promoter binding,transcription factor,oncogenic processes,aberrant gene expression
ENSG00000162738,VANGL2,planar cell polarity pathway,cell division regulation,tissue morphogenesis,tumor growth,metastasis,developmental processes
ENSG00000274287,SCRIB,tumor suppressor,oncoprotein,actin cytoskeleton,cell adhesion,cell polarity,apoptosis
ENSG00000004975,DVL2,wnt signaling,dishevelled protein,adaptor protein,cell proliferation,tumorigenesis,oncogene
ENSG00000102981,PARD6A,epithelial-mesenchymal transition (emt),cell migration,invasion,signal transduction,cytoskeletal organization,cancer progression
ENSG00000177885,GRB2,grb2 adaptor protein,sh2 domain binding,rtk signaling,ras/mapk pathway,oncogenic potential,breast cancer susceptibility
ENSG00000109458,GAB1,gab1 overexpression,pi3k/akt signaling,rtk activation,cell proliferation,tumor progression,chemotherapy resistance
ENSG00000146648,EGFR,egfr signaling,tumor progression,oncogenic mutations,therapeutic target,tyrosine kinase activation,receptor dimerization
ENSG00000138798,EGF,egfr overexpression,tumor growth,pi3k/akt signaling,mapk pathway,cell proliferation,metastasis
ENSG00000121879,PIK3CA,pi3k/akt signaling,constitutive activation,oncogene,tumor progression,cell proliferation,drug target
ENSG00000145675,PIK3R1,pi3k pathway activation,oncogenic signaling,p85 subunit mutations,tumor growth,cell proliferation,metabolic dysregulation
ENSG00000197122,SRC,src amplification,tyrosine kinase activation,cell proliferation,metastasis,oncogenic signaling,none
ENSG00000089159,PXN,focal adhesion,cell migration,tumor invasion,metastasis,poor prognosis,extracellular matrix interaction
ENSG00000137392,CLPS,dna repair,par cleavage,cell cycle regulation,genomic stability,homologous recombination,protein interaction
ENSG00000175535,PNLIP,phosphatidylinositol phosphates (pips),phosphatase activity,lipid signaling pathways,cell growth,proliferation,oncogenic transformation
ENSG00000078369,GNB1,g protein signaling,heterotrimeric g protein,receptor tyrosine kinases,cancer cell sensitivity,signal transduction,apoptosis regulation
ENSG00000127928,GNGT1,protein n-glycosylation,glycosyltransferase,tumor cell growth,tumor progression,protein function,immune evasion
ENSG00000198515,CNGA1,cyclic nucleotide-gated channel,photoreceptor function,retinal signaling,vision transduction,tissue expression,gene regulation
ENSG00000070729,CNGB1,voltage-gated calcium channels,cellular signaling,neurotransmitter release,neuronal excitability,muscle contraction,disease states
ENSG00000257365,FNTB,cell adhesion,migration,epithelial-mesenchymal transition (emt),tumor progression,metastasis,potential therapeutic target
ENSG00000168522,FNTA,ecm organization,cell adhesion,tumor progression,metastasis,integrin interaction,fibronectin
ENSG00000113522,RAD50,dna repair,double-strand break,nhej pathway,genomic instability,tumorigenesis,mrn complex
ENSG00000020922,MRE11,dna repair,genomic instability,nhej pathway,tumorigenesis,double-strand break,ionizing radiation sensitivity
ENSG00000182481,KPNA2,nucleocytoplasmic transport,nuclear localization signals (nlss),protein import,cell cycle regulation,dna repair,transcriptional control
ENSG00000104320,NBN,dna repair,genomic instability,tumorigenesis,brca association,hereditary predisposition,nijmegen breakage syndrome
ENSG00000172977,KAT5,chromatin remodeling,histone acetylation,gene regulation,tumor progression,cancer development,potential therapeutic target
ENSG00000149311,ATM,dna damage response,genomic instability,double-strand breaks,cell cycle arrest,apoptosis,oncogenesis
ENSG00000009954,BAZ1B,chromatin remodeling,gene expression regulation,tumor growth,dna repair,cell cycle control,oncogene
ENSG00000153147,SMARCA5,chromatin remodeling,gene expression regulation,swi/snf complex,cell cycle control,tumor development,dna repair
ENSG00000103275,UBE2I,ubiquitination pathway,dna repair,homologous recombination repair (hrr),brca-associated breast invasive carcinoma,chemotherapy sensitivity,cancer progression
ENSG00000116030,SUMO1,sumoylation,dna repair,cell cycle regulation,protein modification,cancer development,apoptosis
ENSG00000169139,UBE2V2,ubiquitination,dna repair,e3 ligase interaction,protein degradation,cell cycle control,tumorigenesis
ENSG00000177889,UBE2N,ubiquitin-conjugating enzyme,ubiquitin-proteasome system,protein degradation,oncoprotein accumulation,tumor progression,brca-associated
ENSG00000138376,BARD1,homologous recombination,dna repair,ubiquitin ligase activity,brca1 interaction,tumor suppressor,genomic instability
ENSG00000012048,BRCA1,tumor suppressor,homologous recombination,genomic instability,dna repair,cell cycle regulation,transcriptional control
ENSG00000188612,SUMO2,dna damage response,genomic instability,homologous recombination,sumoylation,protein modification,tumor development
ENSG00000225589,MDC1,dna damage response,double-strand break repair,genomic instability,tumor suppressor,cell cycle checkpoint activation,atm kinase interaction
ENSG00000128731,HERC2,ubiquitination,e3 ligase,cell cycle regulation,dna repair,tumor suppressor potential,oncogenesis
ENSG00000164053,ATRIP,dna damage response,atm stabilization,genomic instability,tumor suppression,cell cycle arrest,dsb repair
ENSG00000175054,ATR,dna damage response,homologous recombination,dna repair,cell cycle checkpoint,tumor survival,therapeutic target
ENSG00000111602,TIMELESS,dna replication,genomic instability,homologous recombination,tumorigenesis,dna repair defects,brca_breast invasive carcinoma
ENSG00000075131,TIPIN,homologous recombination,dna repair,genomic instability,brca1 interaction,tipin complex,cancer susceptibility
ENSG00000163605,PPP4R2,protein phosphatase 4 (pp4),cell cycle regulation,dna repair,tumorigenesis,signal transduction,apoptosis
ENSG00000149923,PPP4C,protein phosphatase 4,cell cycle regulation,tumorigenesis,dna repair,apoptosis,chemotherapy sensitivity
ENSG00000108384,RAD51C,homologous recombination,dna repair,genomic instability,hereditary cancer predisposition,tumor suppressor gene,rad51 protein family
ENSG00000126215,XRCC3,homologous recombination,dna double-strand break repair,genomic instability,brca-associated,cancer susceptibility,dna repair pathway
ENSG00000197774,EME2,translation initiation,ribosome assembly,eif complex,oncogenesis,cell proliferation,dysregulation
