ENSG00000167323,STIM1,calcium ion binding,store-operated calcium channel activity,intracellular calcium homeostasis,positive regulation of angiogenesis,regulation of transport,detection of calcium ion
ENSG00000144935,TRPC1,store-operated calcium channel activity,calcium ion transmembrane transport,regulation of cytosolic calcium ion concentration,plasma membrane localization,signaling receptor binding,positive regulation of release of sequestered calcium ion into cytosol
ENSG00000089250,NOS1,nitric oxide synthase activity,immunosuppression,angiogenesis,tumor growth promotion,metastasis,vascular remodeling
ENSG00000058668,ATP2B4,calcium ion transmembrane transporter activity,regulation of cell cycle g1/s phase transition,negative regulation of angiogenesis,cytosolic calcium ion homeostasis,sodium ion transmembrane transport,protein phosphatase 2b binding
ENSG00000069431,ABCC9,potassium ion transport,atpase-coupled potassium channel activity,blood vessel diameter maintenance,cardiac muscle cell contraction,action potential,response to decreased oxygen levels
ENSG00000187486,KCNJ11,atp-sensitive potassium channel activity,potassium ion transmembrane transport,glucose metabolism,insulin secretion regulation,cellular membrane potential regulation,membrane localization
ENSG00000084754,HADHA,fatty acid beta-oxidation,mitochondrial localization,organic acid catabolism,nad+ binding,enoyl-coa hydratase activity,3-hydroxyacyl-coa dehydrogenase activity
ENSG00000138029,HADHB,fatty acid beta-oxidation,acyltransferase activity,mitochondrion localization,energy metabolism,cellular response to stress,cancer cell growth and survival
ENSG00000197265,GTF2E2,rna polymerase ii general transcription initiation factor activity,transcription initiation at rna polymerase ii promoter,tfiih-class transcription factor complex binding,dna binding,protein binding,nucleoplasm localization
ENSG00000153767,GTF2E1,transcription factor tfiie complex,rna polymerase ii promoter,transcription initiation at rna polymerase ii promoter,nucleoplasm,protein binding,metal ion binding
ENSG00000140307,GTF2A2,transcription factor tfiid complex,rna polymerase ii general transcription initiation factor activity,positive regulation of transcription by rna polymerase ii,transcription by rna polymerase ii,protein binding,protein homodimerization activity
ENSG00000165417,GTF2A1,rna polymerase ii preinitiation complex assembly,positive regulation of transcription by rna polymerase ii,transcription factor tfiid complex,nucleoplasm localization,protein heterodimerization activity,dna binding
ENSG00000162738,VANGL2,planar cell polarity,protein binding,cell-cell junction,non-motile cilium assembly,wnt signaling pathway,kidney development
ENSG00000274287,SCRIB,epithelial cell polarity,cell-cell adhesion,synaptic vesicle endocytosis,cell migration,negative regulation of mitotic cell cycle,adherens junction
ENSG00000004975,DVL2,wnt signaling pathway,positive regulation of transcription,protein phosphorylation,regulation of cell population proliferation,actin cytoskeleton organization,planar cell polarity pathway
ENSG00000102981,PARD6A,small gtpase binding,cell polarity establishment,protein secretion regulation,centrosome cycle,positive regulation of protein localization to centrosome,epithelial cell apical/basal polarity
ENSG00000177885,GRB2,adaptor protein activity,receptor tyrosine kinase binding,ras protein signal transduction,cellular proliferation,survival,immune evasion
ENSG00000109458,GAB1,signaling adaptor activity,angiogenesis,insulin receptor signaling pathway,epidermal growth factor receptor signaling pathway,vascular endothelial growth factor signaling pathway,positive regulation of blood vessel endothelial cell migration
ENSG00000146648,EGFR,epidermal growth factor receptor activity,transmembrane signaling,protein tyrosine kinase activity,ligand binding (egf),cell proliferation,tumor progression
ENSG00000138798,EGF,egf receptor binding,protein binding,growth factor activity,positive regulation of cell proliferation,positive regulation of angiogenesis,epidermal growth factor receptor signaling pathway
ENSG00000121879,PIK3CA,phosphatidylinositol 3-kinase activity,epidermal growth factor receptor signaling pathway,negative regulation of fibroblast apoptotic process,positive regulation of smooth muscle cell proliferation,cellular response to glucose stimulus,phosphatidylinositol-mediated signaling
ENSG00000145675,PIK3R1,phosphatidylinositol 3-kinase/protein kinase b signal transduction,positive regulation of tumor necrosis factor production,negative regulation of apoptotic process,insulin receptor signaling pathway,regulation of stress fiber assembly,cellular response to insulin stimulus
ENSG00000197122,SRC,tyrosine kinase activity,growth factor signaling,cell migration,glucose metabolism,positive regulation of cell proliferation,transformation
ENSG00000089159,PXN,focal adhesion,cell migration,protein binding,vinculin binding,beta-catenin binding,reactive oxygen species response
ENSG00000137392,CLPS,lipase binding,enzyme activator activity,lipid metabolic process,lipid catabolic process,response to bacterium,extracellular region
ENSG00000175535,PNLIP,lipase activity,triacylglycerol lipase activity,lipid catabolic process,extracellular space,retinol metabolic process,none
ENSG00000078369,GNB1,gtpase activity,g protein-coupled receptor signaling pathway,ras protein signal transduction,protein-containing complex binding,cellular response to prostaglandin e stimulus,heterotrimeric g-protein complex
ENSG00000127928,GNGT1,cellular response to hypoxia,g protein-coupled receptor signaling pathway,gtpase activity,protein binding,heterotrimeric g-protein complex,plasma membrane localization
ENSG00000198515,CNGA1,camp binding,cgmp binding,sodium channel activity,calcium channel activity,monoatomic ion transport,transmembrane transport
ENSG00000070729,CNGB1,cyclic nucleotide-activated monoatomic ion channel activity,plasma membrane localization,sodium ion transport,calcium ion transport,ion channel modulating,signal transduction pathway
ENSG00000257365,FNTB,protein farnesyltransferase activity,prenylation,signal transduction,cytoskeletal organization,lipid metabolic process,membrane anchoring
ENSG00000168522,FNTA,prenylation,microtubule binding,receptor tyrosine kinase binding,rac protein signal transduction,transforming growth factor beta receptor signaling,protein farnesyltransferase activity
ENSG00000113522,RAD50,dna repair,double-strand break repair,homologous recombination,telomere maintenance via recombination,dna binding,atp hydrolysis activity
ENSG00000020922,MRE11,dna endonuclease activity,homologous recombination,non-homologous end joining,telomere maintenance,double-strand break repair,dna damage response
ENSG00000182481,KPNA2,nuclear localization signal binding,nls-dependent protein nuclear import,protein transport,viral life cycle regulation,dna metabolic process,positive regulation of type i interferon production
ENSG00000104320,NBN,dna repair via homologous recombination,double-strand break repair via alternative nonhomologous end joining,dna double-strand break processing,mitotic g2 dna damage checkpoint signaling,mre11 complex,chromosome
ENSG00000172977,KAT5,histone acetyltransferase activity,dna repair,double-strand break repair,regulation of cell cycle,transcription coregulator activity,chromatin binding
ENSG00000149311,ATM,dna damage response,homologous recombination,non-homologous end joining,transcriptional regulation,cell cycle checkpoint,apoptosis induction
ENSG00000009954,BAZ1B,histone acetyltransferase activity,chromatin remodeling,transcriptional regulation,dna damage response,pericentric heterochromatin localization,protein-protein interactions
ENSG00000153147,SMARCA5,atp-dependent chromatin remodeler activity,dna repair,chromatin organization,transcription regulation by rna polymerase ii,heterochromatin formation,antiviral innate immune response
ENSG00000103275,UBE2I,sumo conjugating enzyme activity,protein sumoylation,transcriptional regulation,cell migration,ubiquitin-dependent protein catabolic process,nuclear export
ENSG00000116030,SUMO1,protein stability regulation,dna repair,transcriptional regulation,protein sumoylation,ubiquitin-specific protease binding,transcription factor binding
ENSG00000169139,UBE2V2,protein k63-linked ubiquitination,dna double-strand break repair,postreplication repair,ubiquitin conjugating enzyme complex,nucleoplasm,genomic instability
ENSG00000177889,UBE2N,ubiquitin conjugating enzyme activity,dna repair,protein k63-linked ubiquitination,nf-kappab signaling,postreplication repair,homologous recombination
ENSG00000138376,BARD1,ubiquitin ligase activity,homologous recombination,dna repair,brca1 interaction,protein ubiquitination,cell cycle regulation
ENSG00000012048,BRCA1,dna damage response,homologous recombination,double-strand break repair,cell cycle regulation,ubiquitination,transcriptional regulation
ENSG00000188612,SUMO2,protein sumoylation,transcription regulation,proteasomal ubiquitin-dependent protein catabolic process,rna polymerase ii,oncoprotein degradation,tumor suppressor proteins
ENSG00000225589,MDC1,dna damage response,histone reader activity,protein binding,chromatin organization,double-strand break repair,cell cycle checkpoint signaling
ENSG00000128731,HERC2,ubiquitin-protein transferase activity,dna repair,negative regulation of notch signaling pathway,protein ubiquitination,cytoplasm localization,nucleus localization
ENSG00000164053,ATRIP,dna damage checkpoint signaling,double-strand break repair,regulation of dna repair,nucleobase-containing compound metabolic process,protein binding,k63-linked polyubiquitin modification-dependent protein binding
ENSG00000175054,ATR,dna damage response,cell cycle checkpoint regulation,histone kinase activity,double-strand break repair,dna replication,genomic stability
ENSG00000111602,TIMELESS,dna replication checkpoint signaling,dna repair,double-strand break repair via homologous recombination,cell cycle phase transition,circadian rhythm,cellular response to dna damage
ENSG00000075131,TIPIN,dna damage response,cell cycle phase transition,replication fork processing,positive regulation of cell population proliferation,chromatin localization,protein binding
ENSG00000163605,PPP4R2,protein phosphatase regulator activity,double-strand break repair via homologous recombination,rna splicing,protein binding,chromatin,centrosome
ENSG00000149923,PPP4C,serine/threonine-protein phosphatase activity,rna polymerase ii ctd phosphatase activity,histone h2ax phosphatase activity,regulation of transcription by rna polymerase ii,double-strand break repair via homologous recombination,chromatin remodeling
ENSG00000108384,RAD51C,homologous recombination,dna double-strand break repair,g2/m transition regulation,protein complex assembly,nucleus localization,cytoplasm localization
ENSG00000126215,XRCC3,double-strand break repair,homologous recombination,dna damage response,telomere maintenance,mitotic recombination,chromosome
ENSG00000197774,EME2,endonuclease activity,dna binding,double-strand break repair,mitotic intra-s dna damage checkpoint signaling,replication fork processing,holliday junction resolvase complex
ENSG00000172732,MUS81,endonuclease activity,dna binding,double-strand break repair,break-induced replication,replication fork processing,dna recombination
ENSG00000154920,EME1,dna repair,double-strand break repair,meiotic recombination,endonuclease activity,nuclease activity,crossover junction dna endonuclease activity
ENSG00000139618,BRCA2,dna repair,homologous recombination (hr),double-strand break repair,cell cycle regulation,chromosome organization,signaling pathway response to dna damage
ENSG00000051180,RAD51,dna damage sensor activity,double-strand break repair via homologous recombination,dna strand invasion,cellular response to ionizing radiation,regulation of dna damage checkpoint,cellular response to cisplatin
ENSG00000175595,ERCC4,dna endonuclease activity,nucleotide-excision repair,double-strand break repair,telomere maintenance,autophagy regulation,uv protection
ENSG00000012061,ERCC1,nucleotide-excision repair,dna damage response,uv protection,oxidative stress response,tumor suppressor function,genomic stability
