TBP,transcription initiation at rna polymerase ii promoter,positive regulation of transcription initiation by rna polymerase ii,dna-templated transcription initiation,rna polymerase ii preinitiation complex assembly,dna-binding transcription factor binding,transcription factor tfiid complex
RPS20,ribosomal protein biogenesis,translation,ubiquitin ligase inhibitor activity,protein binding,p53 signaling pathway,cytoplasmic localizatio
SUPT5H,rna polymerase ii regulation,transcription elongation,chromatin remodeling,positive regulation of transcription,negative regulation of transcription,protein heterodimerization activity
GNB4,signal transduction,g protein-coupled receptor signaling pathway,protein binding,cellular component as cytosol,lysosomal membrane,heterotrimeric g-protein complex
MTA3,chromatin binding,transcription corepressor activity,histone deacetylase binding,negative regulation of dna-templated transcription,chromatin remodeling,g2/m transition of mitotic cell cycle
EXOC2,vesicle tethering involved in exocytosis,golgi to plasma membrane transport,protein transport,exocytosis,small gtpase binding,protein kinase binding
CCNT2,positive regulation of dna-templated transcription,cyclin-dependent protein serine/threonine kinase activator activity,transcription coactivator binding,7sk snrna binding,cellular component as nucleus,nucleoplasm
ORC1,origin recognition complex subunit,chromatin binding,dna replication initiation,atp hydrolysis activity,protein binding,dna binding
RPL3,ribosomal subunit assembly,cytoplasmic translation,protein binding,rna binding,cellular response to interleukin-4,focal adhesion localization
MT-ND1,nadh dehydrogenase (ubiquinone) activity,mitochondrial electron transport,protein binding,response to hypoxia,proton transmembrane transport,mitochondrion
PSMB5,proteolysis,proteasome-mediated ubiquitin-dependent protein catabolic process,endopeptidase activity,threonine-type endopeptidase activity,protein binding,tumorigenesis
RPA2,single-stranded dna binding,dna damage binding,homologous recombination,telomeric dna binding,double-strand break repair,nucleotide-excision repair
EIF3B,regulation of translational initiation,translational initiation,cytoplasmic stress granule,protein binding,rna binding,translation initiation factor activit
NOS3,nitric oxide biosynthetic process,vasodilation,angiogenesis,regulation of blood pressure,positive regulation of blood vessel endothelial cell migration,smooth muscle hyperplasia
MRPS7,mitochondrial translation,ribosomal small subunit assembly,rrna binding,mrna binding,structural constituent of ribosome,rna binding
NDC80,kinetochore adaptor activity,microtubule binding,protein binding,cyclin binding,mitotic cell cycle,attachment of spindle microtubules to kinetochore
GNB3,g protein-coupled receptor signaling pathway,regulation of cholesterol metabolic process,regulation of triglyceride metabolic process,regulation of glucose metabolic process,gtpase activity,heterotrimeric g-protein comple
POLR1C,rna polymerase i activity,rna polymerase iii activity,dna-directed rna polymerase activity,protein binding,nucleolus localization,transcription by rna polymerase
RPL36,structural constituent of ribosome,rna binding,cytoplasmic translation,translation,ribosome,nucleolus
