ENSG00000167323,STIM1,store-operated calcium entry,calcium ion transport,intracellular calcium homeostasis,microtubule binding,protein binding,positive regulation of angiogenesis
ENSG00000144935,TRPC1,store-operated calcium channel activity,calcium channel activity,regulation of cytosolic calcium ion concentration,signaling receptor binding,cellular proliferation,cancer cell survival
ENSG00000089250,NOS1,nitric oxide synthase activity,nitric oxide mediated signal transduction,vasodilation,cellular redox homeostasis,immune response,blood pressure regulation
ENSG00000058668,ATP2B4,calcium ion transmembrane transporter activity,regulation of cell cycle g1/s phase transition,negative regulation of angiogenesis,cell cycle,nitric oxide biosynthetic process,blood vessel endothelial cell migration
ENSG00000069431,ABCC9,potassium channel activity,blood vessel diameter maintenance,cardiac conduction,cellular response to potassium ion,response to decreased oxygen levels,atp metabolic process
ENSG00000187486,KCNJ11,potassium ion transport,regulation of membrane potential,insulin secretion,neuronal excitability,action potential,cellular response to stress
ENSG00000084754,HADHA,enoyl-coa hydratase activity,mitochondrial fatty acid beta-oxidation,acetyl-coa production,cellular respiration,nad+ binding,fatty acid metabolism
ENSG00000138029,HADHB,3-hydroxyacyl-coa dehydrogenase activity,enoyl-coa hydratase activity,fatty acid beta-oxidation,rna binding,mitochondrion localization,acyltransferase activity
ENSG00000197265,GTF2E2,transcription initiation at rna polymerase ii promoter,rna polymerase ii general transcription initiation factor activity,tfiih-class transcription factor complex binding,nucleoplasm localization,protein binding,dna binding
ENSG00000153767,GTF2E1,transcription by rna polymerase ii,transcription initiation at rna polymerase ii promoter,rna polymerase ii general transcription initiation factor activity,protein binding,nucleoplasm localization,metal ion binding
ENSG00000140307,GTF2A2,transcription initiation factor iia gamma chain,rna polymerase ii preinitiation complex assembly,positive regulation of transcription by rna polymerase ii,tbp-class protein binding,transcription factor tfiia complex,cell junction
ENSG00000165417,GTF2A1,rna polymerase ii preinitiation complex assembly,positive regulation of transcription by rna polymerase ii,transcription factor tfiid complex,nucleoplasm localization,protein binding,dna binding
ENSG00000162738,VANGL2,wnt signaling pathway,planar cell polarity pathway,cell migration,protein binding,plasma membrane localization,apical protein localization
ENSG00000274287,SCRIB,cell-cell adhesion,apical/basal polarity,type ii interferon production,adherens junction,t cell proliferation,signaling pathway
ENSG00000004975,DVL2,wnt signaling,transcriptional regulation,cell proliferation,actin cytoskeleton organization,jnk cascade activation,protein adaptor activity
ENSG00000102981,PARD6A,small gtpase binding,gtp-dependent protein binding,protein localization to centrosome,establishment or maintenance of epithelial cell apical/basal polarity,cell division,centrosome cycle
