ENSG00000167323,STIM1,calcium ion binding,store-operated calcium entry,protein binding,angiogenesis,intracellular calcium ion homeostasis,enamel mineralization
ENSG00000144935,TRPC1,store-operated calcium channel activity,calcium ion transport,regulation of cytosolic calcium ion concentration,plasma membrane localization,signal transduction,positive regulation of release of sequestered calcium ion into cytosol
ENSG00000089250,NOS1,nitric-oxide synthase activity,angiogenesis,cellular response to growth factor stimulus,positive regulation of transcription by rna polymerase ii,calcium-dependent protein binding,nitric oxide mediated signal transduction
ENSG00000058668,ATP2B4,calcium ion transmembrane transport,negative regulation of nitric oxide biosynthetic process,intracellular calcium ion homeostasis,protein phosphatase 2b binding,cell cycle g1/s phase transition,regulation of protein localization to plasma membrane
ENSG00000069431,ABCC9,potassium ion transport,membrane potential regulation,angiogenesis,hypoxia response,mapk cascade,blood vessel development
ENSG00000187486,KCNJ11,potassium ion transport,regulation of membrane potential,glucose metabolic process,cellular response to nutrient levels,action potential,camkk-ampk signaling cascade
ENSG00000084754,HADHA,fatty acid beta-oxidation,mitochondrial fatty acid beta-oxidation multienzyme complex,organic acid catabolic process,nad binding,acetyl-coa c-acyltransferase activity,response to insulin
ENSG00000138029,HADHB,fatty acid beta-oxidation,acetyl-coa c-acyltransferase activity,mitochondrial localization,enoyl-coa hydratase activity,cellular response to lipopolysaccharide,cancer metabolism
ENSG00000197265,GTF2E2,rna polymerase ii general transcription initiation factor activity,transcription by rna polymerase ii,transcription initiation at rna polymerase ii promoter,nucleoplasm localization,tfiih-class transcription factor complex binding,dna binding
ENSG00000153767,GTF2E1,transcription initiation at rna polymerase ii promoter,rna polymerase ii general transcription initiation factor activity,metal ion binding,protein binding,nucleoplasm localization,transcription factor tfiid complex
ENSG00000140307,GTF2A2,transcription initiation factor iia gamma chain,rna polymerase ii preinitiation complex assembly,positive regulation of transcription by rna polymerase ii,transcription initiation at rna polymerase ii promoter,transcription factor tfiid complex,protein binding
ENSG00000165417,GTF2A1,rna polymerase ii transcription initiation,transcription factor complex assembly,preinitiation complex regulation,gene expression control,dna binding,protein interactions
ENSG00000162738,VANGL2,planar cell polarity pathway,cell migration,wnt signaling pathway,apical protein localization,axon guidance,cell-cell junction
ENSG00000274287,SCRIB,cell-cell adhesion,adherens junction organization,epithelial structure maintenance,cell migration,chemotaxis,synaptic vesicle endocytosis
ENSG00000004975,DVL2,wnt signaling pathway,protein-macromolecule adaptor activity,frizzled binding,regulation of actin cytoskeleton organization,positive regulation of jnk cascade,protein binding
ENSG00000102981,PARD6A,cell polarity establishment,gtp-dependent protein binding,positive regulation of protein localization to centrosome,regulation of cellular localization,centrosome cycle,protein binding
ENSG00000177885,GRB2,ras protein signal transduction,regulation of mapk cascade,epidermal growth factor receptor binding,insulin-like growth factor receptor signaling pathway,positive regulation of actin filament polymerization,protein-macromolecule adaptor activity
ENSG00000109458,GAB1,signaling adaptor activity,protein binding,positive regulation of angiogenesis,epidermal growth factor receptor signaling pathway,insulin receptor signaling pathway,signal transduction
ENSG00000146648,EGFR,epidermal growth factor binding,receptor tyrosine kinase activity,ras/raf/mek/erk pathway,pi3k/akt pathway,cell proliferation,none
ENSG00000138798,EGF,epidermal growth factor receptor binding,growth factor activity,erbb2-egfr signaling pathway,angiogenesis,epithelial cell proliferation,receptor ligand activity
ENSG00000121879,PIK3CA,phosphatidylinositol 3-kinase activity,histone kinase activity,insulin receptor substrate binding,glucose metabolism,negative regulation of macroautophagy,protein serine/threonine kinase activity
ENSG00000145675,PIK3R1,phosphatidylinositol 3-kinase/protein kinase b signal transduction,insulin receptor signaling,growth hormone receptor signaling,insulin-like growth factor receptor signaling,positive regulation of transcription by rna polymerase ii,regulation of toll-like receptor 4 signaling pathway
ENSG00000197122,SRC,tyrosine kinase activity,signal transduction,cell migration,proliferation,survival,immune modulation
ENSG00000089159,PXN,focal adhesion,cell migration,stress fiber assembly,integrin binding,tgf-beta signaling,vinculin binding
ENSG00000137392,CLPS,lipid metabolic process,response to bacterium,lipase binding,enzyme activator activity,digestion,extracellular region
ENSG00000175535,PNLIP,lipid catabolic process,triacylglycerol lipase activity,retinol metabolic process,all-trans-retinol forming activity,metal ion binding,extracellular space
ENSG00000078369,GNB1,gtpase activity,signal transduction,g protein-coupled receptor signaling pathway,protein-containing complex binding,cell population proliferation,adenylate cyclase-activating dopamine receptor signaling pathway
ENSG00000127928,GNGT1,g protein subunit gamma-binding,gtpase activity,phototransduction,cellular response to hypoxia,cardiac muscle cell apoptosis,g-protein coupled receptor signaling pathway
ENSG00000198515,CNGA1,cyclic nucleotide-gated channel activity,cng channel complex binding,intracellular cyclic nucleotide activated cation channel activity,sodium ion transmembrane transport,calcium ion transmembrane transport,photoreceptor outer segment
ENSG00000070729,CNGB1,cyclic nucleotide-gated ion channel activity,sodium ion transport,calcium ion transport,phototransduction,cell membrane localization,g protein interaction
ENSG00000257365,FNTB,protein farnesyltransferase activity,prenyltransferase activity,protein binding,cytosol localization,cell signaling,membrane trafficking
ENSG00000168522,FNTA,protein prenylation,microtubule binding,receptor tyrosine kinase binding,transforming growth factor beta receptor signaling pathway,cell adhesion,cell invasion
ENSG00000113522,RAD50,dna double-strand break repair,homologous recombination,atpase activity,protein binding,telomere maintenance,chromatin looping
ENSG00000020922,MRE11,dna endonuclease activity,dna helicase activity,homologous recombination,double-strand break repair,telomere maintenance,dna damage response
ENSG00000182481,KPNA2,nuclear import signal receptor activity,protein binding,nuclear localization sequence binding,dna metabolic process,regulation of dna recombination,positive regulation of type i interferon production
ENSG00000104320,NBN,dna double-strand break repair,homologous recombination,telomere maintenance,cell cycle regulation,chromatin-protein adaptor activity,protein k63-linked ubiquitination
ENSG00000172977,KAT5,histone acetyltransferase activity,dna repair,double-strand break repair via homologous recombination,regulation of cell cycle,response to glucose stimulus,transcriptional regulation
ENSG00000149311,ATM,dna damage response,histone phosphorylation,protein kinase activity,cell cycle regulation,apoptosis induction,genomic stability
ENSG00000009954,BAZ1B,histone kinase activity,chromatin organization,dna damage response,transcriptional regulation,protein tyrosine kinase activity,zinc ion binding
ENSG00000153147,SMARCA5,chromatin remodeling,dna repair,transcriptional regulation,nucleosome binding,atp-dependent chromatin remodeler activity,histone binding
ENSG00000103275,UBE2I,sumo conjugating enzyme activity,protein modification process,transcription regulation,cell division,nuclear localization,chromosome segregation
ENSG00000116030,SUMO1,protein stability regulation,dna repair,transcriptional control,stress response,tumorigenesis,cellular localization
ENSG00000169139,UBE2V2,protein k63-linked ubiquitination,dna double-strand break processing,postreplication repair,protein binding,ubiquitin conjugating enzyme complex,nucleoplasm localization
ENSG00000177889,UBE2N,dna repair,nf-kappab signaling,protein ubiquitination,homologous recombination,postreplication repair,immune response modulation
ENSG00000138376,BARD1,dna repair,histone ubiquitination,ubiquitin ligase activity,protein binding,brca1 complex interaction,cell cycle regulation
ENSG00000012048,BRCA1,homologous recombination,dna damage response,transcription coactivator activity,protein ubiquitination,dna binding,cell cycle regulation
ENSG00000188612,SUMO2,sumoylation,protein ubiquitination,transcriptional regulation,protein binding,post-translational modification,tumor suppression
ENSG00000225589,MDC1,chromatin-protein adaptor activity,histone reader activity,dna damage response,protein binding,double-strand break,dna repair
ENSG00000128731,HERC2,ubiquitin-protein transferase activity,dna repair,negative regulation of notch signaling pathway,protein ubiquitination,nucleoplasm localization,cytoplasm localization
ENSG00000164053,ATRIP,dna damage checkpoint signaling,double-strand break repair,nucleobase-containing compound metabolic process,k63-linked polyubiquitin modification-dependent protein binding,protein binding,exonuclease activity
ENSG00000175054,ATR,dna damage response,double-strand break repair,telomere maintenance,histone phosphorylation,cell cycle checkpoint,genomic stability
ENSG00000111602,TIMELESS,dna damage response,homologous recombination,replication fork protection,cell cycle checkpoint,double-strand break repair,nucleoplasm localization
ENSG00000075131,TIPIN,dna damage response,replication fork processing,mitotic intra-s dna damage checkpoint signaling,dna damage checkpoint signaling,cell cycle phase transition,nucleus localization
ENSG00000163605,PPP4R2,protein phosphatase regulator activity,dna repair via homologous recombination,chromatin association,mrna processing,protein binding,protein-macromolecule adaptor activity
ENSG00000149923,PPP4C,dna repair via homologous recombination,chromatin remodeling,regulation of transcription by rna polymerase ii,histone phosphatase activity,rna polymerase ii ctd phosphatase activity,nucleus localization
