ENSG00000167323,STIM1,calcium ion binding,store-operated calcium entry,intracellular calcium ion homeostasis,positive regulation of angiogenesis,activation of store-operated calcium channel activity,regulation of transport
ENSG00000144935,TRPC1,store-operated calcium channel activity,regulation of cytosolic calcium ion concentration,protein binding,atpase binding,signaling receptor binding,positive regulation of release of sequestered calcium ion into cytosol
ENSG00000089250,NOS1,nitric oxide synthase activity,calcium ion binding,vasodilation,immune modulation,cell redox homeostasis,arginine catabolic process
ENSG00000058668,ATP2B4,calcium ion transport,negative regulation of angiogenesis,signal transduction pathway,inflammation modulation,intracellular calcium homeostasis,protein phosphatase 2b binding
ENSG00000069431,ABCC9,potassium channel activity,cellular response to stimuli,regulation of membrane potential,ion transport,metabolic regulation,response to stress
ENSG00000187486,KCNJ11,potassium ion transport,atp-activated inward rectifier potassium channel activity,membrane potential regulation,insulin secretion regulation,glucose metabolic process,cellular response to nutrient levels
ENSG00000084754,HADHA,enoyl-coa hydratase activity,fatty acid beta-oxidation,mitochondrial fatty acid beta-oxidation multienzyme complex,mitochondria,long-chain-3-hydroxyacyl-coa dehydrogenase activity,nad binding
ENSG00000138029,HADHB,fatty acid beta-oxidation,acetyl-coa c-acyltransferase activity,mitochondrial envelope,3-hydroxyacyl-coa dehydrogenase activity,enoyl-coa hydratase activity,cellular energy production
ENSG00000197265,GTF2E2,rna polymerase ii general transcription initiation factor activity,transcription initiation at rna polymerase ii promoter,transcription factor tfiid complex binding,nucleoplasm localization,tfiih-class transcription factor complex binding,dna binding
ENSG00000153767,GTF2E1,transcription factor activity,rna polymerase ii transcription,nucleoplasm localization,gene expression regulation,protein binding,tfiie complex component
ENSG00000140307,GTF2A2,rna polymerase ii preinitiation complex assembly,transcription initiation at rna polymerase ii promoter,positive regulation of transcription by rna polymerase ii,transcription factor tfiid complex,protein binding,nucleoplasm localization
ENSG00000165417,GTF2A1,rna polymerase ii preinitiation complex assembly,transcription initiation at rna polymerase ii promoter,positive regulation of transcription by rna polymerase ii,dna binding,protein heterodimerization activity,tfiia complex
ENSG00000162738,VANGL2,planar cell polarity pathway,wnt signaling pathway,cell migration,axon guidance,tissue morphogenesis,protein binding
ENSG00000274287,SCRIB,epithelial cell polarity,adherens junction,cell migration,synaptic vesicle endocytosis,apoptotic process,tumor suppression
ENSG00000004975,DVL2,canonical wnt signaling pathway,non-canonical wnt signaling pathway,planar cell polarity pathway,positive regulation of jnk cascade,protein-macromolecule adaptor activity,protein binding
ENSG00000102981,PARD6A,protein localization to centrosome,regulation of cellular localization,centrosome cycle,establishment or maintenance of epithelial cell apical/basal polarity,positive regulation of protein secretion,cell division
ENSG00000177885,GRB2,adaptor protein activity,receptor tyrosine kinase binding,ras/mapk cascade regulation,cytoskeletal organization,signal transduction,protein-protein interactions
ENSG00000109458,GAB1,signaling adaptor activity,protein binding,insulin receptor signaling pathway,epidermal growth factor receptor signaling pathway,angiogenesis,vascular endothelial growth factor signaling pathway
ENSG00000146648,EGFR,epidermal growth factor binding,receptor tyrosine kinase activity,mapk/erk signaling pathway,pi3k/akt signaling pathway,plasma membrane localization,ephrin receptor signaling pathway
ENSG00000138798,EGF,epidermal growth factor receptor binding,receptor ligand activity,positive regulation of cell proliferation,angiogenesis,epithelial tube formation,erk1 and erk2 cascade
ENSG00000121879,PIK3CA,phosphatidylinositol 3-kinase activity,histone kinase activity,glucose metabolism,negative regulation of macroautophagy,cell proliferation,cellular survival
ENSG00000145675,PIK3R1,phosphatidylinositol 3-kinase/protein kinase b signal transduction,insulin receptor signaling pathway,positive regulation of insulin-like growth factor receptor signaling pathway,regulation of protein localization to plasma membrane,positive regulation of focal adhesion disassembly,none
ENSG00000197122,SRC,tyrosine kinase activity,receptor tyrosine kinase signaling,integrin-mediated signaling pathway,angiogenesis,cell migration,tumor proliferation
ENSG00000089159,PXN,focal adhesion,vinculin binding,beta-catenin binding,transforming growth factor beta receptor signaling pathway,cell migration,stress fiber assembly
ENSG00000137392,CLPS,lipase binding,lipid metabolic process,enzyme activator activity,inflammatory response,lipid catabolic process,extracellular region
ENSG00000175535,PNLIP,lipid metabolic process,lipase activity,triacylglycerol lipase activity,hydrolase activity,all-trans-retinol forming activity,extracellular space
ENSG00000078369,GNB1,heterotrimeric g-protein complex,guanine nucleotide binding,signal transduction,protein-containing complex binding,g protein-coupled receptor signaling pathway,cell population proliferation
ENSG00000127928,GNGT1,phototransduction,signal transduction,g protein-coupled receptor signaling pathway,cellular response to hypoxia,protein binding,gtpase activity
ENSG00000198515,CNGA1,cyclic nucleotide-gated channel activity,camp binding,cgmp binding,monoatomic cation transmembrane transport,calcium ion transport,sodium ion transport
ENSG00000070729,CNGB1,cyclic nucleotide-binding,ion channel activity,signal transduction,calcium ion regulation,sensory perception,olfactory response
ENSG00000257365,FNTB,protein farnesyltransferase activity,prenylation,protein binding,signal transduction,cell growth,tumor progression
ENSG00000168522,FNTA,protein farnesyltransferase activity,caax-protein geranylgeranyltransferase activity,enzyme-linked receptor protein signaling pathway,transforming growth factor beta receptor signaling pathway,positive regulation of rac protein signal transduction,microtubule binding
ENSG00000113522,RAD50,dna double-strand break repair,telomere maintenance,dna binding,atp hydrolysis activity,metal ion binding,dna repair
ENSG00000020922,MRE11,dna endonuclease activity,double-strand break repair via homologous recombination,telomere maintenance,dna helicase activity,protein binding,mitotic g2 dna damage checkpoint signaling
ENSG00000182481,KPNA2,protein import into nucleus,nuclear localization signal binding,dna recombination,positive regulation of viral life cycle,dna metabolic process,nls-dependent protein nuclear import complex
ENSG00000104320,NBN,dna damage response,homologous recombination,non-homologous end joining,telomere maintenance,cell cycle regulation,pml body
ENSG00000172977,KAT5,histone acetyltransferase activity,chromatin binding,dna damage response,double-strand break repair,regulation of cell cycle,cellular response to glucose stimulus
ENSG00000149311,ATM,dna damage response,histone kinase activity,kinase specificity,ribosomal protein s6 kinase activity,tumor suppressor function,cell cycle regulation
ENSG00000009954,BAZ1B,histone h2axy142 kinase activity,histone h3y41 kinase activity,chromatin remodeling,dna damage response,regulation of transcription by rna polymerase ii,negative regulation of mitotic chromosome condensation
ENSG00000153147,SMARCA5,atp-dependent chromatin remodeler activity,dna repair,chromatin binding,nucleosome binding,transcriptional regulation,heterochromatin formation
ENSG00000103275,UBE2I,sumo conjugating enzyme activity,negative regulation of dna-templated transcription,positive regulation of cell migration,chromosome segregation,protein sumoylation,transcription factor binding
ENSG00000116030,SUMO1,protein stability,dna repair,transcriptional regulation,protein complex assembly,pml body organization,cellular response to cadmium ion
ENSG00000169139,UBE2V2,protein ubiquitination,dna double-strand break processing,postreplication repair,positive regulation of double-strand break repair,nucleoplasm localization,ubiquitin conjugating enzyme complex
ENSG00000177889,UBE2N,ubiquitin conjugating enzyme activity,protein k63-linked ubiquitination,dna repair,nf-kappab signaling,protein degradation,tumorigenesis
ENSG00000138376,BARD1,ubiquitin ligase activity,dna repair,homologous recombination,cell cycle regulation,apoptotic process regulation,protein k6-linked ubiquitination
ENSG00000012048,BRCA1,dna binding,homologous recombination,double-strand break repair,tumor suppressor activity,dna damage response,transcription coactivator activity
ENSG00000188612,SUMO2,sumo transferase activity,protein tag activity,ubiquitin-like protein ligase binding,protein sumoylation,transcription regulation,postsynaptic cytosol localization
ENSG00000225589,MDC1,dna damage response,chromatin organization,histone reader activity,protein binding,positive regulation of transcription initiation,site of double-strand break
ENSG00000128731,HERC2,ubiquitin-protein ligase activity,notch signaling pathway regulation,dna repair,protein degradation,intracellular protein transport,tumor suppressor role
ENSG00000164053,ATRIP,dna repair,double-strand break repair,dna damage checkpoint signaling,protein binding,nucleobase-containing compound metabolic process,atr interacting protein complex
