ENSG00000167323,STIM1,calcium ion binding,store-operated calcium entry,positive regulation of angiogenesis,intracellular calcium ion homeostasis,protein binding,microtubule plus-end binding
ENSG00000144935,TRPC1,store-operated calcium channel activity,calcium ion transport,regulation of cytosolic calcium ion concentration,plasma membrane localization,positive regulation of release of sequestered calcium ion into cytosol,involvement in melanin biosynthesis
ENSG00000089250,NOS1,nitric oxide biosynthetic process,nitric oxide mediated signal transduction,vasodilation,angiogenesis,immune modulation,regulation of blood pressure
ENSG00000058668,ATP2B4,calcium ion transmembrane transporter activity,negative regulation of angiogenesis,negative regulation of blood vessel endothelial cell migration,intracellular calcium ion homeostasis,cell cycle g1/s phase transition,protein phosphatase 2b binding
ENSG00000069431,ABCC9,potassium channel activity,atpase-coupled monoatomic cation transmembrane transporter activity,cellular response to potassium ion,blood vessel diameter maintenance,sulfonylurea receptor activity,transmembrane transporter binding
ENSG00000187486,KCNJ11,potassium ion transmembrane transport,regulation of membrane potential,action potential generation,cellular response to nutrient levels,insulin secretion regulation,atp-sensitive inward rectifier potassium channel activity
ENSG00000084754,HADHA,mitochondrial localization,fatty acid β-oxidation,energy production,organic acid catabolism,enzyme complex assembly,metabolic reprogramming
ENSG00000138029,HADHB,fatty acid beta-oxidation,mitochondrial localization,3-hydroxyacyl-coa dehydrogenase activity,enoyl-coa hydratase activity,acetyl-coa c-acyltransferase activity,cellular response to lipopolysaccharide
ENSG00000197265,GTF2E2,rna polymerase ii general transcription initiation factor activity,transcription by rna polymerase ii,transcription factor tfiid complex binding,dna binding,nucleoplasm localization,protein binding
ENSG00000153767,GTF2E1,rna polymerase ii promoter binding,transcription initiation at rna polymerase ii promoter,transcription factor tfiie complex,nucleoplasm localization,metal ion binding,protein binding
ENSG00000140307,GTF2A2,rna polymerase ii promoter,transcription initiation,positive regulation of transcription,cell junction,protein binding,tumor suppressor gene expression
ENSG00000165417,GTF2A1,rna polymerase ii-specific dna-binding transcription factor binding,transcription initiation at rna polymerase ii promoter,positive regulation of transcription by rna polymerase ii,protein heterodimerization activity,nucleoplasm localization,transcription preinitiation complex
ENSG00000162738,VANGL2,wnt signaling pathway,planar cell polarity pathway,protein binding,plasma membrane localization,cell migration,apical protein localization
ENSG00000274287,SCRIB,cell-cell adhesion,establishment of epithelial cell apical/basal polarity,positive regulation of type ii interferon production,synaptic vesicle endocytosis,cell migration,adherens junction
ENSG00000004975,DVL2,wnt signaling pathway,positive regulation of transcription,protein-protein interactions,cell proliferation,actin cytoskeleton organization,cytoplasmic localization
ENSG00000102981,PARD6A,small gtpase binding,regulation of protein localization,centrosome cycle,establishment or maintenance of epithelial cell polarity,cell-cell junction maintenance,tight junction
ENSG00000177885,GRB2,protein-macromolecule adaptor activity,epidermal growth factor receptor signaling pathway,ras protein signal transduction,cellular response to ionizing radiation,insulin-like growth factor receptor signaling pathway,sh3 domain binding
ENSG00000109458,GAB1,angiogenesis,receptor tyrosine kinase signaling,epidermal growth factor receptor signaling,insulin receptor signaling pathway,vascular endothelial growth factor signaling pathway,cell migration
ENSG00000146648,EGFR,epidermal growth factor binding,transmembrane signaling receptor activity,protein tyrosine kinase activity,histone h3y41 kinase activity,insulin-like growth factor receptor activity,platelet-derived growth factor alpha-receptor activity
ENSG00000138798,EGF,epidermal growth factor receptor binding,positive regulation of cell proliferation,angiogenesis,erk1 and erk2 cascade,regulation of receptor signaling pathway via jak-stat,positive regulation of cell migration
ENSG00000121879,PIK3CA,phosphatidylinositol 3-kinase activity,histone kinase activity,negative regulation of macroautophagy,insulin signaling,glucose metabolism,autophagy regulation
ENSG00000145675,PIK3R1,phosphatidylinositol 3-kinase/protein kinase b signal transduction,insulin receptor signaling pathway,cell survival,cytokine-mediated signaling pathway,positive regulation of cell proliferation,immune response
ENSG00000197122,SRC,positive regulation of small gtpase mediated signal transduction,cell-cell adhesion,substrate adhesion-dependent cell spreading,focal adhesion assembly,regulation of heart rate by cardiac conduction,spermatogenesis
ENSG00000089159,PXN,vinculin binding,beta-catenin binding,transforming growth factor beta receptor signaling pathway,cell migration,focal adhesions,mechanotransduction
ENSG00000137392,CLPS,lipase binding,enzyme activator activity,lipid catabolic process,lipid metabolic process,response to bacterium,extracellular region
ENSG00000175535,PNLIP,lipid metabolic process,triacylglycerol lipase activity,extracellular space localization,all-trans-retinol forming activity,intestinal cholesterol absorption,metal ion binding
ENSG00000078369,GNB1,g protein-coupled receptor signaling pathway,gtpase activity,ras protein signal transduction,cell population proliferation,protein binding,synapse localization
ENSG00000127928,GNGT1,signal transduction,g protein-coupled receptor signaling pathway,cellular response to hypoxia,protein binding,gtpase activity,cardiac muscle cell apoptotic process
ENSG00000198515,CNGA1,cyclic nucleotide-gated channel activity,cation channel activity,signal transduction,ion transport,photoreceptor function,cellular signaling
ENSG00000070729,CNGB1,cyclic nucleotide-gated channel activity,cng channel subunit,sodium ion transport,calcium ion transport,plasma membrane localization,sensory perception
ENSG00000257365,FNTB,protein farnesyltransferase activity,lipid metabolic process,prenylation,cytosol localization,microtubule associated complex,protein binding
ENSG00000168522,FNTA,protein prenyltransferase activity,caax-protein geranylgeranyltransferase activity,microtubule binding,transforming growth factor beta receptor signaling pathway,rac protein signal transduction,cell membrane localization
ENSG00000113522,RAD50,dna damage response,double-strand break repair,homologous recombination,telomere maintenance,protein binding,atpase activity
ENSG00000020922,MRE11,dna endonuclease activity,dna helicase activity,homologous recombination,telomere maintenance,mitotic g2/m transition checkpoint signaling,double-strand break repair
ENSG00000182481,KPNA2,nuclear import signal receptor activity,dna metabolic process,protein transport,positive regulation of type i interferon production,viral genome entry into host nucleus,nls-dependent protein nuclear import complex
ENSG00000104320,NBN,dna double-strand break repair,homologous recombination,telomere maintenance,cell cycle regulation,dna damage response,g2/m checkpoint signaling
ENSG00000172977,KAT5,histone acetylation,chromatin remodeling,dna repair,cell cycle regulation,transcriptional control,histone h3k9/h3k27/h4k16 acetyltransferase activity
ENSG00000149311,ATM,dna damage response,protein kinase activity,cell cycle arrest,apoptosis,histone modification,genomic stability
ENSG00000009954,BAZ1B,histone kinase activity,chromatin organization,dna damage response,regulation of transcription by rna polymerase ii,post-translational protein modification,negative regulation of mitotic chromosome condensation
ENSG00000153147,SMARCA5,chromatin remodeling,dna repair,transcriptional regulation,rna polymerase ii activity,heterochromatin formation,oncogenic gene activation
ENSG00000103275,UBE2I,protein sumoylation,transcriptional regulation,cell cycle control,nuclear localization,sumo transferase activity,ubiquitin-dependent protein catabolic process
ENSG00000116030,SUMO1,protein stability,dna repair,transcriptional regulation,protein sumoylation,protein localization,nucleus
ENSG00000169139,UBE2V2,protein k63-linked ubiquitination,dna double-strand break processing,postreplication repair,positive regulation of protein k63-linked ubiquitination,ubiquitin conjugating enzyme complex,nucleoplasm localization
ENSG00000177889,UBE2N,k63-linked ubiquitination,dna repair,double-strand break repair via homologous recombination (hr),nf-κb signaling,t cell receptor signaling,none
ENSG00000138376,BARD1,ubiquitin ligase activity,homologous recombination,chromatin remodeling,dna repair,cell cycle regulation,protein ubiquitination
ENSG00000012048,BRCA1,dna repair,homologous recombination,double-strand break repair,cell cycle regulation,apoptosis,transcriptional regulation
ENSG00000188612,SUMO2,protein sumoylation,transcriptional regulation,ubiquitin-dependent protein degradation,tumor suppressor activity,oncogenic activity,neuronal pathway modulation
ENSG00000225589,MDC1,dna damage response,chromatin organization,histone reader activity,protein binding,mitotic intra-s dna damage checkpoint signaling,dna repair
ENSG00000128731,HERC2,ubiquitin-protein transferase activity,protein binding,dna repair,notch signaling regulation,tumor suppression,oncogenic potential
ENSG00000164053,ATRIP,dna repair,double-strand break repair,atrip-atr complex,protein binding,nucleobase-containing compound metabolic process,regulation of cell cycle
ENSG00000175054,ATR,dna damage response,double-strand break repair,histone kinase activity,mitotic g2/m transition checkpoint,chromatin remodeling,telomere maintenance
ENSG00000111602,TIMELESS,dna repair,homologous recombination,cell cycle checkpoints,circadian rhythm,replication fork arrest,double-strand break repair
ENSG00000075131,TIPIN,dna damage response,cell cycle regulation,replication fork processing,mitotic checkpoint control,dna binding,positive regulation of proliferation
ENSG00000163605,PPP4R2,protein phosphatase regulator activity,chromatin,mrna processing,regulation of double-strand break repair,nucleus,cytoplasm
ENSG00000149923,PPP4C,serine/threonine-protein phosphatase activity,double-strand break repair,chromatin remodeling,rna polymerase ii ctd phosphatase activity,regulation of transcription by rna polymerase ii,nucleotoplasmic localization
ENSG00000108384,RAD51C,dna damage sensor activity,double-strand break repair via homologous recombination,protein binding,dna binding,nucleotide binding,cytoplasm localization
ENSG00000126215,XRCC3,dna damage response,double-strand break repair via homologous recombination,telomere maintenance via recombination,protein binding,dna binding,chromosome
ENSG00000197774,EME2,endonuclease activity,dna repair,double-strand break repair,replication fork processing,mitotic intra-s dna damage checkpoint signaling,holliday junction resolvase complex
ENSG00000172732,MUS81,endonuclease activity,dna repair,double-strand break repair,dna binding,protein binding,mitotic intra-s dna damage checkpoint signaling
ENSG00000154920,EME1,endonuclease activity,dna repair,double-strand break repair,holliday junction resolvase complex,chromatin,mitotic intra-s dna damage checkpoint signaling
ENSG00000139618,BRCA2,dna repair via homologous recombination,double-strand break repair,chromatin remodeling,cell cycle regulation,centrosome duplication,dna damage response
ENSG00000051180,RAD51,homologous recombination,double-strand break repair,dna damage response,dna binding,single-stranded dna binding,interstrand cross-link repair
ENSG00000175595,ERCC4,dna repair,nucleotide-excision repair,telomere maintenance,endonuclease activity,double-strand break repair,regulation of autophagy
ENSG00000012061,ERCC1,nucleotide excision repair,dna damage response,double-strand break repair,uv protection,chromosomal dna replication,damaged dna binding
ENSG00000073050,XRCC1,oxidized dna binding,poly-adp-d-ribose binding,dna repair,double-strand break repair via nonhomologous end joining,damaged dna binding,3' overhang single-stranded dna endodeoxyribonuclease activity
ENSG00000005156,LIG3,dna ligase activity,double-strand break repair,homologous recombination,nucelus localization,dna replication,v(d)j recombination
ENSG00000196419,XRCC6,dna double-strand break repair via nonhomologous end joining,cellular response to gamma radiation,dna ligation,telomere maintenance,positive regulation of lymphocyte differentiation,protein-containing complex binding
ENSG00000079246,XRCC5,dna double-strand break repair,nhej pathway,telomere maintenance,dna binding,damaged dna binding,cellular response to radiation
ENSG00000152422,XRCC4,dna ligase activity,double-strand break repair,nonhomologous end joining,protein binding,dna binding,cellular response to dna damage
ENSG00000174405,LIG4,dna ligase activity,double-strand break repair,non-homologous end joining,genomic instability,tumorigenesis,nucleotide-excision repair
ENSG00000049860,HEXB,lysosomal enzyme activity,glycosphingolipid degradation,glycosaminoglycan catabolism,carbohydrate metabolism,lipid metabolism,intracellular calcium homeostasis
ENSG00000213614,HEXA,lysosomal enzyme activity,glycosphingolipid degradation,lipid metabolism,tumor progression,drug resistance,carbohydrate metabolism
ENSG00000151348,EXT2,heparan sulfate proteoglycan biosynthetic process,glycosaminoglycan biosynthetic process,protein glycosylation,cellular response to fibroblast growth factor stimulus,endoplasmic reticulum,n-acetylglucosamine transferase activity
ENSG00000182197,EXT1,glycosyltransferase activity,heparan sulfate n-acetylglucosaminyltransferase activity,wnt signaling pathway,fibroblast growth factor receptor signaling pathway,tumor growth,angiogenesis
ENSG00000115904,SOS1,ras/rac guanine nucleotide exchange factor activity,epidermal growth factor receptor binding,gtpase activator activity,protein kinase binding,positive regulation of signal transduction,regulation of cell population proliferation
ENSG00000170312,CDK1,cyclin binding,mitotic cell cycle phase transition,g2/m transition of mitotic cell cycle,dna replication,dna damage response,positive regulation of g2/m transition
ENSG00000134057,CCNB1,cyclin-dependent protein serine/threonine kinase activator activity,g2/m transition of mitotic cell cycle,mitotic spindle organization,positive regulation of cell cycle,chromosome segregation,spindle pole localization
ENSG00000165494,PCF11,mrna 3'-end processing,rna polymerase ii complex binding,mrna binding,protein binding,termination of rna polymerase ii transcription,co-transcriptional mrna 3'-end processing
ENSG00000172409,CLP1,rna processing,mrna degradation,global gene silencing,5'-hydroxyl kinase activity,nucleus localization,atp binding
ENSG00000187079,TEAD1,dna binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,hippo signaling,protein binding,regulation of transcription by rna polymerase ii,positive regulation of cell growth
ENSG00000137693,YAP1,transcriptional coactivator activity,tead interaction,hippo signaling pathway,organ growth,positive regulation of gene expression,cell proliferation
ENSG00000074219,TEAD2,hippo signaling,dna binding,transcriptional regulation,protein-protein interactions,embryonic development,cell proliferation
ENSG00000007866,TEAD3,hippo signaling pathway,dna-binding transcription factor activity,rna polymerase ii-specific dna binding,positive regulation of transcription by rna polymerase ii,regulation of dna-templated transcription,transcriptional enhancer factor
ENSG00000197905,TEAD4,hippo signaling,dna-binding transcription factor activity,transcription regulator complex,cell fate specification,positive regulation of transcription by rna polymerase ii,sequence-specific dna binding
