ENSG00000167323,STIM1,calcium homeostasis,cellular proliferation,tumor progression,angiogenesis,immune evasion,store-operated calcium entry
ENSG00000144935,TRPC1,store-operated calcium entry,calcium signaling pathway,oncogenic proliferation,cell migration,intracellular calcium homeostasis,constitutive activation
ENSG00000089250,NOS1,angiogenesis,cell proliferation,signaling pathway modulation,nitric oxide production,tumor progression,genomic upregulation
ENSG00000058668,ATP2B4,regulation of calcium transport,tumor progression,cell signaling pathways,protein-protein interactions,cell proliferation,apoptosis regulation
ENSG00000069431,ABCC9,apoptosis regulation,cell proliferation,chemotherapy resistance,efflux transporter,ion channel regulation,oncogene upregulation
ENSG00000187486,KCNJ11,cellular excitability,anti-proliferative effects,energy homeostasis regulation,kinase activity regulation,tumorigenesis association,loss-of-function mutations
ENSG00000084754,HADHA,mitochondrial function,energy metabolism,redox balance alteration,tumor microenvironment regulation,hif transcriptional regulation,glycolytic shift
ENSG00000138029,HADHB,mitochondrial function,oxidative stress,energy metabolism regulation,fatty acid oxidation impairment,cellular adaptation enhancement,mitochondrial dynamics alteration
ENSG00000197265,GTF2E2,transcriptional regulation,aberrant overexpression,cell cycle progression,apoptosis modulation,dna repair dysregulation,gene expression enhancement
ENSG00000153767,GTF2E1,tfii-e complex regulation,transcription initiation,cell proliferation enhancement,dna repair modulation,apoptosis inhibition,oncogenic driver
ENSG00000140307,GTF2A2,transcriptional regulation,overexpression,tumor progression,gene expression modulation,cellular metabolism alteration,prognostic biomarker
ENSG00000165417,GTF2A1,genetic instability,regulatory mechanism disruption,transcriptional dysregulation,cellular proliferation enhancement,oncogenic potential increase,transcription factor binding site alteration
ENSG00000162738,VANGL2,planar cell polarity signaling,dysregulated expression,metastasis promotion,cell invasion,tumor aggressiveness,poor prognosis
ENSG00000274287,SCRIB,scrib regulates epithelial polarity,altered protein-protein interaction,loss of cell-cell adhesion,tumor progression and aggressiveness,oncogenic signaling pathways,cell survival and proliferation
ENSG00000004975,DVL2,wnt signaling pathway,oncogenic processes,cell proliferation,cell migration,tcf/lef transcription factors,growth factor regulation
ENSG00000102981,PARD6A,disruption of cell polarity,cell cycle regulation,oncogenic process,protein-protein interaction,tumor suppression,cytokinesis regulation
ENSG00000177885,GRB2,oncogenic signaling,rtk activation,cell proliferation,metastasis promotion,angiogenesis regulation,adaptor function
