ENSG00000167323,STIM1,nf-κb signaling pathway activation,oncogenic driver,cell growth regulation,calcium homeostasis disruption,store-operated calcium entry (soce),cancer cell survival enhancement
ENSG00000144935,TRPC1,calcium influx,aberrant activation,oncogene potential,tumor progression,cell migration,signaling pathway regulation
ENSG00000089250,NOS1,nitric oxide production,tumor microenvironment modulation,angiogenesis promotion,cell migration enhancement,protein-protein interaction,s-nitrosylation target
ENSG00000058668,ATP2B4,calcium homeostasis disruption,cell migration,metabolic reprogramming,angiogenesis promotion,cancer cell metabolism alteration,protein-protein interaction
ENSG00000069431,ABCC9,cellular metabolism regulation,ion homeostasis maintenance,oncogenic potential,therapeutic target,drug resistance association,signaling pathway interaction
ENSG00000187486,KCNJ11,metabolic reprogramming,cellular metabolism regulation,genetic mutations associated,dysregulation implicated,therapeutic target potential,cell proliferation enhancement
ENSG00000084754,HADHA,mitochondrial enzyme,fatty acid metabolism,metabolic disorder,energy production,lipid biosynthesis,tumor cell growth
ENSG00000138029,HADHB,mitochondrial dysfunction,oxidative stress induction,energy metabolism regulation,cell proliferation enhancement,signaling pathway activation,tumor progression promotion
ENSG00000197265,GTF2E2,dna repair,transcription regulation,chromatin remodeling,cellular proliferation,genome stability,rna polymerase recruitment
ENSG00000153767,GTF2E1,transcription regulation,cellular proliferation,oncogene,cell cycle regulation,genomic instability,therapeutic target
ENSG00000140307,GTF2A2,transcription initiation,rna polymerase recruitment,genomic instability,tumor suppressor function,cell proliferation enhancement,oncogenic potential
ENSG00000165417,GTF2A1,transcriptional regulation,gene expression alteration,oncogenesis through aberrant growth regulation,cellular response manipulation,target for therapeutic intervention,genetic dysregulation affecting transcriptional activity
ENSG00000162738,VANGL2,planar cell polarity,epithelial-to-mesenchymal transition,oncogene activation,tumor progression,signaling pathway regulation,cell migration
ENSG00000274287,SCRIB,loss of function mutations,tumor suppressor activity,cell polarity regulation,wnt signaling pathway modulation,epithelial-to-mesenchymal transition (emt) inhibition,mitotic spindle orientation maintenance
ENSG00000004975,DVL2,wnt pathway activation,akt/mtor signaling interaction,cell proliferation regulation,dishevelled protein function,signaling pathway modulation,tumorigenesis promotion
ENSG00000102981,PARD6A,regulation of cell polarity,mitotic spindle orientation,cytokinesis control,oncogenic potential,wnt signaling pathway,tumor progression
ENSG00000177885,GRB2,oncogenic signaling,cell proliferation,metabolic regulation,protein-protein interactions,signaling pathway activation,tumor progression
ENSG00000109458,GAB1,pi3k/akt pathway,constitutive activation,oncogenesis,cell proliferation,metabolic regulation,signal transduction
ENSG00000146648,EGFR,oncogenic driver,constitutive activation,cell proliferation,signal transduction,epidermal growth factor binding,therapeutic target
ENSG00000138798,EGF,cell proliferation,tumor growth promotion,metastasis facilitation,angiogenesis induction,receptor activation,signaling pathway modulation
ENSG00000121879,PIK3CA,pi3k/akt pathway,oncogene,constitutive activation,gain of function mutations,tumor progression,therapeutic target
ENSG00000145675,PIK3R1,loss of regulatory function,aberrant pi3k activation,akt inhibition,cell growth regulation,signaling pathway modulation,genomic instability
ENSG00000197122,SRC,cellular proliferation,oncogene function,tyrosine kinase activation,signal transduction,integrin signaling,tumor invasion
ENSG00000089159,PXN,cell adhesion disruption,oncogenic progression,pi3k/akt signaling,tumor cell migration,focal adhesion complex,src family kinase activation
ENSG00000137392,CLPS,proteolytic activity,oncogenesis,overexpression,extracellular matrix degradation,tumor invasion,metastasis
ENSG00000175535,PNLIP,lipid metabolism,cell membrane trafficking,tumor growth promotion,apoptosis resistance,prognostic biomarker,genetic regulation
ENSG00000078369,GNB1,g protein activation,heterotrimeric g proteins,cell surface receptor signaling,constitutive activation,metabolic reprogramming,tumor progression
