ENSG00000167323,STIM1,calcium signaling pathway,ca2+ influx regulation,oncogenic proliferation,immune evasion mechanisms,tumor progression facilitation,therapeutic target modulation
ENSG00000144935,TRPC1,calcium signaling pathway,channel activation,cell proliferation,tumor invasion,metastasis,protein-protein interaction
ENSG00000089250,NOS1,nitric oxide production,tumor growth promotion,oncogenic signaling,immune modulation,tumor microenvironment modification,angiogenesis facilitation
ENSG00000058668,ATP2B4,calcium homeostasis disruption,oncogene activation,cell growth promotion,apoptosis inhibition,gene expression modulation,uncontrolled proliferation
ENSG00000069431,ABCC9,ion and metabolite transport,promotes cell survival,constitutive expression,cancer progression,apoptosis regulation,cellular homeostasis
ENSG00000187486,KCNJ11,increased risk mutations,cellular proliferation modulation,aberrant signaling activation,ion channel dysregulation,oncogenic process involvement,therapeutic target potential
ENSG00000084754,HADHA,fatty acid oxidation,mitochondrial function,cellular respiration,antioxidant defense,energy metabolism,lipid homeostasis
ENSG00000138029,HADHB,aerobic glycolysis,metabolic reprogramming,enhanced cell proliferation,tumor growth suppression,potential therapeutic target,energy production regulation
ENSG00000197265,GTF2E2,transcription regulation,aberrant expression,cell proliferation,oncogenic function,therapeutic target,genetic instability
ENSG00000153767,GTF2E1,transcriptional regulation,cell proliferation,oncogenic function,chromatin remodeling,apoptosis inhibition,genome stability
ENSG00000140307,GTF2A2,transcriptional regulation,cellular proliferation,genomic instability,dna repair mechanisms,antiproliferative pathways,apoptosis regulation
ENSG00000165417,GTF2A1,genomic instability,chromosomal rearrangements,dna repair mechanism,transcription initiation regulation,aneuploidy induction,tumor progression
ENSG00000162738,VANGL2,promotes cell migration,epithelial-to-mesenchymal transition,tumor progression,poor prognosis marker,cell polarity regulation,cancer metastasis
ENSG00000274287,SCRIB,planar cell polarity,tumor suppressor,epithelial polarity regulation,cell adhesion disruption,oncogenic signaling activation,metastasis promotion
ENSG00000004975,DVL2,wnt/β-catenin signaling,oncogenic driver,cell proliferation enhancement,apoptosis suppression,poor prognosis indicator,tumor progression facilitator
ENSG00000102981,PARD6A,**

cell polarity disruption,epithelial-to-mesenchymal transition,oncogenic signaling,cell cycle progression,protein-protein interactions,tumor invasion

**
ENSG00000177885,GRB2,ras/mapk signaling,oncogenic activation,cell proliferation enhancement,migration promotion,signal transduction regulation,protein-protein interaction modulation
ENSG00000109458,GAB1,oncogenic signaling,tumor progression,pi3k/akt pathway activation,cell survival promotion,epithelial morphogenesis regulation,prognostic marker
ENSG00000146648,EGFR,overexpression,constitutive activation,tumor growth,cell cycle progression,anti-apoptotic mechanisms,epithelial-to-mesenchymal transition (emt)
ENSG00000138798,EGF,egf/egfr signaling,cell proliferation,oncogenic potential,tumor progression,angiogenesis,therapeutic target
ENSG00000121879,PIK3CA,genomic instability,constitutive activation,oncogenic mutations,tumor progression,therapeutic target,signaling pathway dysregulation
ENSG00000145675,PIK3R1,pi3k/akt pathway,loss of function mutations,constitutive activation,tumor progression,therapeutic target,cellular signaling pathway
ENSG00000197122,SRC,oncogenic signaling,gain of function mutations,tumor progression,therapeutic target,cellular proliferation,signal transduction
ENSG00000089159,PXN,cell adhesion disruption,enhanced cell proliferation,metastasis promotion,oncogenic signaling,phosphorylation regulation,protein-protein interaction
ENSG00000137392,CLPS,oncogene activity,pi3k/akt pathway modulation,cell proliferation promotion,tumor progression facilitation,poor prognosis association,therapeutic target potential
ENSG00000175535,PNLIP,lipid metabolism alteration,overexpression in tumors,apoptosis resistance promotion,angiogenesis facilitation,cell proliferation enhancement,tumor invasion increase
ENSG00000078369,GNB1,gpcr regulation,heterotrimeric g-protein complex,cellular signaling pathway,constitutive activation,oncogenic transformation,pi3k/akt/mtor pathway modulation
ENSG00000127928,GNGT1,rhoa/rac1 pathway,regulatory subunit,protein-protein interaction,gpcr signaling,cancer progression,tumor growth
ENSG00000198515,CNGA1,calcium influx regulation,constitutive activation,downstream signaling pathway activation,mutation and amplification,cell proliferation enhancement,tumor progression facilitation
ENSG00000070729,CNGB1,modulation of cellular behavior,cellular growth regulation,apoptosis evasion,interactions with oncogenes,tumor progression modulation,oncogenesis contribution
ENSG00000257365,FNTB,fatty acid metabolism,lipid biosynthesis,tumorigenesis promoter,lipid accumulation,proliferation enhancer,dysregulation of expression
ENSG00000168522,FNTA,fatty acid synthesis,tumor promoter,genomic instability,lipid biosynthesis regulation,tumor microenvironment modulation,oncogenic reprogramming
ENSG00000113522,RAD50,genomic instability,dna repair disruption,loss-of-function mutations,oncogenic mutations,chromosomal instability,tumorigenesis
ENSG00000020922,MRE11,genomic instability,dna repair pathway,double-strand break repair,nhej and hr regulation,mrn complex formation,tumor progression risk
ENSG00000182481,KPNA2,nuclear transport regulation,cell proliferation enhancement,tumor growth promotion,metastasis facilitation,protein import regulation,angiogenesis modulation
ENSG00000104320,NBN,genomic instability,dna repair mechanisms,homologous recombination repair (hrr),oncogenic consequences,cancer development prevention,mrn complex interaction
ENSG00000172977,KAT5,histone acetylation,chromatin regulation,oncogene activation,genomic instability,apoptosis inhibition,cell cycle progression
ENSG00000149311,ATM,genomic instability,dna damage response,cell cycle regulation,apoptosis induction,checkpoint kinase activation,tumor suppression
ENSG00000009954,BAZ1B,chromatin remodeling,oncogenic transformation,aggressive tumor behavior,cancer progression,therapeutic target,transcriptional regulation
ENSG00000153147,SMARCA5,chromatin remodeling,tumor suppressor function,loss of function mutations,epigenetic alterations,gene expression dysregulation,dna damage response
ENSG00000103275,UBE2I,ubiquitin-conjugating enzyme activity,cell cycle regulation,tumor progression,oncogene activation,protein degradation,therapeutic target
ENSG00000116030,SUMO1,protein modification,regulation of protein activity,cell cycle progression,tumor suppressor degradation,oncogenic protein stabilization,dna repair dysregulation
ENSG00000169139,UBE2V2,protein degradation,tumor suppressor regulation,cell proliferation,survival pathway,ubiquitination complex,genomic instability
ENSG00000177889,UBE2N,protein degradation regulation,tumor suppressor degradation,ubiquitination pathway modulation,onco-protein stabilization,transcription factor regulation,cancer progression
ENSG00000138376,BARD1,genetic instability,dna damage response,homologous recombination,cell cycle regulation,tumor suppressor function,apoptosis induction
