ENSG00000167323,STIM1,calcium signaling,er stress,orai1 channel activation,transmembrane protein,tumor growth,oncogenesis
ENSG00000144935,TRPC1,trpc1 channel,calcium influx,cell proliferation,tumor progression,angiogenesis,epithelial-mesenchymal transition (emt)
ENSG00000089250,NOS1,nitric oxide (no) production,signaling molecule,angiogenesis,tumor growth,immune responses,physiological processes
ENSG00000058668,ATP2B4,calcium homeostasis,endoplasmic reticulum,atpase activity,cellular signaling,tumorigenesis,ca2+ transport
ENSG00000069431,ABCC9,ion homeostasis,cell membrane potential,heterodimerization,potassium channel regulation,metabolic regulation,tumor growth
ENSG00000187486,KCNJ11,potassium channel dysfunction,cell proliferation,oncogenic mutations,potassium currents,tumorigenesis,kir3.1
ENSG00000084754,HADHA,fatty acid beta-oxidation,mitochondrial function,energy metabolism,tumor growth,metabolic dysregulation,oncogenic potential
ENSG00000138029,HADHB,fatty acid metabolism,beta-oxidation,mitochondrial dysfunction,tumor growth,energy production,redox balance
ENSG00000197265,GTF2E2,transcriptional regulation,gene expression dysregulation,rna polymerase ii,tumor development,oncogenic processes,pre-initiation complex
ENSG00000153767,GTF2E1,transcriptional regulation,gene expression,pre-initiation complex,tumor development,rna polymerase ii,cancer
ENSG00000140307,GTF2A2,transcription factor,rna polymerase ii,gene expression,pre-initiation complex,promoter recruitment,oncogenesis
ENSG00000165417,GTF2A1,transcriptional regulation,general transcription factor,gene expression dysregulation,oncogene,tumor development,pre-initiation complex
ENSG00000162738,VANGL2,planar cell polarity (pcp) signaling,cell migration,tissue morphogenesis,van gogh like protein 2,tumor progression,dysregulation
ENSG00000274287,SCRIB,hippo pathway,tumor suppressor,cell polarity,adhesion,scaffold protein,lats1/2
ENSG00000004975,DVL2,wnt signaling pathway,oncogenic driver,cell proliferation,tumor progression,poor prognosis,dvl2 overexpression
ENSG00000102981,PARD6A,cell polarity,tight junction formation,cell division,tissue organization,proliferation,invasion
ENSG00000177885,GRB2,signaling adaptor protein,rtk activation,oncogene,signal transduction,ras/mapk pathway,cell proliferation
ENSG00000109458,GAB1,gab1 overexpression,oncogenic transformation,signal transduction,protein scaffolding,tumor progression,prognostic marker
ENSG00000146648,EGFR,egfr overexpression,oncogenic mutations,tyrosine kinase activity,receptor dimerization,ras/mapk pathway,tumor progression
ENSG00000138798,EGF,egfr signaling,oncogene,tumor growth,cell proliferation,therapeutic target,amplification
ENSG00000121879,PIK3CA,pi3k/akt pathway,constitutive activation,oncogenic processes,tumor progression,therapeutic target,mutations
ENSG00000145675,PIK3R1,pi3k/akt signaling,p85 regulatory subunit,pip3 production,tumorigenesis,oncogene activation,receptor tyrosine kinases
ENSG00000197122,SRC,src kinase activation,oncogene amplification,tumor progression,angiogenesis,cell proliferation,metastasis
ENSG00000089159,PXN,tumor progression,cell adhesion,focal adhesion,invasion,upregulation,signaling pathway
ENSG00000137392,CLPS,cholesterol homeostasis,cell proliferation,lipid metabolism,cellular transport,membrane biogenesis,tumor growth
ENSG00000175535,PNLIP,lipid metabolism,cellular signaling,tumor development,gene function,uncharacterized role,potential oncogene
ENSG00000078369,GNB1,g protein signaling,heterotrimeric complex,signal transduction,growth regulation,tumor development,cellular differentiation
ENSG00000127928,GNGT1,glycosylation,n-acetylglucosamine transferase,protein modification,tumor progression,cancer hallmark,immune evasion
ENSG00000198515,CNGA1,cyclic nucleotide gated channel,phototransduction,rod cells,sensory transduction,neuronal excitability,none
ENSG00000070729,CNGB1,cngc channel subunit,ion channel function,signal transduction,sensory processes,channel dysregulation,cellular dysfunction
ENSG00000257365,FNTB,fntb protein,cell adhesion,tumor progression,extracellular matrix interaction,prognosis indicator,metastasis
ENSG00000168522,FNTA,fibronectin type iii domain,extracellular matrix organization,cell adhesion,tumor progression,muscle tissue expression,cancer metastasis
ENSG00000113522,RAD50,dna repair,non-homologous end joining (nhej),double-strand breaks (dsbs),genomic stability,tumor development,cell proliferation
ENSG00000020922,MRE11,dna double-strand break repair,nhej pathway,genomic instability,cancer progression,tumorigenesis,dna damage response
ENSG00000182481,KPNA2,nuclear import,nucleocytoplasmic transport,protein localization,cellular processes,tumorigenesis,overexpression
ENSG00000104320,NBN,dna repair,non-homologous end joining (nhej),dna double-strand breaks (dsbs),genome stability,cancer susceptibility,tumorigenesis
ENSG00000172977,KAT5,histone acetylation,chromatin remodeling,gene regulation,dna repair,cell cycle control,tumor suppressor/oncogene duality
ENSG00000149311,ATM,dna damage response,double-strand break repair,atm kinase activity,cell cycle checkpoint control,p53 pathway,genomic instability
ENSG00000009954,BAZ1B,chromatin remodeling,gene expression regulation,oncogene activation,tumor suppressor gene suppression,overexpression,amplification
