ENSG00000167323,STIM1,calcium ion binding,store-operated calcium entry,intracellular calcium ion homeostasis,positive regulation of angiogenesis,protein binding,regulation of calcium ion transport
ENSG00000144935,TRPC1,store-operated calcium channel activity,calcium ion transmembrane transport,positive regulation of calcium release,regulation of cytosolic calcium ion concentration,cell proliferation,uncontrolled cell survival
ENSG00000089250,NOS1,nitric oxide biosynthesis,vasodilation,angiogenesis,immune modulation,signal transduction,cell proliferation
ENSG00000058668,ATP2B4,calcium ion transmembrane transporter activity,regulation of transcription by rna polymerase ii,cell cycle progression,muscle contraction,regulation of intracellular calcium ion concentration,nitric-oxide synthase binding
ENSG00000069431,ABCC9,atp-sensitive potassium channel activity,potassium ion transport,vascular tone regulation,membrane potential regulation,atp hydrolysis activity,cellular response to atp
ENSG00000187486,KCNJ11,atp-sensitive inward rectifier potassium channel activity,potassium ion transport,regulation of membrane potential,cellular response to glucose stimulus,cellular response to hypoxia,plasma membrane localization
ENSG00000084754,HADHA,mitochondrial fatty acid β-oxidation,3-hydroxyacyl-coa dehydrogenase activity,fatty acid metabolic process,cellular energy production,mitochondrial localization,oxidoreductase activity
ENSG00000138029,HADHB,fatty acid beta-oxidation,mitochondrion localization,3-hydroxyacyl-coa dehydrogenase activity,enoyl-coa hydratase activity,acyltransferase activity,cellular response to lipopolysaccharide
ENSG00000197265,GTF2E2,transcription factor tfiie complex binding,rna polymerase ii general transcription initiation factor activity,nucleoplasm localization,transcription by rna polymerase ii,dna binding,protein binding
ENSG00000153767,GTF2E1,rna polymerase ii general transcription initiation factor activity,transcription initiation at rna polymerase ii promoter,nucleoplasm localization,transcription factor tfiid complex,metal ion binding,protein binding
ENSG00000140307,GTF2A2,rna polymerase ii preinitiation complex assembly,positive regulation of transcription by rna polymerase ii,transcription initiation at rna polymerase ii promoter,transcription factor tfiid complex,transcription factor tfiia complex,protein binding
ENSG00000165417,GTF2A1,transcriptional regulation,rna polymerase ii binding,dna binding,promoter recognition,gene expression control,preinitiation complex assembly
ENSG00000162738,VANGL2,wnt signaling pathway,cell migration,planar cell polarity,plasma membrane localization,protein binding,cell-cell junction
ENSG00000274287,SCRIB,cell-cell adhesion,epithelial cell polarity,cell migration,apoptosis regulation,adherens junction,protein localization
ENSG00000004975,DVL2,wnt signaling pathway,protein-macromolecule adaptor activity,frizzled binding,regulation of cell population proliferation,positive regulation of dna-binding transcription factor activity,regulation of actin cytoskeleton organization
ENSG00000102981,PARD6A,epithelial cell polarity,cell-cell junction maintenance,protein localization to centrosome,regulation of cellular localization,centrosome cycle,cell division
ENSG00000177885,GRB2,growth factor receptor binding,ras protein signal transduction,mapk cascade regulation,insulin-like growth factor receptor signaling pathway,positive regulation of actin filament polymerization,negative regulation of natural killer cell mediated cytotoxicity
ENSG00000109458,GAB1,signaling adaptor activity,angiogenesis,insulin receptor signaling,epidermal growth factor receptor signaling,positive regulation of blood vessel endothelial cell migration,vascular endothelial growth factor signaling
ENSG00000146648,EGFR,epidermal growth factor binding,protein tyrosine kinase activity,transmembrane receptor protein tyrosine kinase activity,insulin-like growth factor receptor activity,cell junction,glucose metabolism
ENSG00000138798,EGF,epidermal growth factor receptor binding,growth factor activity,positive regulation of cell proliferation,erk1 and erk2 cascade,regulation of receptor signaling pathway via jak-stat,egfr signaling pathway
ENSG00000121879,PIK3CA,phosphatidylinositol 3-kinase activity,histone kinase activity,regulation of autophagy,regulation of gene expression,insulin receptor substrate binding,cell growth and proliferation
ENSG00000145675,PIK3R1,phosphatidylinositol 3-kinase/protein kinase b signal transduction,immune response,insulin receptor signaling pathway,cellular response to insulin stimulus,positive regulation of protein localization to plasma membrane,cytokine-mediated signaling pathway
ENSG00000197122,SRC,tyrosine kinase activity,signal transduction,focal adhesion assembly,cell migration,intracellular signal transduction,stress fiber assembly
ENSG00000089159,PXN,protein binding,vinculin binding,beta-catenin binding,cell migration,signal transduction,focal adhesion
ENSG00000137392,CLPS,lipase binding,enzyme activator activity,lipid metabolic process,lipid catabolic process,response to bacterium,extracellular region
ENSG00000175535,PNLIP,triacylglycerol lipase activity,lipid metabolic process,lipid catabolic process,metal ion binding,extracellular space,all-trans-retinol forming activity
ENSG00000078369,GNB1,g protein-coupled receptor signaling pathway,ras protein signal transduction,cell population proliferation,prostaglandin e stimulus,heterotrimeric g-protein complex,protein-containing complex binding
ENSG00000127928,GNGT1,cellular response to hypoxia,protein binding,gtpase activity,g-protein beta-subunit binding,photoreceptor disc membrane,heterotrimeric g-protein complex
ENSG00000198515,CNGA1,camp binding,cgmp binding,calcium ion channel activity,sodium ion channel activity,photoreceptor outer segment localization,monoatomic ion transport
ENSG00000070729,CNGB1,cyclic nucleotide-activated ion channel activity,photoreceptor cell maintenance,light stimulus detection,olfactory sensory perception,camp binding,cgmp binding
ENSG00000257365,FNTB,prenylation,protein farnesyltransferase activity,lipid metabolic process,cytosol localization,microtubule-associated complex,signal transduction
ENSG00000168522,FNTA,protein farnesylation,caax-protein geranylgeranyltransferase activity,transforming growth factor beta receptor signaling pathway,rac protein signal transduction,microtubule binding,prenyltransferase activity
