ENSG00000167323,STIM1,calcium signaling,store-operated calcium entry,cell proliferation,epithelial-to-mesenchymal transition,proliferation and survival,signaling pathway regulation
ENSG00000144935,TRPC1,cell migration,calcium signaling pathway,proliferation regulation,oncogenic process modulation,emt regulation,ion channel function
ENSG00000089250,NOS1,nitric oxide production,tumor progression,angiogenesis promotion,cell proliferation regulation,apoptosis modulation,prognostic marker
ENSG00000058668,ATP2B4,calcium signaling dysregulation,cell proliferation enhancement,overexpression in tumors,oncogenesis promoter,intracellular calcium regulation,protein expression alteration
ENSG00000069431,ABCC9,atp-sensitive potassium channels,dna repair mechanisms,cell cycle regulation,apoptosis resistance,cancer cell metabolism,genetic interaction with brca genes
ENSG00000187486,KCNJ11,ion channel regulation,cell proliferation,apoptosis dysregulation,genomic instability,therapeutic target,signaling pathway modulation
ENSG00000084754,HADHA,metabolic reprogramming,fatty acid oxidation,glycolytic shift,mitochondrial dysfunction,cellular metabolism,energy homeostasis
ENSG00000138029,HADHB,mitochondrial dysfunction,tumor metabolism,glycolysis upregulation,lactate production,therapeutic target,cancer prognosis
ENSG00000197265,GTF2E2,genomic instability,oncogene overexpression,transcriptional regulation,dna repair defect,genetic mutation hotspots,cell cycle progression
ENSG00000153767,GTF2E1,transcriptional dysregulation,enhancer hijacking,rna polymerase ii recruitment,protein-protein interactions,chromatin remodeling,apoptosis suppression
ENSG00000140307,GTF2A2,transcription initiation,pre-initiation complex assembly,cell proliferation regulation,genomic stability maintenance,biomarker potential,therapeutic target candidacy
ENSG00000165417,GTF2A1,transcription regulation,tumor progression,oncogene activation,cell proliferation,gene expression disruption,chromatin modification
ENSG00000162738,VANGL2,pcp pathway dysregulation,tumor progression promotion,emt regulation,cell migration and invasion enhancement,wnt/pcp signaling interaction,prognostic biomarker
ENSG00000274287,SCRIB,oncogene regulation,epithelial cell polarity,wnt/pcp pathway interaction,actin cytoskeleton regulation,tumor suppression,cancer progression
ENSG00000004975,DVL2,wnt signaling pathway,oncogenic transformation,epithelial-to-mesenchymal transition (emt),metastasis,resistance to chemotherapy,cell proliferation
ENSG00000102981,PARD6A,cell polarity regulation,epithelial-to-mesenchymal transition,pi3k/akt signaling pathway,cell migration and invasion,microtubule dynamics regulation,tumor progression
ENSG00000177885,GRB2,tyrosine kinase regulation,oncogenic signaling,cell proliferation,cell survival,signaling pathway activation,cancer driver gene status
ENSG00000109458,GAB1,rtk activation,cell proliferation enhancement,oncogene potential,scaffolding protein function,pro-oncogenic gene transcription,amplification or overexpression
ENSG00000146648,EGFR,epithelial-to-mesenchymal transition (emt),constitutive activation,oncogenic signaling pathway,cell proliferation,tumor progression,therapeutic target
ENSG00000138798,EGF,egf signaling pathway,cell proliferation,genomic instability,tumor progression,therapeutic target,metastasis
ENSG00000121879,PIK3CA,pi3k pathway activation,tumor progression,cell survival enhancement,oncogenic driver,growth factor signaling,metastatic potential
ENSG00000145675,PIK3R1,pi3k pathway regulation,constitutive activation,tumor progression driver,therapeutic target,cell survival enhancement,genomic profiling alteration
ENSG00000197122,SRC,tyrosine kinase activation,overexpression,oncogenic signaling,epithelial-to-mesenchymal transition,therapeutic resistance,cell migration and invasion
ENSG00000089159,PXN,tumor progression,cell adhesion disruption,metastasis promotion,protein-protein interaction,signaling pathway modulation,cytoskeletal regulation
ENSG00000137392,CLPS,tumor progression,cell migration,biomarker,apoptosis regulation,signaling pathway activation,extracellular matrix degradation
ENSG00000175535,PNLIP,lipid metabolism regulation,cell proliferation enhancement,tumor progression,signaling pathway modulation,protein interaction,genomic instability
ENSG00000078369,GNB1,g protein signaling pathway,oncogenic mutations,enhanced tumor growth,cell proliferation,increased metastasis,signaling pathway disruption
ENSG00000127928,GNGT1,cell proliferation,signaling regulation,oncogenesis,heterotrimeric g proteins,g protein subunit gamma transducing 1,regulatory component
ENSG00000198515,CNGA1,**
chloride ion transport,tumor progression,metastasis,epithelial integrity,cell signaling,channel activity 
**
ENSG00000070729,CNGB1,cell signaling pathway,tumor progression,cancer-associated mutations,genomic instability,proliferation regulation,calcium influx modulation
ENSG00000257365,FNTB,metabolic reprogramming,de novo fatty acid synthesis,tumor promotion,cancer cell metabolism,cell proliferation,prognostic marker
ENSG00000168522,FNTA,oncogenic properties,lipid metabolism regulation,fatty acid oxidation activation,metabolic reprogramming,therapeutic target,overexpression correlation
ENSG00000113522,RAD50,genomic instability,dna double-strand break repair,non-homologous end joining,mutation susceptibility,oncogenic process,cell cycle regulation
ENSG00000020922,MRE11,genomic instability,oncogenesis,double-strand break repair,nhej pathway,dna damage response,telomere maintenance
ENSG00000182481,KPNA2,nuclear import regulation,tumor progression facilitation,genomic instability promotion,dna repair mechanism alteration,onco-protein transport enhancement,poor prognosis indicator
ENSG00000104320,NBN,genomic instability,dna double-strand break repair,homologous recombination,nucleolar localization,tumor progression,oncogenic mutations
