ENSG00000167323,STIM1,calcium ion binding,calcium channel regulator activity,positive regulation of adenylate cyclase activity,intracellular calcium ion homeostasis,regulation of transport,positive regulation of angiogenesis
ENSG00000144935,TRPC1,store-operated calcium channel activity,calcium signaling,positive regulation of calcium release,regulation of cytosolic calcium concentration,membrane localization,cancer cell proliferation
ENSG00000089250,NOS1,nitric oxide synthase activity,vasodilation,angiogenesis,tumor growth,metastasis,therapeutic resistance
ENSG00000058668,ATP2B4,calcium ion transmembrane transport,scaffold protein binding,negative regulation of angiogenesis,regulation of cell cycle g1/s phase transition,protein phosphatase 2b binding,negative regulation of gene expression
ENSG00000069431,ABCC9,potassium ion transport,blood vessel development,response to hypoxia,cellular stress response,membrane potential regulation,ion channel activity
ENSG00000187486,KCNJ11,potassium ion channel activity,atp-sensitive inward rectifier potassium channel activity,regulation of membrane potential,insulin secretion,glucose metabolic process,cellular response to nutrient levels
ENSG00000084754,HADHA,mitochondrial fatty acid β-oxidation,nad+ binding,3-hydroxyacyl-coa dehydrogenase activity,enoyl-coa hydratase activity,long-chain-3-hydroxyacyl-coa dehydrogenase activity,mitochondrial localization
ENSG00000138029,HADHB,fatty acid beta-oxidation,mitochondrial localization,acetyl-coa c-acyltransferase activity,transferring groups other than amino-acyl groups,acyltransferase activity,lipid metabolism
ENSG00000197265,GTF2E2,rna polymerase ii general transcription initiation factor activity,transcription by rna polymerase ii,tfiih-class transcription factor complex binding,transcription factor tfiid complex,nucleoplasm localization,dna binding
ENSG00000153767,GTF2E1,transcription factor tfiie complex,rna polymerase ii transcription initiation,transcription by rna polymerase ii,nucleus localization,tumor suppressor activity,protein binding
ENSG00000140307,GTF2A2,transcription initiation factor iia gamma chain,rna polymerase ii preinitiation complex assembly,positive regulation of transcription by rna polymerase ii,tbp-class protein binding,transcription factor tfiid complex,rna polymerase ii general transcription initiation factor activity
ENSG00000165417,GTF2A1,rna polymerase ii preinitiation complex assembly,positive regulation of transcription by rna polymerase ii,transcription initiation at rna polymerase ii promoter,transcription factor tfiia complex,protein binding,dna binding
ENSG00000162738,VANGL2,wnt signaling pathway,planar cell polarity,cell migration,plasma membrane localization,cilia,protein binding
ENSG00000274287,SCRIB,cell-cell adhesion,establishment of apical/basal cell polarity,adherens junction,epithelial structure maintenance,endocytosis,cell migration
ENSG00000004975,DVL2,wnt signaling pathway,transcriptional regulation,cell proliferation,actin cytoskeleton organization,dna-templated transcription,protein phosphorylation
ENSG00000102981,PARD6A,small gtpase binding,protein localization to centrosome,establishment or maintenance of epithelial cell polarity,cell division,positive regulation of protein secretion,centrosome cycle
ENSG00000177885,GRB2,rtk binding,ras/mapk pathway,actin cytoskeleton organization,cell-cell junction,immune evasion,oncogenic signaling
