ENSG00000167323,STIM1,intracellular calcium ion homeostasis,store-operated calcium entry,positive regulation of angiogenesis,calcium channel regulator activity,detection of calcium ion,protein binding
ENSG00000144935,TRPC1,store-operated calcium entry,intracellular calcium signaling,regulation of cell proliferation,cell migration,cancer development,oncogenic pathways
ENSG00000089250,NOS1,nitric oxide biosynthetic process,vasodilation,immune response modulation,cellular redox homeostasis,calcium ion transport,g protein-coupled receptor signaling pathway
ENSG00000058668,ATP2B4,calcium ion transmembrane transport,calcium ion export,regulation of cell cycle g1/s phase transition,negative regulation of angiogenesis,regulation of transcription by rna polymerase ii,negative regulation of gene expression
ENSG00000069431,ABCC9,potassium ion transport,vascular process,response to stress,blood vessel diameter maintenance,hypoxia response,tumor angiogenesis
ENSG00000187486,KCNJ11,atp-activated inward rectifier potassium channel activity,insulin secretion regulation,glucose metabolic process,plasma membrane localization,neuronal excitability,cell proliferation regulation
ENSG00000084754,HADHA,mitochondrial β-oxidation,fatty acid metabolic process,organic acid catabolic process,response to insulin,energy production,tumor metabolism
ENSG00000138029,HADHB,mitochondrial localization,fatty acid beta-oxidation,acyltransferase activity,rna binding,gene expression regulation,tumor susceptibility
ENSG00000197265,GTF2E2,rna polymerase ii transcription initiation,tfiih-class transcription factor complex binding,dna binding,protein binding,nucleoplasm localization,transcription factor tfiid complex  binding
ENSG00000153767,GTF2E1,rna polymerase ii transcription initiation,transcription factor activity,protein binding,metal ion binding,nucleoplasm localization,tfiid complex
ENSG00000140307,GTF2A2,rna polymerase ii transcription initiation,transcription factor tfiid complex,positive regulation of transcription by rna polymerase ii,pre-initiation complex assembly,tbp-class protein binding,nucleoplasm localization
ENSG00000165417,GTF2A1,rna polymerase ii-specific dna-binding transcription factor binding,tbp-class protein binding,transcription initiation at rna polymerase ii promoter,positive regulation of transcription by rna polymerase ii,rna polymerase ii general transcription initiation factor activity,protein heterodimerization activity
ENSG00000162738,VANGL2,wnt signaling pathway,planar cell polarity pathway,protein binding,cell migration,establishment of planar polarity,apical protein localization
ENSG00000274287,SCRIB,cell-cell adhesion,epithelial polarity,cell migration,signal transduction,tumor invasion,metastasis
ENSG00000004975,DVL2,wnt signaling pathway,cell proliferation,actin cytoskeleton organization,protein phosphorylation,transcription factor regulation,jnk cascade
ENSG00000102981,PARD6A,small gtpase binding,cell polarity establishment,centrosome cycle regulation,protein localization,positive regulation of protein secretion,viral process
ENSG00000177885,GRB2,epidermal growth factor receptor binding,protein-macromolecule adaptor activity,ras protein signal transduction,regulation of mapk cascade,insulin receptor signaling pathway,receptor internalization
ENSG00000109458,GAB1,signaling adaptor activity,angiogenesis,epidermal growth factor receptor signaling pathway,vascular endothelial growth factor signaling pathway,blood vessel endothelial cell migration,endothelial cell chemotaxis
ENSG00000146648,EGFR,receptor tyrosine kinase activity,egfr ligand binding,mapk/erk signaling pathway,pi3k/akt signaling pathway,cell proliferation,tumor invasion
ENSG00000138798,EGF,epidermal growth factor receptor binding,growth factor activity,positive regulation of cell proliferation,angiogenesis,negative regulation of secretion,receptor tyrosine kinase activator activity
ENSG00000121879,PIK3CA,histone kinase activity,insulin receptor substrate binding,egfr signaling pathway,negative regulation of macroautophagy,actin cytoskeleton organization,cellular response to insulin stimulus
ENSG00000145675,PIK3R1,pi3k regulatory subunit activity,growth factor receptor signaling,lamellipodia formation,glucose metabolism,protein stabilization,insulin-like growth factor receptor signaling pathway
