ENSG00000167323,STIM1,calcium signaling pathway,store-operated calcium entry (soce),immune cell modulation,cell migration and invasion,tumor progression,therapeutic target
ENSG00000144935,TRPC1,calcium influx,cell proliferation,mutations associated,store-operated calcium entry (soce),apoptosis resistance,angiogenesis promotion
ENSG00000089250,NOS1,nitric oxide production,cell migration,tumor microenvironment modulation,pi3k/akt pathway interaction,angiogenesis promotion,immune evasion enhancement
ENSG00000058668,ATP2B4,calcium regulation,cell proliferation,protein-protein interaction,epithelial-to-mesenchymal transition,oncogenic signaling pathway,biomarker candidate
ENSG00000069431,ABCC9,cellular proliferation,regulation of energy metabolism,apoptosis regulation,tumor suppressor or oncogene,atp-binding cassette transporter function,cardiac potassium channel regulation
ENSG00000187486,KCNJ11,potassium channel regulation,cell growth modulation,insulin secretion regulation,tumorigenesis promotion,signaling pathway disruption,atp-sensitive potassium channels dysfunction
ENSG00000084754,HADHA,mitochondrial beta-oxidation,lipid metabolism,altered energy production,glycolytic shift,tumorigenesis,prognostic biomarker
ENSG00000138029,HADHB,mitochondrial dysfunction,altered metabolic pathways,dysregulation of energy production,tumor cell proliferation,increased ros production,therapeutic target for cancer treatment
ENSG00000197265,GTF2E2,transcriptional regulation,gene overexpression,cell proliferation regulation,apoptosis suppression,dna damage response modulation,tumor suppressor regulation
ENSG00000153767,GTF2E1,rna polymerase ii-mediated transcription,tumor promoter,overexpression,transcriptional coactivator,mutations in cancer,cell cycle regulation
ENSG00000140307,GTF2A2,transcription regulation,oncogenic gene expression,chromatin remodeling,epigenetic modification,cell cycle progression,dna repair mechanisms
ENSG00000165417,GTF2A1,transcriptional regulation,proliferation and survival,overexpression,oncogenesis,cellular interaction,antisense transcription
ENSG00000162738,VANGL2,planar cell polarity signaling,cell migration and invasion,oncogene activation,wnt/β-catenin pathway interaction,tumor progression regulation,protein-protein interaction
ENSG00000274287,SCRIB,wnt/pcp pathway inhibition,cellular polarity regulation,tumor suppressor function,pcd signaling modulation,cell migration promotion,prognostic biomarker potential
ENSG00000004975,DVL2,wnt signaling pathway activation,co-activator function for ?-catenin,cell proliferation regulation,survival mechanisms,prognostic marker,tumor progression facilitation
ENSG00000102981,PARD6A,tumor progression,loss of polarity,cell migration,epithelial-to-mesenchymal transition,tight junction regulation,therapeutic target
ENSG00000177885,GRB2,oncogenic signaling,cell proliferation,signal transduction,tumor progression,prognostic marker,adaptor protein function
ENSG00000109458,GAB1,gab1/pi3k interaction,cell proliferation enhancement,apoptosis inhibition,oncogenic behavior promotion,tumor progression facilitation,signaling pathway activation
ENSG00000146648,EGFR,ras/mapk signaling pathway,constitutive activation,gain of function mutations,tumor progression,therapeutic target,genomic profiling
ENSG00000138798,EGF,autocrine growth factor,cell proliferation,egf/egfr pathway,growth factor signaling,tumor aggressiveness,tumorigenesis
ENSG00000121879,PIK3CA,pi3k/akt/mtor pathway,constitutive activation,gain of function mutations,oncogenic signaling,therapeutic target,tumor progression
ENSG00000145675,PIK3R1,constitutive activation,gain of function mutations,regulatory subunit function,tumor progression,insulin signaling pathway,therapeutic target
ENSG00000197122,SRC,cellular proliferation,signaling pathway activation,oncogenic transformation,tumor progression,gene amplification,protein kinase activity
ENSG00000089159,PXN,fak signaling pathway,cell adhesion and migration,metastasis promotion,tumor progression,cellular invasion,integrin-mediated attachment
ENSG00000137392,CLPS,clps expression,pi3k/akt signaling pathway,promotion of cell proliferation,metastasis and invasion,interaction with mmps,apoptosis inhibition
ENSG00000175535,PNLIP,lipid metabolism alteration,tumor progression facilitation,energy supply enhancement,poor prognosis association,immune evasion mechanism,oncogenic pathway activation
ENSG00000078369,GNB1,overexpression,signaling pathway modulation,cell proliferation regulation,biomarker potential,apoptosis evasion,prognostic marker
ENSG00000127928,GNGT1,constitutive activation,guanine nucleotide-binding protein subunit t1,ras/raf/mapk pathway,tumor progression,cellular proliferation,gene overexpression
ENSG00000198515,CNGA1,regulation of cell proliferation,non-selective cation channel function,elevated expression in tumor tissues,cancer-related signaling pathways,tumor progression modulation,intracellular ion regulation
ENSG00000070729,CNGB1,calcium-dependent signaling,ion channel function,cellular proliferation,apoptosis regulation,calmodulin interaction,calcium homeostasis
ENSG00000257365,FNTB,lipid biosynthesis pathway,overexpression,metabolic reprogramming,tumor progression,oncogenic signaling,lipid metabolism alteration
ENSG00000168522,FNTA,lipid metabolic regulation,cell proliferation,cell survival,tumor progression,protein-protein interaction,therapeutic target
ENSG00000113522,RAD50,dna damage response,genomic stability maintenance,homologous recombination,oncogenic mutations,genomic instability induction,tumor suppressor function
ENSG00000020922,MRE11,dna damage response,genomic stability maintenance,tumor suppressor function,chromosomal instability prevention,dna repair machinery component,cancer progression association
ENSG00000182481,KPNA2,nuclear localization signal,cell proliferation,transcription factor transport,genomic instability,epigenetic regulation,apoptosis suppression
ENSG00000104320,NBN,genomic instability,tumor progression,genetic instability,dna damage response,scaffold protein function,checkpoint activation
ENSG00000172977,KAT5,tumor growth regulation,chromatin remodeling,cell cycle progression,apoptosis regulation,dna repair facilitation,tumor suppressor interaction
ENSG00000149311,ATM,genomic instability,dna damage response,oncogenesis driver,tumor suppressor function,cell cycle regulation,protein kinase activation
ENSG00000009954,BAZ1B,chromatin remodeling activity,epigenetic modifications,oncogene overexpression,cell cycle progression,transcriptional regulation disruption,swi/snf complex subunit
ENSG00000153147,SMARCA5,genomic instability,epigenetic regulation,cellular proliferation,dna damage response,chromatin remodeling,tumor suppression
ENSG00000103275,UBE2I,ubiquitin-conjugating enzyme function,dna repair pathway interaction,apoptosis evasion mechanism,tumor growth promotion,genetic mutation accumulation,cell proliferation regulation
ENSG00000116030,SUMO1,genomic instability,protein modification,cell cycle regulation,tumor progression,chromosomal alteration,transcriptional regulation
ENSG00000169139,UBE2V2,ubiquitination pathway,cell cycle regulation,dna repair,transcriptional control,tumor aggressiveness,oncogenesis
ENSG00000177889,UBE2N,ubiquitination pathway,genomic instability,tumor progression,cell proliferation,protein degradation,overexpression
ENSG00000138376,BARD1,genetic instability,homologous recombination,tumor suppressor function,apoptosis regulation,cell cycle control,protein-protein interaction
ENSG00000012048,BRCA1,homologous recombination,genomic stability,cell cycle regulation,tumor suppressor function,biomarker for chemotherapy response,chromosomal instability
ENSG00000188612,SUMO2,protein modification,epigenetic regulation,tumor growth,chemotherapy resistance,cell proliferation,apoptosis suppression
ENSG00000225589,MDC1,dna repair pathway,genomic stability maintenance,tumor growth promotion,therapeutic target,biomarker potential,cell survival enhancement
ENSG00000128731,HERC2,ubiquitin ligase activity,protein stability modulation,tumor progression,cell cycle regulation,anti-apoptotic function,pi3k/akt interaction
ENSG00000164053,ATRIP,cell cycle regulation,genetic instability,dna damage response,apoptosis resistance,atm/atr pathway,tumor progression
ENSG00000175054,ATR,dna damage response pathway,genomic instability,cell cycle checkpoint activation,oncogenic mutations,tumor suppressor function,dna replication fidelity
ENSG00000111602,TIMELESS,dna damage response regulation,chromosome instability driver,cell cycle progression modulation,g2/m checkpoint dysregulation,atr-chk1 pathway interaction,therapeutic target for chemotherapy resistance
ENSG00000075131,TIPIN,genomic instability,tumor suppressor,replication regulation,dna repair,helicase interaction,cell cycle regulation
ENSG00000163605,PPP4R2,genome instability,chromatin remodeling,cell cycle regulation,oncogenic function,tumor suppressor dysregulation,phosphatase activity modulation
ENSG00000149923,PPP4C,aberrant signaling pathway,cell cycle regulation,oncogenesis,apoptosis suppression,transcriptional modulation,tumor progression
ENSG00000108384,RAD51C,genomic instability,tumor suppressor function,dna repair pathway,homologous recombination,cell cycle regulation,checkpoint signaling
ENSG00000126215,XRCC3,genomic instability,homologous recombination,dna repair pathway,interstrand crosslink damage,chemotherapy resistance,genomic maintenance
ENSG00000197774,EME2,genomic stability,cell cycle regulation,dna repair pathway,tumor suppressor,cancer progression,ubiquitin-conjugating enzyme
ENSG00000172732,MUS81,genomic instability,homologous recombination repair,interstrand crosslink repair,double-strand break resolution,holliday junction processing,dna replication fidelity
ENSG00000154920,EME1,genomic instability,dna damage response,homologous recombination repair,tumor progression,onco-protein activation,cancer cell survival
ENSG00000139618,BRCA2,genetic instability,tumor suppressor function,homologous recombination repair (hrr),dna double-strand breaks,chromosomal aberrations,genomic instability
ENSG00000051180,RAD51,homologous recombination repair (hrr),dna damage response,genome instability,oncogenic transformation,cell cycle regulation,apoptosis evasion
ENSG00000175595,ERCC4,genomic instability,dna repair mechanism,nucleotide excision repair,cancer susceptibility,tumor suppressor function,base excision repair interaction
ENSG00000012061,ERCC1,genomic instability,dna repair mechanism,nucleotide excision repair,sensitivity to platinum-based chemotherapy,increased cell death,therapeutic response modulation
ENSG00000073050,XRCC1,dna repair mechanism,base excision repair pathway,genomic stability maintenance,oncogenic mutations risk factor,tumor cell sensitivity modulator,rna-protein interactions
ENSG00000005156,LIG3,genomic instability,dna repair deficiency,cell cycle regulation,apoptosis modulation,tumor suppressor function,homologous recombination repair
ENSG00000196419,XRCC6,genomic instability,dna repair deficiency,oncogenesis,apoptosis regulation,biomarker potential,poor prognosis
ENSG00000079246,XRCC5,dna repair mechanism,genomic instability,tumor growth promotion,oncogenic mutation facilitation,cancer cell survival,prognostic marker
ENSG00000152422,XRCC4,genomic instability,dna repair pathway,oncogenic mutations,tumor suppression,epigenetic regulation,therapeutic target
ENSG00000174405,LIG4,genomic instability,dna repair pathway,non-homologous end joining (nhej),chromosomal rearrangement,mutational burden,tumor progression
ENSG00000049860,HEXB,lysosomal dysfunction,glycosphingolipid metabolism,cell survival regulation,metabolic reprogramming,tumor progression facilitation,genetic disorder association
ENSG00000213614,HEXA,lysosomal regulation,autophagy dysregulation,cellular homeostasis disruption,apoptosis modulation,protein degradation pathway,lipid metabolism regulation
ENSG00000151348,EXT2,genomic instability,tumor suppressor role,mismatch repair pathway,dna damage response,mutational signature,oncogenic mutations
ENSG00000182197,EXT1,genomic instability,dna repair pathway,mutation hotspots,tumor suppressor function,genetic heterogeneity,epigenetic regulation
ENSG00000115904,SOS1,constitutive activation,oncogenic signaling pathway,ras activation,tumor progression,gef activity,cell proliferation
ENSG00000170312,CDK1,cell cycle progression,proliferation driver,genomic instability,mitotic entry,apoptosis resistance,chromosomal abnormalities
ENSG00000134057,CCNB1,mitotic regulation,cyclin overexpression,cell cycle progression,oncogenic potential,tumor growth promotion,therapeutic target
ENSG00000165494,PCF11,chromatin remodeling,oncogene activation,genomic instability,transcriptional regulation,cell proliferation,chromatin modification
ENSG00000172409,CLP1,ribosome biogenesis,mutation/alteration,cell growth/proliferation,aberrant rrna processing,tumor progression,anti-tumor target
ENSG00000187079,TEAD1,transcription factor activity,cell proliferation,overexpressed in cancer,emt regulation,metastasis promotion,yap/taz interaction
ENSG00000137693,YAP1,hippo pathway dysregulation,constitutive activation,gain of function mutations,tumor progression,therapeutic target,hippo signaling
ENSG00000074219,TEAD2,hippo-yap signaling,transcriptional regulation,constitutive activation,cell proliferation enhancement,tumor progression facilitation,poor prognostic marker
ENSG00000007866,TEAD3,transcriptional regulation,oncogenic function,tumor progression,epithelial-to-mesenchymal transition,prognostic biomarker,therapeutic target
ENSG00000197905,TEAD4,oncogene activity,gain of function mutations,transcriptional regulation,cell cycle progression,apoptosis inhibition,hippo pathway interaction
ENSG00000132964,CDK8,transcription regulation,tumor progression,cancer driver gene,metabolic adaptation,cell proliferation,protein-protein interaction
ENSG00000112237,CCNC,transcriptional regulator,cell cycle progression,constitutive activation,oncogenic potential,regulatory subunit,mrna processing
ENSG00000101665,SMAD7,constitutive activation,cell growth regulation,epithelial-to-mesenchymal transition suppression,inhibitory smad function,oncogene downregulation,smad family member interaction
ENSG00000157450,RNF111,tumor suppressor regulation,cell cycle modulation,dna damage response,protein degradation dysregulation,gene amplification,ring-type ubiquitin ligase
ENSG00000284792,PTEN,pi3k/akt signaling inhibition,tumor suppressor function,genomic instability prevention,cell growth regulation,protein phosphatase activity,molecular weight regulation
ENSG00000141510,TP53,dna damage response,cell cycle regulation,apoptosis induction,genomic instability,oncogenic pathway activation,tumor suppressor function
ENSG00000165699,TSC1,mtor signaling pathway,tumor suppressor function,loss of function mutations,cell growth regulation,cell proliferation enhancement,rapamycin sensitivity
ENSG00000103197,TSC2,mtor signaling pathway,constitutive activation,loss-of-function mutations,tumor progression,therapeutic target,genomic instability
ENSG00000284194,SCO2,electron transport chain disruption,mitochondrial dysfunction,succinate dehydrogenase complex regulation,metabolic reprogramming,tumor growth promotion,genomic instability
ENSG00000048392,RRM2B,dna synthesis regulation,mitochondrial localization,nucleotide metabolism,ribonucleotide reductase activation,tumor cell proliferation support,upregulated expression in cancer cells
ENSG00000135423,GLS2,increased glutamine metabolism,oncogenic potential,redox state regulation,tumor growth inhibition,antitumor effects,therapeutic target
ENSG00000146674,IGFBP3,igf system regulation,anti-apoptotic activity,tumor suppression,angiogenesis modulation,binding protein function,cellular response regulation
ENSG00000141682,PMAIP1,apoptosis regulation,cell cycle progression,dna damage response,mdm2 degradation,oncoprotein suppression,therapeutic target
ENSG00000015475,BID,apoptosis dysregulation,pro-apoptotic protein function,tumor suppressor activity,p53-mdm2 interaction,cell survival regulation,mitochondrial outer membrane permeabilization
ENSG00000120471,TP53AIP1,p53 pathway regulation,gene amplification,loss of tumor suppressor function,tumor cell survival inhibition,apoptosis induction,dna damage response
ENSG00000197050,ZNF420,tumor aggressiveness,biomarker potential,co-regulatory complexes,apoptosis evasion,cell proliferation enhancement,oncogene function
