ENSG00000167323,STIM1,calcium ion transport,store-operated calcium entry,protein binding,positive regulation of angiogenesis,intracellular calcium ion homeostasis,endoplasmic reticulum membrane localization
ENSG00000144935,TRPC1,store-operated calcium channel activity,positive regulation of calcium release,calcium ion transport,cellular proliferation,cancer cell survival,cardiac conduction
ENSG00000089250,NOS1,nitric-oxide synthase activity,arginine binding,vasodilation,angiogenesis,immune modulation,cell proliferation
ENSG00000058668,ATP2B4,calcium ion transmembrane transport,p-type calcium transporter activity,cellular response to acetylcholine,regulation of cell cycle g1/s phase transition,negative regulation of gene expression,protein phosphatase 2b binding
ENSG00000069431,ABCC9,potassium channel activity,ion transmembrane transport,vascular process,cellular response to stress,blood vessel diameter maintenance,cellular response to atp
ENSG00000187486,KCNJ11,potassium ion transport,cellular response to glucose stimulus,regulation of membrane potential,response to stress,regulation of insulin secretion,atp-activated inward rectifier potassium channel activity
ENSG00000084754,HADHA,mitochondrial fatty acid beta-oxidation,acetyl-coa c-acyltransferase activity,3-hydroxyacyl-coa dehydrogenase activity,energy production,insulin signaling pathway,xenobiotic stimulus response
ENSG00000138029,HADHB,fatty acid beta-oxidation,mitochondrial localization,acetyl-coa c-acetyltransferase activity,3-hydroxyacyl-coa dehydrogenase activity,enoyl-coa hydratase activity,mitochondrial matrix
ENSG00000197265,GTF2E2,rna polymerase ii transcription,transcription initiation,tfiih-class transcription factor complex binding,dna binding,rna binding,protein binding
ENSG00000153767,GTF2E1,rna polymerase ii transcription initiation,transcription factor activity,promoter binding,nucleoplasm localization,tfiie complex,metal ion binding
ENSG00000140307,GTF2A2,transcription initiation factor binding,rna polymerase ii gene regulation,positive regulation of transcription,transcription preinitiation complex assembly,protein heterodimerization activity,nucleoplasm localization
ENSG00000165417,GTF2A1,rna polymerase ii-specific dna-binding transcription factor binding,transcription initiation at rna polymerase ii promoter,positive regulation of transcription by rna polymerase ii,protein heterodimerization activity,nucleoplasm localization,transcription preinitiation complex
ENSG00000162738,VANGL2,protein binding,wnt signaling pathway,cell migration,planar cell polarity pathway,non-motile cilium assembly,apical plasma membrane localization
ENSG00000274287,SCRIB,cell-cell adhesion,epithelial cell polarity,apoptosis regulation,tumor suppressor function,signal transduction,cell migration
ENSG00000004975,DVL2,wnt signaling pathway,jnk cascade regulation,cell proliferation,protein-macromolecule adaptor activity,frizzled binding,protein binding
ENSG00000102981,PARD6A,small gtpase binding,gtp-dependent protein binding,protein binding,centrosome cycle,cell division,epithelial cell apical/basal polarity
ENSG00000177885,GRB2,epidermal growth factor receptor binding,signal transduction,receptor internalization,protein binding,sh3 domain binding,regulation of mapk cascade
ENSG00000109458,GAB1,signaling adaptor activity,angiogenesis,receptor tyrosine kinase signaling,cellular proliferation,survival,vascular endothelial growth factor signaling
ENSG00000146648,EGFR,receptor protein-tyrosine kinase activity,transmembrane signaling receptor activity,insulin receptor activity,cell proliferation,tumor angiogenesis,resistance to therapy
ENSG00000138798,EGF,epidermal growth factor receptor signaling pathway,erk1 and erk2 cascade,receptor ligand activity,angiogenesis,transmembrane receptor protein tyrosine kinase activator activity,positive regulation of cell proliferation
ENSG00000121879,PIK3CA,phosphatidylinositol-4,5-bisphosphate 3-kinase activity,histone kinase activity,insulin receptor substrate binding,cellular response to glucose stimulus,negative regulation of macroautophagy
ENSG00000145675,PIK3R1,phosphatidylinositol 3-kinase activity,positive regulation of tumor necrosis factor production,cytokine-mediated signaling pathway,positive regulation of smooth muscle cell proliferation,negative regulation of apoptotic process,immune response
ENSG00000197122,SRC,tyrosine kinase activity,growth factor signaling,cell migration,glucose metabolism,apoptosis evasion,focal adhesion assembly
ENSG00000089159,PXN,focal adhesion assembly,cell migration,transforming growth factor beta receptor signaling pathway,vinculin binding,protein phosphatase binding,cytoskeleton organization
ENSG00000137392,CLPS,lipase binding,lipid metabolic process,enzyme activator activity,digestion,lipid catabolic process,extracellular region
ENSG00000175535,PNLIP,triacylglycerol lipase activity,lipid metabolic process,lipid catabolic process,all-trans-retinol forming activity,hydrolase activity,extracellular space localization
ENSG00000078369,GNB1,gtpase activity,protein-containing complex binding,signaling receptor complex adaptor activity,cellular response to catecholamine stimulus,g protein-coupled receptor signaling pathway,heterotrimeric g-protein complex
ENSG00000127928,GNGT1,g-protein beta-subunit binding,gtpase activity,phototransduction,signal transduction,protein binding,cellular response to hypoxia
ENSG00000198515,CNGA1,camp binding,cgmp binding,intracellular cyclic nucleotide activated cation channel activity,sodium ion transmembrane transport,calcium ion transmembrane transport,protein-containing complex binding
