ENSG00000167323,STIM1,soce pathway,calcium sensing,er stress,store-operated calcium entry (soce),tumor progression,cell proliferation
ENSG00000144935,TRPC1,trpc1 channel activation,ca2+ influx,cell proliferation,tumor progression,cell migration,invasion
ENSG00000089250,NOS1,nitric oxide synthesis,cell proliferation,angiogenesis,tumor growth,physiological signaling,immune responses
ENSG00000058668,ATP2B4,calcium homeostasis,intracellular calcium transport,endoplasmic reticulum,cellular signaling,cancer progression,tumor development
ENSG00000069431,ABCC9,potassium transport,cell signaling,membrane potential,drug resistance,tumor progression,gene expression
ENSG00000187486,KCNJ11,potassium channel activation,girk4 subunit,gain-of-function mutations,hyperpolarization,ion flux,oncogenesis
ENSG00000084754,HADHA,vlcfa oxidation,mitochondrial function,energy metabolism,fatty acid breakdown,metabolic disorder,none
ENSG00000138029,HADHB,fatty acid metabolism,mitochondrial function,energy production,tumor metabolism,beta-oxidation,none
ENSG00000197265,GTF2E2,transcription factor,rna polymerase ii,gene expression regulation,pre-initiation complex,aberrant gene expression,cellular dysregulation
ENSG00000153767,GTF2E1,transcriptional regulation,gene expression,rna polymerase ii,pre-initiation complex,tumorigenesis,dysregulation
ENSG00000140307,GTF2A2,transcriptional regulation,general transcription factor ii a (tfii-a),rna polymerase ii pre-initiation complex,promoter region recruitment,transcriptional initiation,gene expression
ENSG00000165417,GTF2A1,transcriptional dysregulation,oncogenic mutations,gene expression,cell cycle control,tumor development,pre-initiation complex
ENSG00000162738,VANGL2,planar cell polarity,tissue organization,cell migration,metastasis,developmental pathway,none
ENSG00000274287,SCRIB,tumor suppressor,cell polarity,adhesion,migration,invasion,wnt/β-catenin signaling
ENSG00000004975,DVL2,wnt signaling pathway,oncogene,cell proliferation,tissue patterning,transcription factor activation,tumor growth
ENSG00000102981,PARD6A,cytoskeleton regulation,cell polarity,actin dynamics,signal transduction,cell proliferation,cancer progression
ENSG00000177885,GRB2,grb2 adaptor protein,ras/mapk pathway,signal transduction,oncogenic activation,receptor tyrosine kinase (rtk),growth factor signaling
ENSG00000109458,GAB1,rtk signaling,oncogenic transformation,cell proliferation,scaffolding protein,adaptor molecule,phosphorylation
ENSG00000146648,EGFR,egfr amplification,constitutive activation,tyrosine kinase activity,pi3k/akt pathway,tumor growth,targeted therapy
ENSG00000138798,EGF,egfr overexpression,receptor tyrosine kinase,mapk/erk pathway,pi3k/akt pathway,cell proliferation,tumor progression
ENSG00000121879,PIK3CA,pi3k/akt pathway,constitutive activation,gain of function mutations,oncogenic driver,tumor progression,therapeutic target
ENSG00000145675,PIK3R1,pi3k/akt signaling,oncogenic activation,haploinsufficiency,tumor progression,cell proliferation,regulatory subunit
ENSG00000197122,SRC,src signaling,tyrosine kinase activity,oncogenic driver,cell proliferation,tumorigenesis,angiogenesis
ENSG00000089159,PXN,tumor progression,metastasis,cell migration,focal adhesion,angiogenesis,epithelial-mesenchymal transition
ENSG00000137392,CLPS,intracellular trafficking,vesicle fusion,endocytosis,autophagy,cell growth regulation,membrane biogenesis
ENSG00000175535,PNLIP,phosphoinositide dephosphorylation,lipid metabolism regulation,cell proliferation,tumor cell growth,signaling pathway dysregulation,none
ENSG00000078369,GNB1,g protein signaling,signal transduction,receptor activation,cellular proliferation,tumor progression,oncogenic pathways
ENSG00000127928,GNGT1,n-glycan biosynthesis,protein glycosylation,tumor progression,metastasis,cell adhesion,immune evasion
ENSG00000198515,CNGA1,signal transduction,ion channel,cyclic nucleotide-gated,cation influx,cell growth,tumorigenesis
ENSG00000070729,CNGB1,cng channel,non-selective cation channels,phototransduction,vision,retina,none
ENSG00000257365,FNTB,fibrinogen production,coagulation,extracellular matrix,angiogenesis,tumor microenvironment,blood vessel formation
ENSG00000168522,FNTA,cell adhesion,extracellular matrix,tumor progression,metastasis,cell migration,protein interactions
ENSG00000113522,RAD50,dna double-strand break repair,nhej pathway,genomic instability,mrn complex,tumorigenesis,dna binding
ENSG00000020922,MRE11,dna damage response (ddr),double-strand break (dsb) repair,non-homologous end joining (nhej),genomic instability,tumorigenesis,endonuclease activity
ENSG00000182481,KPNA2,nucleocytoplasmic transport,nuclear localization signals (nls),protein import,gene expression regulation,cell cycle control,tumorigenesis
ENSG00000104320,NBN,dna double-strand break repair,homologous recombination,genomic instability,tumor suppressor,nijmegen breakage syndrome protein,mrn complex
ENSG00000172977,KAT5,histone acetylation,chromatin remodeling,gene transcription,dna repair,oncogenesis,cell proliferation
ENSG00000149311,ATM,dna double-strand breaks,atm kinase activity,dna damage response,genomic instability,cell cycle arrest,tumor suppressor gene
ENSG00000009954,BAZ1B,chromatin remodeling,gene expression regulation,histone acetylation,oncogene overexpression,tumor growth,cell proliferation
ENSG00000153147,SMARCA5,swi/snf complex,chromatin remodeling,gene expression regulation,tumorigenesis,cancer development,developmental defects
ENSG00000103275,UBE2I,ubiquitin-proteasome system,protein degradation,cell cycle control,tumor development,oncogenesis,e2 ubiquitin-carrier protein
ENSG00000116030,SUMO1,tumor suppressor,oncoprotein interaction,post-translational modification,cell cycle regulation,protein stability,signal transduction
ENSG00000169139,UBE2V2,ubiquitination pathway,e2 enzyme,protein degradation,cell cycle regulation,dna repair,oncogenesis
ENSG00000177889,UBE2N,ubiquitin-proteasome system,protein degradation,e2 enzyme,tumorigenesis,cellular homeostasis,protein turnover
ENSG00000138376,BARD1,dna repair,homologous recombination (hr),ubiquitin ligase activity,brca1 interaction,tumor suppressor,genomic instability
ENSG00000012048,BRCA1,tumor suppressor,dna repair,homologous recombination,genomic instability,cancer predisposition,brca mutation
ENSG00000188612,SUMO2,sumoylation,tumor suppressor modulation,cell proliferation,apoptosis evasion,signal transduction,dna repair
ENSG00000225589,MDC1,dna damage response,double-strand breaks,cell cycle checkpoint,chromatin remodeling,tumorigenesis,oncogene potential
ENSG00000128731,HERC2,ubiquitin ligase activity,dna damage response,cell cycle regulation,tumorigenesis,oncogenic protein accumulation,genomic instability
ENSG00000164053,ATRIP,dna damage repair,homologous recombination (hr),genomic instability,tumor suppression,brca1 interaction,cancer development
ENSG00000175054,ATR,dna damage response,cell cycle checkpoint,genomic instability,ssdna sensing,serine/threonine kinase,tumor suppressor
ENSG00000111602,TIMELESS,genome stability,dna replication,nucleotide excision repair,replication fork progression,genomic instability,cancer development
ENSG00000075131,TIPIN,dna repair,homologous recombination,genomic stability,dna damage response,tumorigenesis,tipin
ENSG00000163605,PPP4R2,protein phosphatase,cellular homeostasis,signaling pathway regulation,dysregulation,dna repair,cell cycle
ENSG00000149923,PPP4C,protein phosphatase,serine/threonine phosphorylation,cell cycle regulation,signal transduction,metabolic regulation,none
ENSG00000108384,RAD51C,homologous recombination,dna repair,double-strand dna breaks,genomic instability,tumorigenesis,rad51 interaction
ENSG00000126215,XRCC3,dna repair,genomic instability,nhej pathway,double-strand breaks,tumor susceptibility,cancer development
ENSG00000197774,EME2,angiogenesis,cell adhesion,endothelial cell,tumor progression,vascularization,glycoprotein
ENSG00000172732,MUS81,dna repair,homologous recombination,double-strand breaks,genomic instability,chromosomal instability,cancer predisposition
ENSG00000154920,EME1,dna replication,origin recognition,pre-replicative complex (pre-rc),genomic instability,tumorigenesis,cell proliferation
ENSG00000139618,BRCA2,dna repair,homologous recombination,genomic instability,tumor suppressor,cancer predisposition,cell cycle regulation
ENSG00000051180,RAD51,homologous recombination,dna repair,genomic instability,tumorigenesis,double-strand break repair,cancer predisposition
ENSG00000175595,ERCC4,dna repair,nucleotide excision repair (ner),genomic instability,cancer susceptibility,tumor development,xpf protein
ENSG00000012061,ERCC1,dna repair,nucleotide excision repair (ner),genomic instability,dna damage,tumorigenesis,ercc1 complex
ENSG00000073050,XRCC1,dna repair,base excision repair (ber),genomic stability,chemosensitivity,tumor development,cancer susceptibility
ENSG00000005156,LIG3,dna repair,non-homologous end joining (nhej),genomic instability,tumor progression,chemotherapy resistance,radiotherapy resistance
ENSG00000196419,XRCC6,dna double-strand break repair,nhej pathway,genomic stability,tumorigenesis,dna damage response,ku protein complex
ENSG00000079246,XRCC5,dna repair,non-homologous end joining (nhej),genomic instability,double-strand breaks,tumorigenesis,ku70 heterodimer
ENSG00000152422,XRCC4,dna repair,non-homologous end joining,double-strand breaks,genomic stability,cancer development,dna ligase
ENSG00000174405,LIG4,dna repair,non-homologous end joining (nhej),genomic instability,double-strand dna breaks,tumorigenesis,lig4 mutations
ENSG00000049860,HEXB,lysosomal degradation,glycoconjugate metabolism,cellular dysfunction,enzyme deficiency,substrate accumulation,tumorigenesis
ENSG00000213614,HEXA,lysosomal storage disorder,glycosphingolipid degradation,gm2 ganglioside accumulation,lysosomal enzyme,neurodegeneration,cellular lipid metabolism
ENSG00000151348,EXT2,ext2,extracellular matrix,heparan sulfate,tumor progression,metastasis,glycosaminoglycans
ENSG00000182197,EXT1,extracelular matrix,ecm remodeling,cell adhesion,tissue integrity,tumor growth,metastasis
ENSG00000115904,SOS1,ras/mapk pathway,guanine nucleotide exchange factor (gef),oncogenic activation,tumor progression,constitutive signaling,cell proliferation
ENSG00000170312,CDK1,cell cycle regulation,cdk activity,tumor progression,oncogene,proliferation,dysregulation
ENSG00000134057,CCNB1,cell cycle regulation,mitosis,cyclin-dependent kinase (cdk) complex,overexpression,genomic instability,tumor progression
ENSG00000165494,PCF11,upregulated in kirp,potential role in tumorigenesis,cell cycle regulation,dna repair,none,none
ENSG00000172409,CLP1,microtubule dynamics,cytoskeletal regulation,tumor growth,cell division,intracellular transport,none
ENSG00000187079,TEAD1,oncogene,transcription factor,tumor progression,cell proliferation,tea response elements,hippo signaling pathway
ENSG00000137693,YAP1,hippo signaling pathway,transcriptional co-activator,tumor suppressor,oncogene,nuclear translocation,cell proliferation
ENSG00000074219,TEAD2,hippo signaling pathway,transcriptional regulation,oncogene,cell proliferation,apoptosis suppression,tumorigenesis
ENSG00000007866,TEAD3,hippo pathway,yap/taz interaction,transcriptional activation,cell proliferation,tumor growth,organ size regulation
ENSG00000197905,TEAD4,transcriptional regulation,tea response elements (tres),yap/taz interaction,oncogenic transformation,cell proliferation,tumor progression
ENSG00000132964,CDK8,transcriptional regulation,mediator complex,serine/threonine kinase,gene expression,oncogene,tumor cell proliferation
ENSG00000112237,CCNC,cell cycle regulation,cdk interaction,overexpression,tumor proliferation,g1/s transition,cancer development
ENSG00000101665,SMAD7,tgf-β signaling,negative regulation,smad protein interaction,tumor suppressor,cancer progression,immune evasion
ENSG00000157450,RNF111,e3 ubiquitin ligase,dna damage response,cell cycle regulation,apoptosis,tumorigenesis,protein ubiquitination
ENSG00000284792,PTEN,pi3k/akt pathway,tumor suppressor,phosphatase activity,cell growth,oncogenic activation,genomic instability
ENSG00000141510,TP53,tumor suppressor,p53 protein function,dna damage response,cell cycle arrest,apoptosis induction,genomic instability
ENSG00000165699,TSC1,tsc complex,mtor signaling,tumorigenesis,haploinsufficiency,cell growth,cancer development
ENSG00000103197,TSC2,tsc2,mtor pathway,gtpase-activating protein,rheb inhibition,cell growth,tumor development
ENSG00000284194,SCO2,mitochondrial respiration,cytochrome c oxidase assembly,copper chaperone,energy production,neurodegenerative disorders,cancer development
ENSG00000048392,RRM2B,dna synthesis,ribonucleotide reduction,cell proliferation,genomic stability,overexpression,tumorigenesis
ENSG00000135423,GLS2,glutaminase activity,glutamine metabolism,tumor progression,cell proliferation,metabolic dependency,therapeutic target
ENSG00000146674,IGFBP3,igf binding,tumor progression,cell proliferation,angiogenesis,apoptosis,glycosylation
ENSG00000141682,PMAIP1,p53 apoptosis effector,caspase-9 activation,programmed cell death,tumor suppressor,apoptotic pathway,epigenetic silencing
ENSG00000015475,BID,apoptosis regulation,pro-apoptotic,caspase activation,mitochondrial permeabilization,bcl-2 family,cell death
ENSG00000120471,TP53AIP1,p53 interaction,tumor suppressor function,genomic stability,apoptosis regulation,dna repair,downregulation
ENSG00000197050,ZNF420,transcriptional regulation,zinc finger protein,gene expression modulation,oncogenic transformation,dna binding,cellular processes
ENSG00000115107,STEAP3,iron metabolism,redox regulation,tumor growth,proliferation,metastasis,none
ENSG00000104765,BNIP3L,autophagy,apoptosis,tumor cell survival,autophagosome formation,stress response,protein interaction
ENSG00000170855,TRIAP1,trim family,ubiquitination,immune system regulation,protein turnover,tumor suppression,downregulation
ENSG00000042286,AIFM2,mitochondrial function,apoptosis regulation,caspase-independent apoptosis,oxidative stress response,energy metabolism,apoptosis
ENSG00000164938,TP53INP1,tp53 pathway,apoptosis induction,cell cycle regulation,tumor suppressor,p53 interaction,oncogenesis
ENSG00000120868,APAF1,apoptosis,apoptosome complex,caspase activation,cell death,tumor survival,loss-of-function mutations
ENSG00000177595,PIDD1,apoptosis regulation,caspase activation,tumor development,cell death pathway,pidd1 expression,apoptotic signaling
ENSG00000169372,CRADD,apoptosis regulator,death-inducing signaling complex (disc),caspase-8 activation,extrinsic apoptotic pathway,tumorigenesis,cellular homeostasis
ENSG00000091106,NLRC4,inflammasome assembly,innate immunity,cytokine release,tumor microenvironment,inflammatory response,cancer
ENSG00000138794,CASP6,apoptosis,programmed cell death,tumor suppressor,cancer development,caspase activity,cellular processes
ENSG00000003400,CASP10,apoptosis,caspase activation,extrinsic pathway,tumor suppression,cell death,none
ENSG00000104419,NDRG1,tumor suppressor gene,cell cycle arrest,apoptosis,p53 pathway,downregulation,renal cell carcinoma
ENSG00000281449,BCL2L14,tumor suppressor,apoptosis induction,bcl-2 family,pro-apoptotic,cell death regulation,oncogenesis
