ENSG00000167323,STIM1,soce,calcium signaling,tumor progression,cell proliferation,metastasis,chemoresistance
ENSG00000144935,TRPC1,trpc channel,calcium influx,cell proliferation,tumor progression,androgen sensitivity,signal transduction
ENSG00000089250,NOS1,nitric oxide (no) synthesis,enzyme activity,angiogenesis,cell proliferation,tumor progression,anti-tumor effects
ENSG00000058668,ATP2B4,calcium homeostasis,active transport,cellular signaling,cell growth,cancer progression,dysregulation
ENSG00000069431,ABCC9,abc transporter,anion transport,potassium regulation,therapeutic resistance,prostate cancer progression,cellular transport
ENSG00000187486,KCNJ11,potassium channel subunit,ion channel regulation,cell excitability,membrane potential,tumor growth,signaling pathway modulation
ENSG00000084754,HADHA,hadha,beta-oxidation,fatty acid metabolism,mitochondrial function,prostate adenocarcinoma,energy production
ENSG00000138029,HADHB,beta-oxidation,mitochondrial function,metabolic reprogramming,fatty acid metabolism,tumor growth,energy production
ENSG00000197265,GTF2E2,transcriptional regulation,pre-initiation complex assembly,rna polymerase ii,gene expression,prostate cancer,tumor growth
ENSG00000153767,GTF2E1,transcriptional regulation,gene expression dysregulation,pre-initiation complex assembly,tumorigenesis,rna polymerase ii,promoter activity
ENSG00000140307,GTF2A2,transcription factor,gene expression regulation,tumor progression,cancer development,prostate cancer,tfiia
ENSG00000165417,GTF2A1,transcription factor,general transcription,promoter binding,rna polymerase ii,tumor development,gene dysregulation
ENSG00000162738,VANGL2,cell polarity,planar cell division,tissue morphogenesis,protein interactions,developmental processes,tumor progression
ENSG00000274287,SCRIB,epithelial polarity,cell adhesion disruption,tumor progression,metastasis,invasion,signaling scaffold
ENSG00000004975,DVL2,wnt signaling pathway,cell proliferation,tumor progression,β-catenin activation,oncogenesis,gene expression
ENSG00000102981,PARD6A,cell polarity,cytoskeletal organization,cancer progression,tumor growth,protein-protein interaction,signaling pathway regulation
ENSG00000177885,GRB2,signal transduction,adaptor protein,ras/mapk pathway,rtk binding,growth factor signaling,oncogenic activation
ENSG00000109458,GAB1,gab1 overexpression,signaling pathway activation,proliferation,survival,oncogenic signaling network,tumor aggressiveness
ENSG00000146648,EGFR,egfr overexpression,receptor tyrosine kinase,oncogenic transformation,pi3k/akt pathway,mapk/erk pathway,tumor progression
ENSG00000138798,EGF,egfr signaling,tumor growth,cell proliferation,angiogenesis,epithelial-mesenchymal transition (emt),oncogenic driver
ENSG00000121879,PIK3CA,pi3k/akt signaling,gain of function mutations,oncogenesis,tumor progression,therapeutic target,genomic profiling
ENSG00000145675,PIK3R1,pi3k/akt pathway,p85 regulatory subunit,constitutive activation,cell survival,oncogenesis,pip3 production
ENSG00000197122,SRC,oncogenic signaling,tyrosine kinase activation,tumor progression,metastasis,epithelial-to-mesenchymal transition (emt),receptor tyrosine kinase (rtk) downstream signaling
ENSG00000089159,PXN,focal adhesion,cell migration,signal transduction,tumor progression,prostatic adenocarcinoma,extracellular matrix
ENSG00000137392,CLPS,dna replication,replisome complex,chromatin organization,transcriptional regulation,tumorigenesis,prostate cancer
ENSG00000175535,PNLIP,phospholipase n activity,lipid metabolism,signal transduction,cell growth regulation,tumorigenesis,phosphatidylcholine hydrolysis
ENSG00000078369,GNB1,g protein subunit beta-1,signal transduction,gpcr activation,cell proliferation,angiogenesis,tumor progression
ENSG00000127928,GNGT1,n-glycosylation,glycosyltransferase,tumor progression,aberrant glycosylation,protein trafficking,cancer cell growth
ENSG00000198515,CNGA1,cyclic nucleotide-gated channels,photoreceptor cells,camp/cgmp signaling,neurotransmission,visual signal transduction,none
ENSG00000070729,CNGB1,retinitis pigmentosa,photoreceptor cell,voltage-gated sodium channel,light detection,signal transduction,vision
ENSG00000257365,FNTB,extracellular matrix,cell adhesion,fibronectin type iii domain,protein interaction,cancer progression,tumor development
ENSG00000168522,FNTA,filamin a,cytoskeleton remodeling,cell migration,metastasis,tumor progression,protein-protein interactions
ENSG00000113522,RAD50,dna double-strand break repair,nhej pathway,genomic instability,tumorigenesis,rad50 protein function,prostate cancer susceptibility
ENSG00000020922,MRE11,dna repair,genomic instability,homologous recombination,tumor growth,prostate cancer,cell cycle checkpoint
ENSG00000182481,KPNA2,nuclear transport,transcriptional regulation,oncogenic pathways,cell cycle progression,prostate cancer,tumor growth
ENSG00000104320,NBN,dna repair deficiency,double-strand breaks,tumor progression,genomic instability,cancer predisposition,prognosis
ENSG00000172977,KAT5,histone acetylation,tumor suppressor,gene expression regulation,chromatin remodeling,androgen signaling,dna damage response
ENSG00000149311,ATM,dna damage response,double-strand breaks,cell cycle arrest,tumor suppressor,genomic instability,cancer predisposition
ENSG00000009954,BAZ1B,chromatin remodeling,gene expression regulation,nucleosome repositioning,oncoprotein interaction,tumor progression,prostate cancer
ENSG00000153147,SMARCA5,chromatin remodeling,gene expression regulation,tumorigenesis,nucleosome positioning,swi/snf complex,mutation
ENSG00000103275,UBE2I,ubiquitin-proteasome system,protein degradation,cell cycle regulation,tumor growth,dna repair,none
ENSG00000116030,SUMO1,sumoylation,protein modification,cell cycle regulation,oncogenic signaling,tumor suppression,dna repair
ENSG00000169139,UBE2V2,ubiquitination pathway,protein degradation,oncogenesis,tumor progression,ubiquitin ligases,cellular processes
ENSG00000177889,UBE2N,ubiquitination pathway,tumor progression,protein degradation,cell proliferation,dna repair,oncogenic role
ENSG00000138376,BARD1,tumor suppressor,dna repair,homologous recombination,brca1 interaction,ubiquitin ligase activity,genomic instability
ENSG00000012048,BRCA1,homologous recombination,tumor suppressor,dna repair,genomic instability,familial cancer predisposition,prostate cancer risk
ENSG00000188612,SUMO2,sumoylation,androgen receptor regulation,tumor suppressor/oncogene,dna damage response,post-translational modification,protein stability
ENSG00000225589,MDC1,dna damage response,scaffold protein,double-strand break repair,homologous recombination,atm activation,genomic instability
ENSG00000128731,HERC2,ubiquitination,protein degradation,e3 ubiquitin ligase,tumor progression,herc2 expression,cell cycle regulation
ENSG00000164053,ATRIP,dna damage response,atr interaction,genomic stability,checkpoint activation,cell cycle regulation,prostate cancer
ENSG00000175054,ATR,dna damage response,genomic instability,replication stress,tumorigenesis,cell cycle checkpoint,kinase activation
ENSG00000111602,TIMELESS,dna replication,dna repair,genomic instability,tumor progression,cell proliferation,oncogene
ENSG00000075131,TIPIN,dna double-strand break repair,nhej pathway,genomic instability,tumorigenesis,protein complex formation,dna damage response
