ENSG00000167323,STIM1,calcium ion binding,store-operated calcium entry,endoplasmic reticulum membrane,plasma membrane,positive regulation of angiogenesis,regulation of transport
ENSG00000144935,TRPC1,store-operated calcium channel activity,calcium ion transmembrane transport,positive regulation of release of sequestered calcium ion into cytosol,regulation of cytosolic calcium ion concentration,melanin biosynthetic process,cell proliferation
ENSG00000089250,NOS1,nitric oxide synthase activity,calcium ion binding,vasodilation,immune response modulation,angiogenesis,tumor growth
ENSG00000058668,ATP2B4,calcium ion transmembrane transporter activity,protein phosphatase 2b binding,negative regulation of angiogenesis,nitric-oxide synthase inhibitor activity,regulation of sodium ion transmembrane transport,plasma membrane localization
ENSG00000069431,ABCC9,potassium ion transport,membrane potential regulation,vascular process,cellular response to stress,action potential,hypoxia response
ENSG00000187486,KCNJ11,atp-activated inward rectifier potassium channel activity,insulin secretion regulation,membrane potential regulation,cellular response to stress,glucose metabolism,potassium ion transport
ENSG00000084754,HADHA,enoyl-coa hydratase activity,fatty acid metabolic process,mitochondrion,nad+ binding,3-hydroxyacyl-coa dehydrogenase activity,long-chain-3-hydroxyacyl-coa dehydrogenase activity
ENSG00000138029,HADHB,fatty acid beta-oxidation,mitochondrial localization,acetyl-coa c-acyltransferase activity,acyltransferase activity,energy production,cellular metabolism
ENSG00000197265,GTF2E2,transcription factor tfiid complex,rna polymerase ii general transcription initiation factor activity,dna binding,rna binding,protein binding,transcription by rna polymerase ii
ENSG00000153767,GTF2E1,rna polymerase ii general transcription initiation factor activity,transcription initiation at rna polymerase ii promoter,metal ion binding,protein binding,nucleoplasm localization,transcription factor tfiid complex
ENSG00000140307,GTF2A2,transcription initiation factor iia gamma chain,rna polymerase ii preinitiation complex assembly,positive regulation of transcription by rna polymerase ii,transcription initiation at rna polymerase ii promoter,tbp-class protein binding,protein heterodimerization activity
ENSG00000165417,GTF2A1,rna polymerase ii-specific dna-binding transcription factor binding,tbp-class protein binding,transcription by rna polymerase ii,positive regulation of transcription initiation by rna polymerase ii,transcription preinitiation complex,protein heterodimerization activity
ENSG00000162738,VANGL2,wnt signaling pathway,planar cell polarity pathway,plasma membrane localization,cell migration,protein binding,non-motile cilium assembly
ENSG00000274287,SCRIB,protein localization to adherens junction,cell-cell adhesion,establishment of apical/basal cell polarity,synaptic vesicle endocytosis,positive regulation of type ii interferon production,epithelial structure maintenance
ENSG00000004975,DVL2,wnt signaling pathway,protein-macromolecule adaptor activity,frizzled binding,regulation of cell population proliferation,positive regulation of transcription by rna polymerase ii,planar cell polarity pathway
ENSG00000102981,PARD6A,small gtpase binding,protein localization to centrosome,epithelial cell polarity establishment,cell-cell junction maintenance,centrosome cycle,regulation of protein secretion
ENSG00000177885,GRB2,ras protein signal transduction,epidermal growth factor receptor signaling pathway,insulin-like growth factor receptor signaling pathway,positive regulation of actin filament polymerization,actin cytoskeleton organization,plasma membrane localization
ENSG00000109458,GAB1,signaling adaptor activity,angiogenesis,vascular endothelial growth factor signaling pathway,positive regulation of blood vessel endothelial cell migration,cell proliferation,cell survival
ENSG00000146648,EGFR,epidermal growth factor binding,protein tyrosine kinase activity,insulin-like growth factor receptor activity,signaling receptor binding,glucose metabolism,negative regulation of macroautophagy
ENSG00000138798,EGF,epidermal growth factor receptor binding,growth factor activity,mapk/erk pathway,pi3k/akt pathway,positive regulation of cell proliferation,positive regulation of cell migration
ENSG00000121879,PIK3CA,phosphatidylinositol-4,5-bisphosphate 3-kinase activity,histone kinase activity,insulin-like growth factor signaling,negative regulation of macroautophagy,chromatin remodeling
ENSG00000145675,PIK3R1,phosphatidylinositol 3-kinase activity,positive regulation of insulin receptor signaling,growth hormone receptor signaling,positive regulation of cell proliferation,regulation of cell migration,immune response modulation
ENSG00000197122,SRC,tyrosine kinase activity,growth factor signaling,cell migration,focal adhesion assembly,apoptosis evasion,integrin-mediated signaling pathway
ENSG00000089159,PXN,cell migration,focal adhesion,signal transduction,protein binding,cell adhesion,transforming growth factor beta receptor signaling pathway
ENSG00000137392,CLPS,lipase binding,enzyme activator activity,lipid metabolic process,tumor microenvironment,cell signaling,altered expression
ENSG00000175535,PNLIP,lipase activity,lipid catabolic process,retinol metabolic process,triacylglycerol lipase activity,all-trans-retinyl-palmitate hydrolase,lipid homeostasis
ENSG00000078369,GNB1,heterotrimeric g protein complex,gpcr signaling pathway,protein-containing complex binding,cellular response to hormone stimulus,gtpase activity,plasma membrane localization
