ENSG00000167323,STIM1,calcium signaling,er stress,tumor development,cell proliferation,immune system dysfunction,membrane protein
ENSG00000144935,TRPC1,calcium influx,cancer cell proliferation,cell migration,tumor growth,trp channel,non-selective cation channel
ENSG00000089250,NOS1,nos1 overexpression,nitric oxide production,tumor growth,angiogenesis,metastasis,immune evasion
ENSG00000058668,ATP2B4,calcium transport,er localization,cancer progression,cell signaling,intracellular calcium regulation,none
ENSG00000069431,ABCC9,chloride ion transport,abcc transporter family,cellular homeostasis,ion balance,cesc pathogenesis,drug resistance
ENSG00000187486,KCNJ11,potassium channel function,neuronal excitability,intracellular ion balance,cell proliferation,cell migration,congenital diseases
ENSG00000084754,HADHA,fatty acid beta-oxidation,mitochondrial dysfunction,cellular metabolism,energy production,cancer development,epithelial tissue
ENSG00000138029,HADHB,fatty acid oxidation,mitochondrial function,energy metabolism,metabolic rewiring,tumor growth,cancer progression
ENSG00000197265,GTF2E2,transcriptional regulation,gene expression,pre-initiation complex,rna polymerase ii,tfiie subunit,transcription factor
ENSG00000153767,GTF2E1,transcriptional regulation,gene expression dysregulation,pre-initiation complex assembly,rna polymerase ii recruitment,genomic instability,cell cycle control
ENSG00000140307,GTF2A2,gene regulation,transcription initiation,tumorigenesis,cancer development,pre-initiation complex assembly,tfiia
ENSG00000165417,GTF2A1,transcription initiation,rna polymerase ii,preinitiation complex assembly,gene expression dysregulation,oncogenesis,tumorigenesis
ENSG00000162738,VANGL2,planar cell polarity pathway,tissue organization,cell migration,convergent extension,invasion,metastasis
ENSG00000274287,SCRIB,tumor suppressor,cell polarity,epithelial adhesion,cell migration,metastasis,loss of function mutations
ENSG00000004975,DVL2,wnt signaling,cell proliferation,tumorigenesis,dishevelled protein,intracellular transduction,β-catenin pathway
ENSG00000102981,PARD6A,cell polarity,par complex,tumor progression,cell migration,metastasis,cancer growth
ENSG00000177885,GRB2,signal transduction,rtk binding,ras/mapk pathway,pi3k/akt pathway,oncogenic transformation,cell proliferation
ENSG00000109458,GAB1,pi3k/akt pathway,adaptor protein,signal transduction,oncogenic process,tumor development,cell proliferation
ENSG00000146648,EGFR,egfr overexpression,activation mutations,pi3k/akt pathway,mapk/erk pathway,tumor progression,therapeutic target
ENSG00000138798,EGF,egfr signaling,oncogenic driver,tumor progression,cell proliferation,angiogenesis,therapeutic target
ENSG00000121879,PIK3CA,pi3k/akt pathway,constitutive activation,gain of function mutations,oncogene,tumorigenesis,therapeutic target
ENSG00000145675,PIK3R1,pi3k pathway regulation,p85 subunit,tumor suppressor,oncogenic mutations,signaling dysregulation,cell proliferation
ENSG00000197122,SRC,oncogene activation,tyrosine kinase,tumor progression,cell proliferation,angiogenesis,signaling pathway
ENSG00000089159,PXN,tumor progression,cell migration,focal adhesion,signaling pathway,cytoskeletal dynamics,cell adhesion
ENSG00000137392,CLPS,clps expression,cesc progression,tumor development,intracellular signaling,serine/threonine kinase,protein structure
ENSG00000175535,PNLIP,lipid metabolism,phospholipase a2 regulation,protein interaction,cell signaling,arachidonic acid release,inflammation
ENSG00000078369,GNB1,g protein signaling,signal transduction,cell proliferation,oncogenesis,apoptosis regulation,none
ENSG00000127928,GNGT1,glycosyltransferase,n-acetylglucosamine transfer,glycoprotein biosynthesis,altered glycosylation,tumor progression,oncogenic processes
ENSG00000198515,CNGA1,sensory transduction,cyclic nucleotide-gated channels,electrophysiological signaling,ion channel function,olfactory epithelium,retinal cells
ENSG00000070729,CNGB1,voltage-gated cation channel,cyclic nucleotide-gated channel,photoreceptor cells,epithelial tissues,altered expression levels,cancer development
ENSG00000257365,FNTB,cell adhesion,tumor progression,proliferation,angiogenesis,metastasis,poor prognosis
ENSG00000168522,FNTA,ecm remodeling,cell adhesion,tumor invasion,cell migration,extracellular matrix,integrin binding
ENSG00000113522,RAD50,dna damage response,double-strand break repair,non-homologous end joining,genomic instability,tumorigenesis,prognostic biomarker
ENSG00000020922,MRE11,dna double-strand break repair,non-homologous end joining (nhej),genomic instability,tumor suppressor,mrn complex,genome stability
ENSG00000182481,KPNA2,nuclear transport,oncoprotein import,tumor progression,cell proliferation,nucleocytoplasmic trafficking,hpv interaction
ENSG00000104320,NBN,dna damage response,genomic instability,double-strand breaks,dna repair,cell cycle regulation,none
ENSG00000172977,KAT5,histone acetylation,epigenetic regulation,chromatin remodeling,gene expression modulation,oncogenic transformation,tumor suppressor
ENSG00000149311,ATM,dna repair,genomic instability,cell cycle checkpoints,tumor suppressor,atm kinase activity,dna double-strand breaks
ENSG00000009954,BAZ1B,chromatin remodeling,gene expression regulation,histone acetyltransferase (hat) activity,cancer progression,oncogene,transcriptional activation
ENSG00000153147,SMARCA5,chromatin remodeling,swi/snf complex,oncogene repression,tumorigenesis,dna damage repair,transcriptional regulation
ENSG00000103275,UBE2I,ubiquitin-conjugating enzyme,ubiquitin-proteasome system,protein degradation,cell cycle regulation,dna damage response,tumor development
ENSG00000116030,SUMO1,sumoylation,protein modification,tumor suppressor,oncoprotein,dna repair,signal transduction
ENSG00000169139,UBE2V2,dna damage response,ubiquitination,tumor progression,oncogene,cervical cancer,tumor suppressor inactivation
ENSG00000177889,UBE2N,ubiquitin-proteasome system,protein degradation,tumor development,cellular homeostasis,protein turnover,cancer progression
ENSG00000138376,BARD1,brca1 interaction,tumor suppressor,dna damage response (ddr),ubiquitination,genomic instability,prognosis
ENSG00000012048,BRCA1,tumor suppressor,genomic instability,homologous recombination,dna repair,cancer predisposition,cell cycle regulation
ENSG00000188612,SUMO2,sumoylation,protein modification,cellular signaling,dna repair,tumor suppression,oncogenesis
ENSG00000225589,MDC1,dna damage response,double-strand breaks,genomic instability,tumor suppressor,scaffold protein,dna repair
ENSG00000128731,HERC2,e3 ubiquitin ligase activity,dna damage response,cell cycle regulation,tumor development,genomic instability,protein degradation
ENSG00000164053,ATRIP,dna damage response,cell cycle checkpoint control,double-strand break repair,genomic instability,tumor progression,atr complex
ENSG00000175054,ATR,dna damage response,cell cycle checkpoint,genomic stability,replication stress,tumorigenesis,chemotherapy resistance
ENSG00000111602,TIMELESS,dna replication,genome integrity,genomic instability,overexpression,cell division,tumor growth
ENSG00000075131,TIPIN,genomic instability,dna replication,dna repair,replisome complex,homologous recombination,non-homologous end joining
ENSG00000163605,PPP4R2,protein phosphatase regulation,cell cycle control,signal transduction,tumor development,cancer progression,dna repair
ENSG00000149923,PPP4C,protein phosphatase,cellular regulation,signal transduction,cell cycle control,apoptosis,tumorigenesis
ENSG00000108384,RAD51C,homologous recombination,dna repair,genomic instability,cancer susceptibility,tumorigenesis,rad51 interaction
ENSG00000126215,XRCC3,homologous recombination,dna double-strand break repair,genomic instability,tumor progression,cancer predisposition,xrcc3 mutations
ENSG00000197774,EME2,ubiquitin-conjugating enzyme,ubiquitin-proteasome system,protein degradation,cell cycle progression,tumor development,therapeutic target
ENSG00000172732,MUS81,homologous recombination,dna repair,structure-specific endonuclease,double-strand breaks,genomic instability,tumorigenesis
ENSG00000154920,EME1,translational regulation,protein synthesis,cell proliferation,tumor progression,gene expression,oncogenesis
ENSG00000139618,BRCA2,homologous recombination,genomic instability,dna repair,tumorigenesis,cancer predisposition,cell cycle regulation
ENSG00000051180,RAD51,homologous recombination,dna repair,genome stability,tumorigenesis,double-strand breaks,cancer therapy
ENSG00000175595,ERCC4,dna repair,genomic instability,nucleotide excision repair (ner),tumor suppressor,endonuclease,genomic integrity
ENSG00000012061,ERCC1,dna repair,nucleotide excision repair (ner),genomic instability,tumor suppressor,xpf interaction,carcinogen sensitivity
ENSG00000073050,XRCC1,dna repair,genomic instability,base excision repair (ber),single-strand breaks,cancer development,chemoresistance
ENSG00000005156,LIG3,dna double-strand break repair,non-homologous end joining (nhej),genomic instability,tumor progression,dna repair pathway,overexpression
ENSG00000196419,XRCC6,dna double-strand break repair,non-homologous end joining (nhej),genomic stability,cancer predisposition,ionizing radiation sensitivity,tumorigenesis
ENSG00000079246,XRCC5,dna repair,nhej pathway,double-strand breaks,genomic instability,tumorigenesis,xrcc5
ENSG00000152422,XRCC4,dna repair,double-strand breaks,genomic instability,nhej pathway,tumor suppressor,cancer susceptibility
