ENSG00000167323,STIM1,calcium ion binding,store-operated calcium entry,angiogenesis,intracellular calcium ion homeostasis,protein binding,plasma membrane localization
ENSG00000144935,TRPC1,store-operated calcium channel activity,calcium ion transmembrane transport,regulation of cytosolic calcium ion concentration,melanin biosynthetic process,positive regulation of release of sequestered calcium ion into cytosol,tumor progression
ENSG00000089250,NOS1,nitric oxide synthesis activity,redox homeostasis,calcium signaling,angiogenesis,cell proliferation,immune modulation
ENSG00000058668,ATP2B4,calcium ion transmembrane transport,cell cycle g1/s phase transition,negative regulation of nitric oxide biosynthetic process,protein phosphatase 2b binding,pdz domain binding,regulation of cell cycle checkpoints
ENSG00000069431,ABCC9,potassium ion transport,vasodilation,hypoxia response,cellular stress response,blood vessel development,angiogenesis
ENSG00000187486,KCNJ11,atp-sensitive inward rectifier potassium channel activity,potassium ion transport,glucose metabolism,regulation of membrane potential,action potential,insulin secretion
ENSG00000084754,HADHA,fatty acid metabolic process,3-hydroxyacyl-coa dehydrogenase activity,mitochondrial fatty acid beta-oxidation multienzyme complex,nad+ binding,enoyl-coa hydratase activity,protein-containing complex binding
ENSG00000138029,HADHB,fatty acid β-oxidation,acetyl-coa c-acyltransferase activity,3-hydroxyacyl-coa dehydrogenase activity,cellular response to lipopolysaccharide,gene expression regulation,mitochondrial localization
ENSG00000197265,GTF2E2,rna polymerase ii general transcription initiation factor activity,transcription by rna polymerase ii,transcription initiation at rna polymerase ii promoter,protein binding,tfiih-class transcription factor complex binding,nucleoplasm localization
ENSG00000153767,GTF2E1,rna polymerase ii promoter,transcription initiation,transcription factor tfiid complex,nucleoplasm,protein binding,metal ion binding
ENSG00000140307,GTF2A2,rna polymerase ii preinitiation complex assembly,positive regulation of transcription by rna polymerase ii,transcription factor tfiid complex,tfiia complex,protein binding,transcription initiation at rna polymerase ii promoter
ENSG00000165417,GTF2A1,rna polymerase ii preinitiation complex assembly,transcription initiation at rna polymerase ii promoter,transcription factor tfiia complex,positive regulation of transcription initiation by rna polymerase ii,protein heterodimerization activity,rna polymerase ii-specific dna-binding transcription factor binding
ENSG00000162738,VANGL2,planar cell polarity pathway,wnt signaling pathway,cell migration,protein binding,plasma membrane localization,tumor progression
ENSG00000274287,SCRIB,epithelial cell polarity,cell-cell adhesion,adherens junction,positive chemotaxis,cell migration,tumor progression
ENSG00000004975,DVL2,wnt signaling pathway,positive regulation of dna-binding transcription factor activity,regulation of actin cytoskeleton organization,positive regulation of jnk cascade,plasma membrane localization,cell population proliferation
ENSG00000102981,PARD6A,small gtpase binding,protein localization to centrosome,establishment or maintenance of epithelial cell apical/basal polarity,cell-cell junction maintenance,centrosome cycle,positive regulation of protein secretion
ENSG00000177885,GRB2,growth factor receptor binding,ras protein signal transduction,signal transduction,mapk cascade regulation,protein-macromolecule adaptor activity,epidermal growth factor receptor signaling pathway
ENSG00000109458,GAB1,signal transduction,angiogenesis,insulin receptor signaling pathway,egfr signaling pathway,blood vessel endothelial cell migration,chemotaxis
ENSG00000146648,EGFR,receptor tyrosine kinase activity,epidermal growth factor binding,insulin-like growth factor receptor activity,signaling receptor binding,plasma membrane localization,cell proliferation
ENSG00000138798,EGF,epidermal growth factor receptor binding,growth factor activity,protein tyrosine kinase activator activity,positive regulation of cell proliferation,erk1 and erk2 cascade,egfr signaling pathway
ENSG00000121879,PIK3CA,phosphatidylinositol 3-kinase activity,histone kinase activity,insulin receptor substrate binding,negative regulation of macroautophagy,cellular response to insulin stimulus,regulation of gene expression
ENSG00000145675,PIK3R1,phosphatidylinositol 3-kinase/protein kinase b signal transduction,insulin-like growth factor receptor signaling pathway,focal adhesion disassembly,positive regulation of lamellipodium,intrinsic apoptotic signaling pathway in response to dna damage,negative regulation of apoptotic process
ENSG00000197122,SRC,tyrosine kinase activity,signal transduction,cell migration,focal adhesion assembly,glucose metabolism,membrane raft localization
ENSG00000089159,PXN,focal adhesion,cell migration,signal transduction,protein binding,actin cytoskeleton regulation,growth factor signaling
ENSG00000137392,CLPS,lipase binding,enzyme activator activity,lipid metabolic process,lipid catabolic process,response to bacterium,extracellular region
ENSG00000175535,PNLIP,lipase activity,lipid metabolic process,lipid catabolic process,all-trans-retinol forming activity,extracellular space localization,metal ion binding
ENSG00000078369,GNB1,gtpase activity,heterotrimeric g-protein complex,signal transduction,g protein-coupled receptor signaling pathway,protein-containing complex binding,cellular response to prostaglandin e stimulus
ENSG00000127928,GNGT1,phototransduction,g protein-coupled receptor signaling pathway,gtpase activity,plasma membrane localization,hypoxia response,protein binding
ENSG00000198515,CNGA1,cyclic nucleotide-gated channel activity,monoatomic ion transport,sodium ion transmembrane transport,calcium ion transmembrane transport,photoreceptor outer segment,plasma membrane localization
ENSG00000070729,CNGB1,cyclic nucleotide-activated monoatomic ion channel activity,photoreceptor cell maintenance,calcium ion transmembrane transport,olfactory nerve maturation,visual perception,positive regulation of gene expression
ENSG00000257365,FNTB,protein farnesyltransferase activity,prenylation,lipid metabolic process,cytosol localization,microtubule associated complex,signal transduction
ENSG00000168522,FNTA,prenylation,microtubule binding,ras signaling,transforming growth factor beta signaling,caax-protein geranylgeranyltransferase complex,cytoskeletal dynamics
ENSG00000113522,RAD50,dna double-strand break repair,telomere maintenance via recombination,protein serine/threonine kinase activator activity,double-strand break repair via homologous recombination,metal ion binding,chromatin extrusion motor activity
ENSG00000020922,MRE11,dna endonuclease activity,dna helicase activity,dna damage response,homologous recombination,double-strand break repair,nonhomologous end joining
ENSG00000182481,KPNA2,nuclear import signal receptor activity,protein binding,nls-dependent protein nuclear import complex,positive regulation of type i interferon production,regulation of dna recombination,dna metabolic process
ENSG00000104320,NBN,dna double-strand break repair,homologous recombination,telomere maintenance,mre11 complex,dna damage response signaling,protein k63-linked ubiquitination
ENSG00000172977,KAT5,histone acetyltransferase activity,dna repair,cell cycle regulation,transcriptional control,oncogene expression,tumor survival
ENSG00000149311,ATM,dna damage response,histone kinase activity,cell cycle checkpoint control,apoptosis regulation,protein kinase activity,ionizing radiation sensitivity
ENSG00000009954,BAZ1B,histone h2axy142 kinase activity,dna damage response,chromatin remodeling,positive regulation of transcription by rna polymerase ii,post-translational protein modification,chromatin organization
ENSG00000153147,SMARCA5,atp-dependent chromatin remodeler activity,nucleosome binding,histone octamer slider activity,dna repair,positive regulation of transcription by rna polymerase ii,chromatin remodeling
ENSG00000103275,UBE2I,protein sumoylation,dna-templated transcription regulation,cell cycle control,ubiquitin-dependent protein catabolic process,transcription factor binding,nucleus localization
ENSG00000116030,SUMO1,protein stability,dna repair,transcriptional regulation,ubiquitin binding,protein modification,tumorigenesis
ENSG00000169139,UBE2V2,protein ubiquitination,k63-linked ubiquitination,postreplication repair,dna double-strand break processing,double-strand break repair,nucleoplasm localization
ENSG00000177889,UBE2N,ubiquitin conjugating enzyme activity,dna repair,protein ubiquitination,nf-κb signaling,t cell receptor signaling,immune response regulation
ENSG00000138376,BARD1,dna repair,homologous recombination,ubiquitin ligase activity,protein degradation,cell cycle regulation,chromatin remodeling
ENSG00000012048,BRCA1,dna repair,homologous recombination,transcriptional regulation,protein ubiquitination,cell cycle control,apoptosis
ENSG00000188612,SUMO2,protein sumoylation,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,rna binding,transcriptional regulation by rna polymerase ii,ubiquitin ligase binding,protein degradation
ENSG00000225589,MDC1,dna damage response,double-strand break repair,chromatin organization,protein binding,transcriptional regulation,genomic stability
ENSG00000128731,HERC2,ubiquitin ligase activity,notch signaling pathway regulation,dna damage response,protein ubiquitination,proteasome-mediated protein degradation,intracellular protein transport
ENSG00000164053,ATRIP,dna repair,dna damage checkpoint signaling,genomic instability,k63-linked polyubiquitin modification-dependent protein binding,protein binding,exonuclease activity
ENSG00000175054,ATR,dna damage response,double-strand break repair,mitotic g2/m transition checkpoint,cellular response to stress,phosphorylation events,genomic stability
ENSG00000111602,TIMELESS,dna replication checkpoint signaling,homologous recombination,dna damage response,cell cycle regulation,circadian rhythm,genomic stability
ENSG00000075131,TIPIN,dna replication checkpoint signaling,mitotic intra-s dna damage checkpoint signaling,dna damage response,replication fork processing,cell cycle phase transition,protein binding
ENSG00000163605,PPP4R2,regulation of double-strand break repair,chromatin,protein phosphatase regulator activity,protein binding,rna splicing,mrna processing
ENSG00000149923,PPP4C,serine/threonine-protein phosphatase activity,dna repair via homologous recombination,chromatin remodeling,regulation of transcription by rna polymerase ii,rna polymerase ii ctd heptapeptide repeat phosphatase activity,double-strand break repair via homologous recombination
ENSG00000108384,RAD51C,dna repair,homologous recombination,double-strand break repair,genomic stability,cancer susceptibility,tumorigenesis suppression
ENSG00000126215,XRCC3,dna double-strand break repair,homologous recombination,single-strand annealing,dna damage response,interstrand cross-link repair,protein binding
