ENSG00000167323,STIM1,calcium sensing,er stress,store-operated calcium entry (soce),tumor growth,angiogenesis,none
ENSG00000144935,TRPC1,calcium influx,ion channel,cell proliferation,cancer progression,g protein-coupled receptors,signal transduction
ENSG00000089250,NOS1,no signaling,synaptic plasticity,neuronal survival,tumor growth,angiogenesis,metastasis
ENSG00000058668,ATP2B4,calcium homeostasis,membrane transport,intracellular signaling,cancer progression,tumor growth,cell proliferation
ENSG00000069431,ABCC9,anion exchanger,intracellular ph,cell volume regulation,thyroid carcinoma,tumor progression,drug resistance
ENSG00000187486,KCNJ11,potassium channels,ion homeostasis,cellular excitability,tumor growth,thyroid cancer,potassium conductance
ENSG00000084754,HADHA,mitochondrial function,fatty acid metabolism,beta-oxidation,acyl-coa buildup,energy production,cellular proliferation
ENSG00000138029,HADHB,fatty acid beta-oxidation,mitochondrial metabolism,acetyl-coa production,cellular energy,metabolic regulation,none
ENSG00000197265,GTF2E2,transcriptional regulation,gene expression,pre-initiation complex assembly,general transcription factor,tfiie subunit,aberrant gene expression
ENSG00000153767,GTF2E1,transcriptional regulation,gene expression,tumorigenesis,promoter binding,transcription factor,oncogenic process
ENSG00000140307,GTF2A2,transcription regulation,pre-initiation complex assembly,gene expression dysregulation,tumor development,mrna synthesis,cancer pathogenesis
ENSG00000165417,GTF2A1,transcriptional regulation,general transcription factor,gene expression dysregulation,tumorigenesis,promoter binding,rna polymerase ii
ENSG00000162738,VANGL2,planar cell polarity (pcp) signaling,cell migration,tumor progression,cytoskeletal rearrangement,developmental disorders,overexpression
ENSG00000274287,SCRIB,tumor growth,cell adhesion,cancer progression,rho gtpase interaction,epithelial tissue,tissue polarity
ENSG00000004975,DVL2,wnt signaling pathway,dishevelled protein,cell proliferation,tumor growth,oncogenesis,scaffold protein
ENSG00000102981,PARD6A,cell polarity,scaffolding protein,tumor progression,invasion,metastasis,wnt/β-catenin pathway
ENSG00000177885,GRB2,ras/raf/mek/erk pathway,adaptor protein,sh2 domain,signal transduction,oncogenic activation,tyrosine phosphorylation
ENSG00000109458,GAB1,gab1 overexpression,receptor tyrosine kinase signaling,cell proliferation,angiogenesis,tumor progression,therapeutic target
ENSG00000146648,EGFR,egfr tyrosine kinase,receptor overexpression,constitutively activated,downstream signaling pathways,oncogenic mutations,therapeutic target
ENSG00000138798,EGF,egfr overexpression,tyrosine kinase activity,pi3k/akt pathway,mapk pathway,oncogenic mutations,tumor progression
ENSG00000121879,PIK3CA,pi3k/akt pathway,oncogenic mutations,constitutive activation,tumor progression,therapeutic target,cellular proliferation
ENSG00000145675,PIK3R1,pi3k/akt pathway activation,oncogenic mutations,tumor suppressor gene function,cell proliferation,thyroid carcinoma,genetic alterations
ENSG00000197122,SRC,src kinase activity,tyrosine phosphorylation,oncogenic transformation,tumor growth,stat3 activation,none
ENSG00000089159,PXN,focal adhesion,cell migration,cytoskeletal organization,signal transduction,tumor invasion,adhesion dynamics
ENSG00000137392,CLPS,cardiolipin biosynthesis,mitochondrial function,thyroid carcinoma,apoptosis regulation,cell proliferation,oncogenic potential
ENSG00000175535,PNLIP,lipid metabolism,cell proliferation,apoptosis regulation,thyroid cancer,gene expression,protein-coding gene
ENSG00000078369,GNB1,gpcr signaling,signal transduction,heterotrimeric g proteins,cellular proliferation,apoptosis regulation,cancer development
ENSG00000127928,GNGT1,glycosylation,protein modification,cellular signaling,tumor development,enzyme activity,cancer biology
ENSG00000198515,CNGA1,cyclic nucleotide-gated channels,calcium ion influx,sensory transduction,ion channel dysregulation,olfactory transduction,visual signal transmission
ENSG00000070729,CNGB1,cngb1 channel,retinal photoreceptor cells,light-induced currents,congenital stationary night blindness,membrane potential,cellular signaling
ENSG00000257365,FNTB,fibronectin interaction,cell adhesion,tumor progression,metastasis,extracellular matrix,integrin binding
ENSG00000168522,FNTA,tumor progression,cell adhesion,extracellular matrix organization,angiogenesis,metastasis,biomarker
ENSG00000113522,RAD50,dna repair,genomic instability,mrn complex,homologous recombination,non-homologous end joining,tumorigenesis
ENSG00000020922,MRE11,dna double-strand break repair,genomic instability,cancer development,mrn complex,nuclease activity,tumorigenesis
ENSG00000182481,KPNA2,nuclear import,oncoprotein transport,transcription factor regulation,cell cycle control,tumor development,cancer progression
ENSG00000104320,NBN,dsbr,genomic instability,dna double-strand break repair,nhej pathway,nibrin protein,thyroid carcinoma
ENSG00000172977,KAT5,histone acetylation,gene regulation,chromatin remodeling,dna repair,oncogenic pathway interaction,tumorigenesis
ENSG00000149311,ATM,dna damage response,genomic instability,cell cycle arrest,apoptosis,tumor suppressor,cancer predisposition
ENSG00000009954,BAZ1B,chromatin remodeling,gene expression regulation,swi/snf complex,cancer development,tumorigenesis,oncogenic potential
ENSG00000153147,SMARCA5,chromatin remodeling,transcriptional regulation,swi/snf complex,tumor suppressor,oncogene activation,none
ENSG00000103275,UBE2I,ubiquitin-conjugating enzyme,protein degradation,cellular homeostasis,ubiquitin-proteasome system,oncoprotein accumulation,cancer development
ENSG00000116030,SUMO1,sumoylation,post-translational modification,tumorigenesis,cell proliferation,apoptosis,protein function regulation
ENSG00000169139,UBE2V2,ubiquitination,protein degradation,cellular function regulation,cancer development,signal transduction,dna repair
ENSG00000177889,UBE2N,ubiquitin-conjugating enzyme,protein degradation,proteasome pathway,tumorigenesis,cell cycle control,oncogenic potential
ENSG00000138376,BARD1,dna damage response,ubiquitin ligase,homologous recombination,genomic instability,brca1 interaction,tumor suppressor
ENSG00000012048,BRCA1,tumor suppressor,homologous recombination,dna repair,genomic instability,cancer predisposition,cell cycle regulation
ENSG00000188612,SUMO2,sumoylation,protein modification,tumor suppressor,dna repair,cell cycle regulation,apoptotic pathways
ENSG00000225589,MDC1,dna damage response (ddr),scaffold protein,cell cycle checkpoint,genomic instability,tumorigenesis,dna double-strand breaks
ENSG00000128731,HERC2,ubiquitination,protein degradation,dna damage repair,cell cycle regulation,pi3k/akt pathway,thyroid tumor development
ENSG00000164053,ATRIP,dna damage response,genome stability,cell cycle arrest,apoptosis,tumorigenesis,genomic instability
ENSG00000175054,ATR,dna damage response (ddr),genomic stability,cell cycle arrest,tumor progression,therapeutic resistance,oncogene
ENSG00000111602,TIMELESS,dna repair,homologous recombination,replication fork protection,genomic instability,cell cycle progression,cancer cell proliferation
ENSG00000075131,TIPIN,dna replication,pre-replication complex (pre-rc),dna repair,protein interaction,origin recognition,thyroid carcinoma
