ENSG00000004059	ARF5,gtpase activity,retrograde vesicle-mediated transport,protein binding,intracellular protein transport,golgi to endoplasmic reticulum transport,plasma membrane localization
ENSG00000173898	SPTBN2,structural constituent of cytoskeleton activity,phospholipid binding,actin filament binding,cadherin binding,synapse assembly,postsynaptic specialization assembly
ENSG00000079616	KIF22,microtubule binding,cytoskeletal motor activity,atp binding,dna repair,mitotic cell cycle progression,sister chromatid cohesion
ENSG00000104671	DCTN6,dynactin complex binding,mitotic spindle organization,chromatin remodeling,microtubule dynamics regulation,kinetochore localization,cytoskeleton maintenance
ENSG00000105829	BET1,vesicle-mediated transport,endoplasmic reticulum-to-golgi transport,snap receptor activity,protein binding,endoplasmic reticulum-golgi intermediate compartment membrane localization,golgi apparatus involvement
ENSG00000106636	YKT6,vesicle-mediated transport,endoplasmic reticulum to golgi vesicle-mediated transport,retrograde transport,protein binding,snap receptor activity,transferase activity
ENSG00000108433	GOSR2,snap receptor activity,vesicle fusion,protein binding,er-to-golgi vesicle-mediated transport,endoplasmic reticulum-golgi intermediate compartment membrane localization,golgi apparatus association
ENSG00000108587	GOSR1,vesicle fusion,golgi snap receptor activity,retrograde transport,vesicle-mediated transport,endoplasmic reticulum to golgi vesicle-mediated transport,intra-golgi vesicle-mediated transport
ENSG00000232957	HLA-DOA,mhc class ii protein complex binding,peptide antigen binding,adaptive immune response,antigen processing and presentation,regulation of t cell activation,plasma membrane localization
ENSG00000129083	COPB1,intracellular protein transport,golgi apparatus regulation,endoplasmic reticulum-golgi trafficking,protein secretion regulation,cytoplasmic vesicle localization,structural molecule activity
ENSG00000131966	ACTR10,microtubule-based movement,retrograde axonal transport of mitochondrion,protein binding,cytoskeleton organization,axon cytoplasm localization,ficolin-1-rich granule lumen localization
ENSG00000133703	KRAS,gtpase activity,g protein activity,cellular proliferation,skeletal muscle cell differentiation,ras protein signal transduction,actin cytoskeleton organization
ENSG00000134287	ARF3,gtpase activity,protein binding,golgi to endoplasmic reticulum transport,retrograde vesicle-mediated transport,intracellular protein transport,plasma membrane localization
ENSG00000135720	DYNC1LI2,dynein heavy chain binding,identical protein binding,microtubule-based movement,cellular response to nerve growth factor stimulus,centrosome localization,cytoplasmic dynein complex component
ENSG00000136152	COG3,vesicle recycling within golgi,intracellular protein transport,endoplasmic reticulum to golgi vesicle-mediated transport,golgi organization,protein binding,protein glycosylation
ENSG00000136240	KDELR2,er retention sequence binding,kdel sequence binding,golgi to endoplasmic reticulum retrograde vesicle-mediated transport,vesicle-mediated transport,protein retention in er lumen,maintenance of protein localization in endoplasmic reticulum
ENSG00000137100	DCTN3,dynactin complex assembly,microtubule-based process regulation,cytoskeleton-dependent cytokinesis,cell division regulation,mitotic cell cycle,structural molecule activity
ENSG00000137171	KLC4,microtubule-based movement,kinesin binding,microtubule interaction,cytoskeletal rearrangement,cell migration,protein-protein interaction
ENSG00000137807	KIF23,microtubule binding,cytoskeletal motor activity,mitotic spindle elongation,cytokinesis,spindle midzone assembly,cell division regulation
ENSG00000138160	KIF11,microtubule binding,cytoskeletal motor activity,atp binding,protein binding,plus-end-directed microtubule motor activity,microtubule-based movement
