ENSG00000167323,STIM1,calcium channel regulator activity,ca2+ binding activity,calcium ion transport,regulation of store-operated calcium entry,angiogenesis promotion,cell membrane localization
ENSG00000144935,TRPC1,store-operated calcium channel activity,monoatomic cation channel activity,calcium ion transmembrane transport,calcium ion transport,regulation of cardiac conduction,melanin biosynthetic process
ENSG00000089250,NOS1,nitric oxide synthase activity,fmn binding,calmodulin binding,nitric oxide production,vasodilation regulation,muscle contraction regulation
ENSG00000058668,ATP2B4,calcium ion transmembrane transport,p-type calcium transporter activity,protein phosphatase 2b binding,negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway,sodium channel regulator activity,ca²⁺ ion homeostasis
ENSG00000069431,ABCC9,potassium channel regulator activity,atp-activated inward rectifier potassium channel activity,insulin-like growth factor receptor signaling,glucose metabolism,response to stress,cellular response to atp
ENSG00000187486,KCNJ11,atp-activated inward rectifier potassium channel activity,regulation of membrane potential,action potential regulation,glucose metabolic process,insulin secretion regulation,apoptotic process regulation
ENSG00000084754,HADHA,enoyl-coa hydratase activity,3-hydroxyacyl-coa dehydrogenase activity,fatty acid beta-oxidation,mitochondrial inner membrane localization,nad+ binding,oxidoreductase activity
ENSG00000138029,HADHB,trifunctional enzyme subunit beta activity,fatty acid beta-oxidation,rna binding,lncrna binding,cellular response to lipopolysaccharide,mitochondrial function
ENSG00000197265,GTF2E2,rna polymerase ii general transcription initiation factor activity,transcription initiation at rna polymerase ii promoter,tfiih-class transcription factor complex binding,dna binding,rna binding,nucleoplasm localization
ENSG00000153767,GTF2E1,rna polymerase ii-dependent transcription regulation,transcription initiation at promoter region,metal ion binding,protein-protein interactions,nucleus localization,tfii-e complex assembly activity
ENSG00000140307,GTF2A2,rna polymerase ii preinitiation complex assembly,positive regulation of transcription by rna polymerase ii,transcription initiation at rna polymerase ii promoter,tbp-class protein binding,protein heterodimerization activity,rna polymerase ii general transcription initiation factor activity
ENSG00000165417,GTF2A1,rna polymerase ii preinitiation complex assembly,positive regulation of transcription by rna polymerase ii,transcription initiation at rna polymerase ii promoter,rna polymerase ii-specific dna-binding,rna polymerase ii general transcription initiation factor activity,protein binding
ENSG00000162738,VANGL2,planar cell polarity pathway,protein binding,wnt signaling pathway,cell migration,cancer progression,apical-basal polarity
ENSG00000274287,SCRIB,epithelial cell polarity maintenance,cell-cell adhesion,wound healing,synaptic vesicle endocytosis,neurotransmitter receptor transport,epithelial structure maintenance
ENSG00000004975,DVL2,canonical wnt signaling pathway,non-canonical wnt signaling pathway,planar cell polarity pathway,wnt signaling pathway,convergent extension involved in organogenesis,cancer cell proliferation regulation
ENSG00000102981,PARD6A,partitioning defective 6 homolog alpha activity,small gtpase binding activity,gtp-dependent protein binding activity,cell polarity establishment or maintenance,tight junction maintenance,centrosome cycle regulation
ENSG00000177885,GRB2,protein-macromolecule adaptor activity,actin cytoskeleton organization,fibroblast growth factor receptor signaling,ephrin receptor binding,epidermal growth factor receptor binding,ras protein signal transduction
ENSG00000109458,GAB1,signaling adaptor activity,protein binding,angiogenesis,insulin receptor signaling pathway,epidermal growth factor receptor signaling pathway,cytosol localization
ENSG00000146648,EGFR,epidermal growth factor receptor activity,transmembrane signaling receptor activity,insulin-like growth factor receptor activity,histone h2axy142 kinase activity,histone h3y41 kinase activity,chromatin binding
ENSG00000138798,EGF,epidermal growth factor receptor binding,growth factor activity,erbb2-egfr signaling pathway,angiogenesis,mapk cascade activation,cell proliferation
ENSG00000121879,PIK3CA,phosphatidylinositol-3-kinase activity,histone kinase activity,protein kinase activity,atp binding,insulin receptor substrate binding,negative regulation of macroautophagy
ENSG00000145675,PIK3R1,phosphatidylinositol 3-kinase activity,t follicular helper cell differentiation,immune response,insulin-like growth factor receptor signaling pathway,glucose metabolism,regulation of stress fiber assembly
ENSG00000197122,SRC,tyrosine kinase activity,cell migration,adhesion,proliferation,macroautophagy,plasma membrane localization
ENSG00000089159,PXN,vinculin binding,protein phosphatase binding,beta-catenin binding,metal ion binding,focal adhesion formation,signal transduction
ENSG00000137392,CLPS,lipase binding activity,enzyme activator function,lipid metabolic process,lipid catabolic process,digestion,response to bacterium
ENSG00000175535,PNLIP,lipase activity,hydrolase activity,triacylglycerol lipase activity,lipid catabolic process,retinol metabolic process,extracellular localization
ENSG00000078369,GNB1,gtpase activity,signal transduction pathway regulation,cell population proliferation,g protein-coupled receptor signaling pathway,lysosomal membrane interaction,autophagy regulation
ENSG00000127928,GNGT1,gtpase activity,g protein subunit binding,phototransduction,sigaling pathway regulation,cellular response to hypoxia,apoptosis regulation
