ENSG00000167323,STIM1,calcium ion binding,store-operated calcium entry,intracellular calcium ion homeostasis,protein binding,er lumen,sarcoplasmic reticulum membrane
ENSG00000144935,TRPC1,store-operated calcium entry,calcium channel activity,positive regulation of calcium release,calcium ion transmembrane transport,regulation of cytosolic calcium ion concentration,plasma membrane localization
ENSG00000089250,NOS1,nitric oxide synthase activity,cellular redox homeostasis,angiogenesis,immune response modulation,tumor growth,metastasis
ENSG00000058668,ATP2B4,calcium ion transmembrane transport,regulation of cell cycle g1/s phase transition,blood vessel endothelial cell migration,negative regulation of nitric oxide synthase activity,protein phosphatase 2b binding,nitric-oxide synthase binding
ENSG00000069431,ABCC9,potassium ion transmembrane transport,membrane potential regulation,blood vessel diameter maintenance,cardiac muscle contraction,potassium channel activity,cellular response to potassium ion
ENSG00000187486,KCNJ11,atp-sensitive inward rectifier potassium channel activity,potassium ion transport,insulin secretion regulation,glucose metabolism,cellular response to stimulus,membrane potential regulation
ENSG00000084754,HADHA,fatty acid beta-oxidation,mitochondrial localization,3-hydroxyacyl-coa dehydrogenase activity,enoyl-coa hydratase activity,response to insulin,organic acid catabolic process
ENSG00000138029,HADHB,fatty acid β-oxidation,mitochondrial function,acetyl-coa production,acyltransferase activity,3-hydroxyacyl-coa dehydrogenase activity,enoyl-coa hydratase activity
ENSG00000197265,GTF2E2,rna polymerase ii general transcription initiation factor activity,transcription factor tfiid complex binding,nucleoplasm localization,transcription factor tfiie complex binding,dna binding,protein binding
ENSG00000153767,GTF2E1,rna polymerase ii general transcription initiation factor activity,transcription initiation at rna polymerase ii promoter,metal ion binding,protein binding,nucleoplasm localization,tumor progression
ENSG00000140307,GTF2A2,transcription initiation,rna polymerase ii,transcription factor binding,protein homodimerization activity,protein heterodimerization activity,nucleoplasm localization
ENSG00000165417,GTF2A1,rna polymerase ii-specific dna-binding transcription factor binding,transcription preinitiation complex assembly,positive regulation of transcription initiation by rna polymerase ii,tbp-class protein binding,nucleoplasm localization,protein heterodimerization activity
ENSG00000162738,VANGL2,planar cell polarity establishment,wnt signaling pathway,plasma membrane localization,cell migration,axon guidance,protein binding
ENSG00000274287,SCRIB,cell-cell adhesion,epithelial polarity establishment,cell migration,scaffold protein interaction,negative regulation of mitosis,tumor progression
ENSG00000004975,DVL2,wnt signaling pathway,protein-macromolecule adaptor activity,positive regulation of cell population proliferation,protein binding,regulation of transcription by rna polymerase ii,actin cytoskeleton organization
ENSG00000102981,PARD6A,small gtpase binding,epithelial cell polarity,centrosome cycle,cell-cell junction maintenance,protein localization,positive regulation of protein secretion
ENSG00000177885,GRB2,receptor tyrosine kinase binding,ras protein signal transduction,signal transduction in response to dna damage,protein-macromolecule adaptor activity,positive regulation of reactive oxygen species metabolic process,cell proliferation
ENSG00000109458,GAB1,signaling adaptor activity,angiogenesis,receptor tyrosine kinase signaling,cell-cell junction,cytoplasm,protein binding
ENSG00000146648,EGFR,epidermal growth factor binding,receptor tyrosine kinase activity,protein tyrosine kinase activity,cell signaling pathway,signal transduction,plasma membrane localization
ENSG00000138798,EGF,epidermal growth factor receptor binding,growth factor activity,mapk/erk cascade,positive regulation of cell proliferation,angiogenesis,epithelial tube formation
ENSG00000121879,PIK3CA,phosphatidylinositol 3-kinase activity,histone kinase activity,insulin-like growth factor signaling,glucose metabolism,regulation of gene expression,cell proliferation
ENSG00000145675,PIK3R1,phosphatidylinositol 3-kinase/protein kinase b signal transduction,insulin-like growth factor receptor signaling pathway,positive regulation of cell proliferation,regulation of cell survival,immune response regulation,intracellular glucose homeostasis
ENSG00000197122,SRC,tyrosine kinase activity,signal transduction,cell migration,cell proliferation,apoptosis evasion,adhesion
ENSG00000089159,PXN,protein binding activity,focal adhesion assembly,cell migration,signal transduction,growth hormone receptor signaling pathway,transforming growth factor beta receptor signaling pathway
ENSG00000137392,CLPS,lipase binding,enzyme activator activity,lipid metabolic process,lipid catabolic process,extracellular region,tumor microenvironment interactions
ENSG00000175535,PNLIP,lipase activity,triacylglycerol lipase activity,lipid catabolic process,extracellular space,tumor microenvironment,lipid metabolism dysregulation
ENSG00000078369,GNB1,g protein-coupled receptor signaling pathway,ras protein signal transduction,cell population proliferation,plasma membrane localization,cellular response to catecholamine stimulus,gtpase activity
ENSG00000127928,GNGT1,phototransduction,signal transduction,cellular response to hypoxia,cardiac muscle cell apoptosis,g-protein beta-subunit binding,gtpase activity
ENSG00000198515,CNGA1,cyclic nucleotide-gated channel activity,calcium ion transport,sodium ion transport,cellular signaling pathway regulation,intracellular cyclic nucleotide binding,altered expression in [thca]
ENSG00000070729,CNGB1,cyclic nucleotide-gated ion channel activity,phototransduction,olfactory sensory perception,rod photoreceptor outer segment,calcium ion transport,camp binding
ENSG00000257365,FNTB,protein farnesyltransferase activity,protein prenylation,cell growth,signal transduction pathways,cancer development,microtubule associated complex
ENSG00000168522,FNTA,protein farnesyltransferase activity,microtubule binding,transforming growth factor beta receptor signaling pathway,positive regulation of rac protein signal transduction,prenylation,cell proliferation
ENSG00000113522,RAD50,dna double-strand break repair,homologous recombination,telomere maintenance,protein complex assembly,chromatin remodeling,dna helicase activity
ENSG00000020922,MRE11,dna endonuclease activity,dna helicase activity,double-strand break repair,homologous recombination,non-homologous end joining,chromosomal organization
ENSG00000182481,KPNA2,nuclear import signal receptor activity,nls-bearing protein nuclear import,protein binding,dna metabolic process,regulation of dna recombination,positive regulation of type i interferon production
ENSG00000104320,NBN,double-strand break repair,homologous recombination,telomere maintenance,cell cycle regulation,dna damage response,genomic instability
ENSG00000172977,KAT5,histone acetyltransferase activity,chromatin binding,dna repair,cell cycle regulation,signal transduction by p53 class mediator,transcriptional activation
ENSG00000149311,ATM,dna damage response,histone kinase activity,cell cycle regulation,apoptosis induction,dna repair,genomic stability
ENSG00000009954,BAZ1B,histone h3y41 kinase activity,chromatin organization,dna damage response,positive regulation of transcription by rna polymerase ii,histone binding,metal ion binding
ENSG00000153147,SMARCA5,atp-dependent chromatin remodeler activity,dna repair,heterochromatin formation,transcriptional regulation,chromatin organization,cell cycle progression
ENSG00000103275,UBE2I,sumo-conjugating enzyme activity,protein sumoylation,transcription regulation,dna repair,cell cycle progression,nuclear localization
