ENSG00000167323,STIM1,store-operated calcium entry pathway,crac channels,tumor progression,metastasis,epithelial-mesenchymal transition,therapeutic target
ENSG00000144935,TRPC1,calcium signaling,membrane potential regulation,tumor progression,metastasis,cellular migration,invasive behavior
ENSG00000089250,NOS1,nitric oxide signaling,tumor promotion,angiogenesis,metastasis,chemoresistance,therapeutic target
ENSG00000058668,ATP2B4,calcium homeostasis,intracellular calcium regulation,cell growth,signal transduction,tumor progression,therapeutic target
ENSG00000069431,ABCC9,katp channel,tumor progression,drug resistance,upregulation,prognosis,cell proliferation
ENSG00000187486,KCNJ11,insulin secretion regulation,pancreatic cancer,poor prognosis,therapy resistance,dysregulation of expression/function,pi3k/akt/mtor signaling pathway
ENSG00000084754,HADHA,fatty acid β-oxidation,energy production,dysregulation of metabolism,tumor growth and survival,alternative energy source,lipid metabolism interaction
ENSG00000138029,HADHB,fatty acid beta-oxidation,trifunctional protein,metabolic reprogramming,tumor progression,therapeutic target,drug resistance
ENSG00000197265,GTF2E2,transcription initiation,promoter recognition,preinitiation complex assembly,transcriptional regulation,tumor development,drug resistance
ENSG00000153767,GTF2E1,transcription initiation,dysregulated expression,tumor progression,gene regulation,therapeutic target,genomic instability
ENSG00000140307,GTF2A2,transcription initiation,preinitiation complexes,mrna synthesis,dna repair,chromatin remodeling,tumor progression
ENSG00000165417,GTF2A1,transcription initiation,preinitiation complex assembly,transcription factor,transcriptional regulation,gene expression,transcription machinery
ENSG00000162738,VANGL2,wnt signaling pathway,tumor growth,invasion,metastasis,epithelial-mesenchymal transition (emt),drug resistance
ENSG00000274287,SCRIB,cell polarity,cell-cell adhesion,tumor suppressor,epithelial integrity,tumor progression,signaling pathways
ENSG00000004975,DVL2,wnt signaling pathway,scaffold protein,tumor initiation,tumor progression,metastasis,therapeutic target
ENSG00000102981,PARD6A,cell polarity regulation,tight junction assembly,tumorigenesis,tumor progression,prognostic marker,wnt signaling pathway interaction
ENSG00000177885,GRB2,signal transduction,cell growth,proliferation,survival,therapeutic target,genomic alterations
ENSG00000109458,GAB1,signal transduction,pi3k/akt pathway,amplification,overexpression,tumor growth,invasion
ENSG00000146648,EGFR,receptor tyrosine kinase,cell growth,angiogenesis,pi3k/akt signaling,mapk/erk pathway,therapeutic target
ENSG00000138798,EGF,cell proliferation,egfr signaling,tumor growth,angiogenesis,therapeutic target,immune modulation
ENSG00000121879,PIK3CA,pi3k/akt/mtor signaling pathway,constitutive activation,gain-of-function mutations,targeted therapy,interactions with other proteins,genomic profiling
ENSG00000145675,PIK3R1,pi3k/akt/mtor signaling pathway,constitutive activation,genetic alterations,tumor progression,therapeutic target,genomic profiling
ENSG00000197122,SRC,protein tyrosine kinase,survival signaling,tumor progression,metastasis,drug resistance,therapeutic target
ENSG00000089159,PXN,focal adhesions,tumor progression,cell migration,invasion,therapeutic target,tumor microenvironment
ENSG00000137392,CLPS,fat digestion,pancreatic lipase cofactor,dysregulation,tumor progression,therapeutic target,biomarker identification
ENSG00000175535,PNLIP,pancreatic lipase function,lipid digestion,overexpression,tumor growth,metastasis,metabolic advantage
ENSG00000078369,GNB1,signal transduction,g protein-coupled receptors,pi3k/akt/mtor signaling pathway,cell proliferation,tumor progression,metastasis
ENSG00000127928,GNGT1,g protein signaling,signal transduction,g protein-coupled receptors (gpcrs),tumor progression,metastasis,dysregulated cellular processes
ENSG00000198515,CNGA1,ion channels,cytoskeletal rearrangement,cell cycle progression,tumor microenvironment,therapeutic targets,precision medicine
ENSG00000070729,CNGB1,cyclic nucleotide-gated channels,phototransduction,retinitis pigmentosa,cellular signaling,proliferation,apoptosis
ENSG00000257365,FNTB,protein prenylation,catalytic subunit of farnesyltransferase,dysregulation of protein prenylation,oncogenic processes,ftase inhibition,therapeutic target
ENSG00000168522,FNTA,protein farnesyltransferase,post-translational modification,farnesylation,aberrant signaling,tumor progression,ras activation
ENSG00000113522,RAD50,dna repair,genome stability,double-strand break repair,mrn complex,genomic instability,tumor initiation and progression
ENSG00000020922,MRE11,dna repair mechanism,genome stability,double-strand break repair,telomere maintenance,replication fork stability,meiotic recombination
ENSG00000182481,KPNA2,nucleocytoplasmic transport,gene expression regulation,tumor growth,metastasis,drug resistance,oncogenic protein nuclear import
ENSG00000104320,NBN,dna repair,genomic stability,dna damage response,double-strand breaks,prognostic biomarker,therapeutic target
ENSG00000172977,KAT5,histone acetylation,dna repair,transcriptional regulation,tumorigenesis,cell proliferation,therapeutic target
ENSG00000149311,ATM,dna damage response,genomic stability,pancreatic cancer,atm mutations,poor prognosis,therapeutic target
ENSG00000009954,BAZ1B,chromatin remodeling,gene expression regulation,tumor progression,dna damage response,therapeutic target,cell cycle control
ENSG00000153147,SMARCA5,chromatin remodeling,transcriptional regulation,tumorigenesis,chromatin structure alteration,swi/snf complex,therapeutic target
ENSG00000103275,UBE2I,sumoylation pathway,protein regulation,signal transduction,tumor development,oncogenic signaling,therapeutic target
ENSG00000116030,SUMO1,post-translational modification,sumoylation,transcriptional regulation,dna repair,protein degradation,tumorigenesis
ENSG00000169139,UBE2V2,ubiquitin-proteasome system (ups),protein degradation,cell cycle regulation,tumorigenesis,dna damage response,drug resistance
ENSG00000177889,UBE2N,ubiquitin-proteasome system,k63-linked polyubiquitin chains,dna repair,inflammation,immune responses,nf-κb signaling
ENSG00000138376,BARD1,tumor suppressor gene,dna damage response,homologous recombination,ubiquitin ligase complex,genomic instability,breast and ovarian cancer
ENSG00000012048,BRCA1,dna repair,genome stability,genomic instability,tumor suppressor gene,homologous recombination,cell proliferation
ENSG00000188612,SUMO2,sumoylation,dna damage response,genomic stability,transcriptional regulation,protein-protein interactions,therapeutic target
ENSG00000225589,MDC1,dna damage response,genome stability,dna repair capacity,sensitivity to therapy,tumor suppressor,metastasis suppression
ENSG00000128731,HERC2,e3 ubiquitin ligase,protein degradation,dna damage response,tumor progression,cell cycle regulation,apoptosis
ENSG00000164053,ATRIP,atr-atrip kinase complex,dna damage response,genomic instability,impaired dna repair,checkpoint signaling,cancer therapy
ENSG00000175054,ATR,dna damage response,genomic integrity maintenance,cell cycle checkpoint regulation,tumor progression,therapeutic target,dna repair pathways
ENSG00000111602,TIMELESS,cell cycle regulation,dna replication,genomic stability,dna repair,tumorigenesis,therapeutic target
ENSG00000075131,TIPIN,dna replication regulation,cell cycle progression,interacts with atr and pcna,overexpression in cancer,tumorigenesis,therapeutic target
ENSG00000163605,PPP4R2,protein phosphatase 4 (pp4),cell cycle regulation,dna damage repair,apoptosis,genomic instability,therapeutic target
ENSG00000149923,PPP4C,protein phosphatase 4 (pp4c),cell cycle regulation,dna repair,apoptosis,signaling pathway modulation,therapeutic target
ENSG00000108384,RAD51C,homologous recombination repair pathway,genomic stability maintenance,mutations in cancer,dna repair defects,therapeutic target,clinical trials
ENSG00000126215,XRCC3,dna repair,double-strand breaks,homologous recombination,genomic stability,mutation susceptibility,cancer progression
ENSG00000197774,EME2,meiotic dna repair,chromosome segregation,genome integrity,testis-specific expression,male fertility,potential implication
ENSG00000172732,MUS81,dna repair,genomic instability,tumor progression,protein-protein interaction,enzymatic activity,therapeutic target
ENSG00000154920,EME1,meiotic dna repair,holliday junction resolution,chromosome segregation,genomic instability,overexpression,tumorigenesis
ENSG00000139618,BRCA2,genomic stability,dna repair,homologous recombination,hereditary breast and ovarian cancer,synthetic lethality,parp inhibitors
ENSG00000051180,RAD51,dna repair,homologous recombination,genomic instability,tumor development,chemotherapy resistance,targeted therapy
ENSG00000175595,ERCC4,nucleotide excision repair,dna damage response,genomic instability,platinum resistance,chemotherapy sensitization,dna repair enzyme
ENSG00000012061,ERCC1,nucleotide excision repair pathway,platinum-based chemotherapy resistance,prognostic marker,dna damage repair,tumor aggressiveness,metastasis potential
ENSG00000073050,XRCC1,dna repair,base excision repair pathway,genomic instability,chemotherapeutic response,targeted therapy,protein-protein interactions
ENSG00000005156,LIG3,dna repair,genomic stability,double-strand breaks,okazaki fragments,cancer development,cancer progression
ENSG00000196419,XRCC6,dna repair,genomic stability,non-homologous end joining (nhej) pathway,double-strand breaks (dsbs),chemotherapy and radiation therapy,genomic instability
ENSG00000079246,XRCC5,nhej pathway,dna double-strand breaks,ku80/ku70 complex,genomic stability,cancer-associated alterations,therapeutic target
ENSG00000152422,XRCC4,dna repair,non-homologous end joining,radiation resistance,tumor progression,therapeutic target,genomic instability
ENSG00000174405,LIG4,dna repair,genomic stability,nhej pathway,mutation accumulation,tumorigenesis,cancer risk
ENSG00000049860,HEXB,lysosomal function,glycolipid degradation,lysosomal storage disorders,neurological symptoms,cellular homeostasis,lysosomal dysfunction
ENSG00000213614,HEXA,glycolipid metabolism,dysregulation,tumor progression,hexa mutations,neurodegenerative disorder,enzyme degradation
ENSG00000151348,EXT2,heparan sulfate biosynthesis,glycosyltransferase enzyme,cell adhesion,tumor suppression,downregulation,metastasis
ENSG00000182197,EXT1,heparan sulfate biosynthesis,cell adhesion,signaling pathway disruption,tumor growth,angiogenesis,invasion
ENSG00000115904,SOS1,ras/mitogen-activated protein kinase (mapk) signaling pathway,son of sevenless homolog 1 (sos1),guanine nucleotide exchange factor (gef),cell proliferation,survival,invasion
ENSG00000170312,CDK1,cell cycle regulation,mitosis initiation,g2/m phase progression,tumor formation,therapeutic target,genomic instability
ENSG00000134057,CCNB1,cell cycle progression,cell division,dysregulated expression,tumor aggressiveness,therapeutic target,prognostic marker
ENSG00000165494,PCF11,mrna processing,gene expression regulation,tumor growth promotion,metastasis promotion,prognostic marker,mrna processing machinery interaction
ENSG00000172409,CLP1,mrna processing,pre-mrna cleavage and polyadenylation,rna metabolism,dna repair,cell cycle control,tumor progression
ENSG00000187079,TEAD1,transcription factor,gene expression regulation,tumor progression,metastasis,signaling pathways,targeted therapies
ENSG00000137693,YAP1,hippo signaling pathway,tumor growth and metastasis,cell proliferation,apoptosis inhibition,epithelial-mesenchymal transition (emt),cancer stem cells
ENSG00000074219,TEAD2,transcription factor,cellular processes regulation,hippo signaling pathway,tumor progression,therapeutic target,genetic alterations
ENSG00000007866,TEAD3,hippo signaling pathway,transcriptional co-activator,tumor progression,metastasis,epithelial-mesenchymal transition (emt),oncogenic driver
ENSG00000197905,TEAD4,transcription factor,cellular processes,transcriptional coactivator,overexpression,tumor growth,metastasis
ENSG00000132964,CDK8,transcription regulation,wnt/β-catenin signaling,cell cycle progression,oncogenic transcription factors,tumor growth,metastasis
ENSG00000112237,CCNC,transcriptional regulation,cell cycle progression,rna polymerase ii phosphorylation,tumor progression,prognostic marker,therapeutic target
ENSG00000101665,SMAD7,tgf-β signaling pathway,inhibitor of smad2 and smad3,dysregulation,tumor progression,metastasis,wnt signaling pathway interaction
ENSG00000157450,RNF111,tgf-β signaling pathway,e3 ubiquitin ligase,smad transcription factors degradation,tumor progression,metastasis,dna repair
ENSG00000284792,PTEN,tumor suppressor,pi3k/akt pathway,negative regulator,loss-of-function mutations,constitutive activation,oncogenesis
ENSG00000141510,TP53,tumor suppressor,genomic stability,cell cycle regulation,dna repair,apoptosis,chemotherapy resistance
ENSG00000165699,TSC1,tumor suppressor gene,cell growth regulation,tuberous sclerosis complex,mtorc1 signaling pathway,noncancerous tumors,therapeutic target
ENSG00000103197,TSC2,tumor suppressor gene,negative regulator,mtor signaling pathway,inhibition of protein synthesis,cell growth suppression,loss-of-function mutations
ENSG00000284194,SCO2,mitochondrial respiratory chain,cytochrome c oxidase,energy metabolism,tumor progression,metastasis,therapeutic targets
ENSG00000048392,RRM2B,dna replication,genomic stability,cell proliferation,tumor progression,therapeutic target,prognostic marker
ENSG00000135423,GLS2,glutamine metabolism,tca cycle,cell growth,cell proliferation,metabolic reprogramming,tumor progression
ENSG00000146674,IGFBP3,igf signaling modulation,cell proliferation inhibition,apoptosis induction,tumor growth regulation,metastasis modulation,angiogenesis suppression
ENSG00000141682,PMAIP1,intrinsic apoptotic pathway,pro-apoptotic regulator,mitochondrial cytochrome c release,cell death induction,stress response,tumor suppressor
ENSG00000015475,BID,apoptotic pathway regulation,mitochondrial membrane permeabilization,cytochrome c release,caspase activation,tumorigenesis promotion,therapeutic resistance
ENSG00000120471,TP53AIP1,apoptosis regulation,p53 modulation,dna damage response,genomic stability,cell proliferation suppressor,mitochondrial pathway involvement
ENSG00000197050,ZNF420,transcription factor,gene expression regulation,cell differentiation control,tumorigenesis impact,cancer progression,protein-protein interaction
ENSG00000115107,STEAP3,iron transport,ferrireductase enzyme,cellular homeostasis,tumor growth,metastasis promotion,redox balance regulation
ENSG00000104765,BNIP3L,mitophagy regulation,pro-apoptotic protein,bcl-2 family interaction,tumor growth modulation,apoptosis sensitivity,therapeutic target
ENSG00000170855,TRIAP1,apoptosis inhibition,tp53 regulation,tumor progression,metastasis promotion,poor prognosis,cell survival
ENSG00000042286,AIFM2,mitochondrial apoptosis,flavoprotein function,tumorigenesis promotion,reactive oxygen species regulation,apoptotic cell death inhibition,potential therapeutic target
ENSG00000164938,TP53INP1,tp53-dependent apoptosis,autophagy regulation,dna damage response,glucose metabolism,tumorigenesis,poor prognosis
ENSG00000120868,APAF1,intrinsic apoptotic pathway,apoptosome formation,programmed cell death,caspase activation,tumorigenesis,cell survival
ENSG00000177595,PIDD1,apoptotic pathway,dna damage response,tumor suppressor,p53 interaction,piddosome assembly,caspase activation
ENSG00000169372,CRADD,tnf receptor signaling,death-inducing signaling complex,apoptotic cascade,caspase activation,cell survival,tumor progression
ENSG00000091106,NLRC4,inflammasome regulation,pattern recognition receptor,inflammatory response,innate immunity,tumor suppressor,tumorigenesis promotion
ENSG00000138794,CASP6,apoptotic pathway,execution phase,cell death regulator,tumor progression,metastasis,therapeutic resistance
ENSG00000003400,CASP10,apoptosis regulation,immune response modulation,tumorigenesis promotion,cell death inhibition,inflammation control,oncogenic potential
ENSG00000104419,NDRG1,tumor suppressor,cell proliferation inhibition,metastasis suppression,angiogenesis inhibition,downregulation in cancer,signaling pathway regulation
ENSG00000281449,BCL2L14,pro-apoptotic function,mitochondrial outer membrane permeabilization,caspase activation,tumorigenesis,bcl-2 family member,cancer therapy target
ENSG00000089685,BIRC5,cell survival regulation,apoptosis inhibition,tumor cell proliferation,mitotic progression,resistance to cell death,oncogenic signaling
ENSG00000113916,BCL6,transcriptional repressor,b-cell development,germinal center reaction,immune response,diffuse large b-cell lymphoma,tumorigenesis
ENSG00000161642,ZNF385A,transcriptional regulation,zinc finger protein,transcription factor,cell growth modulation,tumor suppressor or oncogene,oncogenic pathways interaction
ENSG00000116017,ARID3A,transcription factor,chromatin remodeling,cell proliferation,metastasis,potential prognostic marker,interacts with co-factors
ENSG00000165891,E2F7,cell cycle regulation,transcriptional repression,genomic stability,tumorigenesis,cell proliferation,tumor progression
ENSG00000129173,E2F8,e2f transcription factor,cell cycle regulation,transcriptional activation,oncogenesis,tumor progression,protein-protein interaction
ENSG00000116717,GADD45A,dna repair,cell cycle regulation,tumor suppressor,genomic stability,apoptosis,genotoxic stress
ENSG00000087586,AURKA,cell division regulation,centrosome maturation,genomic instability,tumorigenesis,metastasis,therapeutic target
ENSG00000132646,PCNA,dna replication,dna repair,tumor growth,processivity,aggressive phenotype,cell cycle regulation
ENSG00000087088,BAX,intrinsic apoptotic pathway,mitochondrial outer membrane permeabilization,pro-apoptotic function,regulation of cell death,bcl-2 family interaction,cancer cell survival
ENSG00000175793,SFN,cell cycle regulation,dna repair,apoptosis,pi3k/akt pathway interaction,tumor cell proliferation,metastasis
ENSG00000145632,PLK2,cell cycle regulation,genomic stability,dna damage response,protein phosphorylation,abnormal cell proliferation,apoptosis induction
ENSG00000173846,PLK3,dna damage response,cell cycle regulation,tumor suppressor,genomic instability,apoptosis induction,downregulation
ENSG00000102760,RGCC,cell cycle regulation,cell proliferation,dna replication,upregulated expression,tumor metastasis,chemo-resistance
ENSG00000118495,PLAGL1,tumor suppressor,transcription factor,zinc finger protein,cell growth regulation,apoptosis induction,epi mitic silencing
ENSG00000115966,ATF2,mapk signaling,transcription factor,cellular stress response,treatment resistance,cell migration,tumor progression
ENSG00000177606,JUN,transcription factor,ap-1 complex,cell proliferation,apoptosis inhibition,oncogenic potential,therapeutic target
ENSG00000170345,FOS,transcription factor,oncogenic pathway activation,tumor growth,metastasis,cellular proliferation,gene transcription regulation
ENSG00000122512,PMS2,dna mismatch repair,genomic stability,microsatellite instability,mutational burden,lynch syndrome,tumor progression
ENSG00000076242,MLH1,dna mismatch repair,genomic stability,microsatellite instability,tumorigenesis,chemoresistance,cancer predisposition
ENSG00000158169,FANCC,dna repair pathway,genomic instability,fanconi anemia proteins,ubiquitin ligase complex,interstrand crosslinks,cell cycle progression
ENSG00000134574,DDB2,dna repair,uv-induced lesions,nucleotide excision repair,e3 ubiquitin ligase,genomic stability,tumorigenesis
ENSG00000057657,PRDM1,transcriptional repressor,tumor suppressor function,cell growth regulation,tumor progression inhibition,immune response modulation,transcription factor interaction
ENSG00000135679,MDM2,p53 regulation,e3 ubiquitin ligase,tumor suppressor inhibition,cell cycle control,apoptosis evasion,therapeutic target
ENSG00000198625,MDM4,p53 regulation,tumor suppressor inactivation,oncogenic function,cell proliferation,tumor progression,therapeutic target
ENSG00000113328,CCNG1,cell cycle regulation,cell proliferation,genomic instability,tumor progression,cdk interaction,oncogenic pathways
ENSG00000064393,HIPK2,tumor suppressor,apoptosis regulation,dna damage response,transcription factor interaction,genomic stability,chemosensitivity
ENSG00000127445,PIN1,protein conformation regulator,oncogenic protein stability,cell cycle control,dna damage response,cancer stem cells maintenance,epithelial-mesenchymal transition
ENSG00000163349,HIPK1,transcription regulation,apoptosis modulation,dna damage response,tumorigenesis,cell proliferation,genomic stability
ENSG00000149136,SSRP1,chromatin remodeling,dna repair,gene transcription,nucleosome assembly,upregulated expression,tumor growth
ENSG00000092201,SUPT16H,chromatin remodeling,transcriptional regulation,rna polymerase ii,gene expression,tumor development,cellular proliferation
